Xeroderma pigmentosum-Cockayne syndrome complex	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
779	GO:BP	GO:0070198	protein localization to chromosome, telomeric region	0.0039327971209018	True	"""Any process in which a protein is transported to, or maintained at, the telomeric region of a chromosome."" [GOC:BHF, GOC:mah]"	30	104	3	17376	0.0288461538461538	0.1	query_1	['GO:0034502']	['BRCA2', 'ATR', 'XRCC5']
780	REAC	REAC:R-HSA-9616222	Transcriptional regulation of granulopoiesis	0.0039498174608535	True	Transcriptional regulation of granulopoiesis	86	104	4	17376	0.0384615384615384	0.0465116279069767	query_1	['REAC:R-HSA-1266738']	['H2AX', 'CDKN1A', 'CDK2', 'CDK4']
781	GO:BP	GO:0009991	response to extracellular stimulus	0.0042525099150436	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an extracellular stimulus."" [GOC:go_curators]"	499	104	10	17376	0.0961538461538461	0.0200400801603206	query_1	['GO:0009605']	['BRIP1', 'AKT1', 'OGG1', 'CDKN1A', 'ERCC1', 'KAT5', 'WRN', 'RMI1', 'TP53', 'CCND1']
782	GO:BP	GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	0.0042629182045848	True	"""Any process that modulates the frequency, rate or extent of the activity of any intracellular steroid hormone receptor signaling pathway."" [GOC:mah]"	70	104	4	17376	0.0384615384615384	0.0571428571428571	query_1	['GO:0009966', 'GO:0030518']	['AR', 'PARP1', 'BRCA1', 'KDM1A']
783	GO:BP	GO:0061180	mammary gland epithelium development	0.0042629182045848	True	"""The process whose specific outcome is the progression of the mammary gland epithelium over time, from its formation to the mature structure. The mammary gland is a large compound sebaceous gland that in female mammals is modified to secrete milk."" [GOC:dph, GOC:yaf]"	70	104	4	17376	0.0384615384615384	0.0571428571428571	query_1	['GO:0030879', 'GO:0060429']	['AKT1', 'BRCA2', 'AR', 'CCND1']
784	GO:BP	GO:0070647	protein modification by small protein conjugation or removal	0.0042884129221402	True	"""A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to or removed from a target protein."" [GOC:mah]"	994	104	15	17376	0.1442307692307692	0.0150905432595573	query_1	['GO:0036211']	['USP45', 'AKT1', 'USP1', 'FANCI', 'HLTF', 'WDR48', 'PAXIP1', 'BRCA2', 'USP12', 'RAD51', 'USP46', 'BRCA1', 'BARD1', 'KDM1A', 'RNF8']
785	GO:BP	GO:2000780	negative regulation of double-strand break repair	0.0042915205090461	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of double-strand break repair."" [GOC:BHF]"	31	104	3	17376	0.0288461538461538	0.0967741935483871	query_1	['GO:0006302', 'GO:0045738', 'GO:2000779']	['TP53BP1', 'OGG1', 'RMI2']
786	GO:BP	GO:0002521	leukocyte differentiation	0.0043473338410247	True	"""The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."" [CL:0000738, GOC:add, PMID:16551264]"	593	104	11	17376	0.1057692307692307	0.0185497470489038	query_1	['GO:0030097', 'GO:0030154']	['MSH2', 'XRCC6', 'LIG4', 'PARP1', 'NHEJ1', 'FANCD2', 'ATM', 'PRKDC', 'KAT5', 'TP53', 'CDK6']
787	GO:CC	GO:0005575	cellular_component	0.0044781236386902	True	"""A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome)."" [GOC:pdt, NIF_Subcellular:sao1337158144]"	16341	104	104	17376	1.0	0.0063643595863166	query_1	[]	['RBBP8', 'HUS1', 'RPA4', 'USP45', 'BRIP1', 'AKT1', 'XPA', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'CDK7', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'WDR20', 'RPA2', 'ERCC3', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PHLPP1', 'PRIM1', 'RAD1', 'PCNA', 'CDKN1A', 'USP12', 'LENG1', 'ATR', 'RPA3', 'AR', 'CCNH', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'CCND2', 'APEX1', 'MNAT1', 'PRIM2', 'HUS1B', 'EXO1', 'USP46', 'BRCA1', 'CDK2', 'ERCC5', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'KAT5', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'CDK4', 'POLE2', 'RMI1', 'TP53', 'PHLPP2', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'POLE', 'POLD2', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
788	GO:BP	GO:0032501	multicellular organismal process	0.004655443350427	True	"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]"	6818	104	57	17376	0.5480769230769231	0.0083602229392783	query_1	['GO:0008150']	['RBBP8', 'HUS1', 'USP45', 'BRIP1', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'ERCC3', 'MSH3', 'BRCA2', 'POLA1', 'PHLPP1', 'RAD1', 'PCNA', 'CDKN1A', 'AR', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'FANCD2', 'ATM', 'CCND2', 'MNAT1', 'EXO1', 'USP46', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'BARD1', 'POLB', 'WRN', 'CDK4', 'RMI1', 'TP53', 'PHLPP2', 'ERCC2', 'KDM1A', 'POLE', 'CDK6', 'CCND1', 'RNF8', 'MSH6']
789	GO:BP	GO:0040007	growth	0.004689877800628	True	"""The increase in size or mass of an entire organism, a part of an organism or a cell."" [GOC:bf, GOC:ma]"	898	104	14	17376	0.1346153846153846	0.0155902004454342	query_1	['GO:0008150']	['AKT1', 'NBN', 'WDR48', 'BRCA2', 'CDKN1A', 'AR', 'ERCC1', 'ATM', 'BRCA1', 'WRN', 'CDK4', 'RMI1', 'TP53', 'ERCC2']
790	GO:BP	GO:0060260	regulation of transcription initiation by RNA polymerase II	0.004689877800628	True	"""Any process that modulates the rate, frequency or extent of a process involved in starting transcription from an RNA polymerase II promoter."" [GOC:dph, GOC:tb, GOC:txnOH]"	72	104	4	17376	0.0384615384615384	0.0555555555555555	query_1	['GO:0006357', 'GO:0006367', 'GO:2000142']	['PAXIP1', 'ERCC1', 'CDK4', 'TP53']
791	REAC	REAC:R-HSA-5663205	Infectious disease	0.0048635282148455	True	Infectious disease	985	104	14	17376	0.1346153846153846	0.0142131979695431	query_1	['REAC:R-HSA-1643685']	['AKT1', 'CDK7', 'XRCC6', 'LIG4', 'FEN1', 'ERCC3', 'LIG1', 'CCNH', 'PARP1', 'XRCC4', 'XRCC5', 'MNAT1', 'ERCC2', 'KDM1A']
792	GO:BP	GO:1900543	negative regulation of purine nucleotide metabolic process	0.0049347462175712	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of purine nucleotide metabolic process."" [GOC:TermGenie]"	8	104	2	17376	0.0192307692307692	0.25	query_1	['GO:0006163', 'GO:0045980', 'GO:1900542']	['PARP1', 'TP53']
793	GO:BP	GO:0045008	depyrimidination	0.0049347462175712	True	"""The disruption of the bond between the sugar in the backbone and the C or T base, causing the base to be removed and leaving a depyrimidinated sugar."" [GOC:ai]"	8	104	2	17376	0.0192307692307692	0.25	query_1	['GO:0006285', 'GO:0006304', 'GO:0009223']	['OGG1', 'NEIL1']
794	GO:BP	GO:0070537	histone H2A K63-linked deubiquitination	0.0049347462175712	True	"""A protein deubiquitination process in which a K63-linked ubiquitin chain, i.e. a polymer of ubiquitin formed by linkages between lysine residues at position 63 of the ubiquitin monomers, is removed from a lysine residue in histone H2A or the variant H2AX."" [GOC:mah, PMID:19202061, PMID:19214193]"	8	104	2	17376	0.0192307692307692	0.25	query_1	['GO:0016578', 'GO:0070536']	['BRCA1', 'BARD1']
795	GO:BP	GO:0006290	pyrimidine dimer repair	0.0049347462175712	True	"""The repair of UV-induced T-T, C-T and C-C dimers."" [ISBN:0815316194]"	8	104	2	17376	0.0192307692307692	0.25	query_1	['GO:0006281']	['ERCC1', 'POLB']
796	GO:BP	GO:0090400	stress-induced premature senescence	0.0049347462175712	True	"""A cellular senescence process associated with the dismantling of a cell as a response to environmental factors such as hydrogen peroxide or X-rays."" [GOC:BHF]"	8	104	2	17376	0.0192307692307692	0.25	query_1	['GO:0090398']	['CDKN1A', 'TP53']
797	REAC	REAC:R-HSA-6803207	TP53 Regulates Transcription of Caspase Activators and Caspases	0.0049878908037467	True	TP53 Regulates Transcription of Caspase Activators and Caspases	12	104	2	17376	0.0192307692307692	0.1666666666666666	query_1	['REAC:R-HSA-5633008']	['ATM', 'TP53']
798	GO:BP	GO:0071425	hematopoietic stem cell proliferation	0.0050517541707186	True	"""The expansion of a hematopoietic stem cell population by cell division. A hematopoietic stem cell is a stem cell from which all cells of the lymphoid and myeloid lineages develop."" [CL:0000037, GOC:add, GOC:BHF, GOC:mah, GOC:rl]"	33	104	3	17376	0.0288461538461538	0.0909090909090909	query_1	['GO:0030097', 'GO:0072089']	['BRCA2', 'XRCC5', 'ERCC2']
799	GO:BP	GO:0045738	negative regulation of DNA repair	0.0050517541707186	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of DNA repair."" [GOC:go_curators]"	33	104	3	17376	0.0288461538461538	0.0909090909090909	query_1	['GO:0006281', 'GO:0006282', 'GO:0048585', 'GO:0051053']	['TP53BP1', 'OGG1', 'RMI2']
800	GO:BP	GO:0006351	DNA-templated transcription	0.0050958622314795	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3256	104	33	17376	0.3173076923076923	0.0101351351351351	query_1	['GO:0097659']	['RBBP8', 'BRIP1', 'AKT1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'ERCC3', 'OGG1', 'BRCA2', 'PCNA', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'FANCD2', 'BLM', 'ATM', 'APEX1', 'MNAT1', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'CDK4', 'TP53', 'ERCC2', 'KDM1A', 'CDK6', 'CCND1', 'RNF8']
801	GO:BP	GO:0097659	nucleic acid-templated transcription	0.0051136436648523	True	"""The synthesis of an RNA transcript from a nucleic acid template (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]"	3257	104	33	17376	0.3173076923076923	0.0101320233343567	query_1	['GO:0010467', 'GO:0032774']	['RBBP8', 'BRIP1', 'AKT1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'ERCC3', 'OGG1', 'BRCA2', 'PCNA', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'FANCD2', 'BLM', 'ATM', 'APEX1', 'MNAT1', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'CDK4', 'TP53', 'ERCC2', 'KDM1A', 'CDK6', 'CCND1', 'RNF8']
802	GO:BP	GO:0050673	epithelial cell proliferation	0.0051289182470682	True	"""The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances."" [ISBN:0721662544]"	425	104	9	17376	0.0865384615384615	0.0211764705882352	query_1	['GO:0008283']	['AKT1', 'WDR48', 'POLD4', 'BRCA2', 'AR', 'PRKDC', 'CDK4', 'CDK6', 'CCND1']
803	GO:BP	GO:0048232	male gamete generation	0.0051790983413042	True	"""Generation of the male gamete; specialised haploid cells produced by meiosis and along with a female gamete takes part in sexual reproduction."" [GOC:dph, GOC:jid]"	608	104	11	17376	0.1057692307692307	0.0180921052631578	query_1	['GO:0007276']	['BRIP1', 'WDR48', 'MLH1', 'H2AX', 'BRCA2', 'AR', 'ERCC1', 'ATM', 'KAT5', 'RNF8', 'MSH6']
804	GO:BP	GO:0009889	regulation of biosynthetic process	0.0052819402974982	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]"	3823	104	37	17376	0.3557692307692308	0.0096782631441276	query_1	['GO:0009058', 'GO:0019222']	['RBBP8', 'BRIP1', 'AKT1', 'USP1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'MLH1', 'OGG1', 'BRCA2', 'PCNA', 'CDKN1A', 'ATR', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'FANCD2', 'BLM', 'ATM', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'CDK4', 'TP53', 'PNKP', 'KDM1A', 'CDK6', 'CCND1', 'RNF8']
805	GO:BP	GO:0033146	regulation of intracellular estrogen receptor signaling pathway	0.0054520088517449	True	"""Any process that modulates the frequency, rate or extent of the activity of an intracellular estrogen receptor signaling pathway."" [GOC:mah]"	34	104	3	17376	0.0288461538461538	0.088235294117647	query_1	['GO:0030520', 'GO:0033143']	['AR', 'PARP1', 'BRCA1']
806	GO:BP	GO:0022412	cellular process involved in reproduction in multicellular organism	0.0057034321598032	True	"""A process, occurring at the cellular level, that is involved in the reproductive function of a multicellular organism."" [GOC:isa_complete]"	432	104	9	17376	0.0865384615384615	0.0208333333333333	query_1	['GO:0009987', 'GO:0022414', 'GO:0032504']	['BRIP1', 'AKT1', 'MSH2', 'MLH1', 'BRCA2', 'ERCC1', 'ATM', 'KAT5', 'RNF8']
807	GO:CC	GO:0015630	microtubule cytoskeleton	0.0057765857311342	True	"""The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins."" [GOC:jl, ISBN:0395825172]"	1324	104	17	17376	0.1634615384615384	0.0128398791540785	query_1	['GO:0005856']	['AKT1', 'H2AX', 'BRCA2', 'PCNA', 'ATM', 'RAD51', 'APEX1', 'BRCA1', 'CDK2', 'KAT5', 'POLB', 'WRN', 'TP53', 'PHLPP2', 'ERCC2', 'NEIL1', 'CDK6']
808	GO:BP	GO:0071900	regulation of protein serine/threonine kinase activity	0.0057824107198123	True	"""Any process that modulates the rate, frequency, or extent of protein serine/threonine kinase activity."" [GOC:mah]"	348	104	8	17376	0.0769230769230769	0.0229885057471264	query_1	['GO:0045859']	['AKT1', 'CDK7', 'CDKN1A', 'CCNH', 'BLM', 'CCND2', 'MNAT1', 'CCND1']
809	GO:BP	GO:0010835	regulation of protein ADP-ribosylation	0.0061235681238837	True	"""Any process that modulates the frequency, rate or extent of protein ADP-ribosylation. Protein ADP-ribosylation is the transfer, from NAD, of ADP-ribose to protein amino acids."" [GOC:dph, GOC:tb]"	9	104	2	17376	0.0192307692307692	0.2222222222222222	query_1	['GO:0051338']	['XRCC1', 'PNKP']
810	GO:BP	GO:0085020	protein K6-linked ubiquitination	0.0061235681238837	True	"""A protein ubiquitination process in which a polymer of ubiquitin, formed by linkages between lysine residues at position 6 of the ubiquitin monomers, is added to a protein. K6-linked ubiquitination is involved in DNA repair."" [GOC:sp]"	9	104	2	17376	0.0192307692307692	0.2222222222222222	query_1	['GO:0000209']	['BRCA1', 'BARD1']
811	GO:BP	GO:0006265	DNA topological change	0.0061235681238837	True	"""The process in which a transformation is induced in the topological structure of a double-stranded DNA helix, resulting in a change in linking number."" [ISBN:071673706X, ISBN:0935702490]"	9	104	2	17376	0.0192307692307692	0.2222222222222222	query_1	['GO:0006259', 'GO:0071103']	['ERCC3', 'TOP3A']
812	GO:BP	GO:0045980	negative regulation of nucleotide metabolic process	0.0061235681238837	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleotides."" [GOC:go_curators]"	9	104	2	17376	0.0192307692307692	0.2222222222222222	query_1	['GO:0006140', 'GO:0009117', 'GO:0045934', 'GO:0045936', 'GO:0062014']	['PARP1', 'TP53']
813	GO:BP	GO:0034599	cellular response to oxidative stress	0.0061235681238837	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."" [GOC:mah]"	272	104	7	17376	0.0673076923076923	0.025735294117647	query_1	['GO:0006979', 'GO:0062197']	['AKT1', 'RAD52', 'PCNA', 'PARP1', 'FANCD2', 'APEX1', 'TP53']
814	GO:BP	GO:0032070	regulation of deoxyribonuclease activity	0.0061235681238837	True	"""Any process that modulates the frequency, rate or extent of deoxyribonuclease activity, the hydrolysis of ester linkages within deoxyribonucleic acid."" [GOC:mah]"	9	104	2	17376	0.0192307692307692	0.2222222222222222	query_1	['GO:0032069', 'GO:0051052']	['AKT1', 'PCNA']
815	GO:BP	GO:0061820	telomeric D-loop disassembly	0.0061235681238837	True	"""A telomere loop disassembly process that results in the disassembly of telomeric D-loops. A telomeric D-loop is a three-stranded DNA displacement loop that forms at the site where the telomeric 3' single-stranded DNA overhang (formed of the repeat sequence TTAGGG in mammals) is tucked back inside the double-stranded component of telomeric DNA molecule, thus forming a t-loop or telomeric-loop and protecting the chromosome terminus."" [GOC:BHF, GOC:BHF_telomere, GOC:nc, PMID:10338204, PMID:24012755]"	9	104	2	17376	0.0192307692307692	0.2222222222222222	query_1	['GO:0090657']	['BLM', 'WRN']
816	GO:BP	GO:2001141	regulation of RNA biosynthetic process	0.0061587470947193	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3159	104	32	17376	0.3076923076923077	0.0101297879075656	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['RBBP8', 'BRIP1', 'AKT1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'OGG1', 'BRCA2', 'PCNA', 'AR', 'CCNH', 'PARP1', 'XRCC5', 'ERCC1', 'FANCD2', 'BLM', 'ATM', 'APEX1', 'MNAT1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'CDK4', 'TP53', 'KDM1A', 'CDK6', 'CCND1', 'RNF8']
817	GO:BP	GO:1901532	regulation of hematopoietic progenitor cell differentiation	0.0063134398039807	True	"""Any process that modulates the frequency, rate or extent of hematopoietic progenitor cell differentiation."" [GOC:BHF, GOC:rl, GOC:TermGenie]"	36	104	3	17376	0.0288461538461538	0.0833333333333333	query_1	['GO:0002244', 'GO:0045595']	['PRKDC', 'KAT5', 'CDK6']
818	GO:BP	GO:0070997	neuron death	0.0063240510625221	True	"""The process of cell death in a neuron."" [GOC:BHF, GOC:mah]"	354	104	8	17376	0.0769230769230769	0.0225988700564971	query_1	['GO:0008219']	['AKT1', 'MSH2', 'LIG4', 'PARP1', 'ATM', 'POLB', 'TP53', 'CCND1']
819	GO:BP	GO:0033002	muscle cell proliferation	0.0064362110341686	True	"""The expansion of a muscle cell population by cell division."" [CL:0000187, GOC:mah]"	201	104	6	17376	0.0576923076923076	0.0298507462686567	query_1	['GO:0008283']	['AKT1', 'XRCC6', 'CDKN1A', 'XRCC5', 'MNAT1', 'PRKDC']
820	GO:BP	GO:0071417	cellular response to organonitrogen compound	0.006512673916401	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	628	104	11	17376	0.1057692307692307	0.0175159235668789	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['BRIP1', 'AKT1', 'PARP1', 'BLM', 'RAD51', 'APEX1', 'BRCA1', 'PRKDC', 'CDK4', 'TP53', 'KDM1A']
821	GO:BP	GO:2000142	regulation of DNA-templated transcription initiation	0.0065718229519986	True	"""Any process that modulates the frequency, rate or extent of DNA-templated transcription initiation."" [GOC:mah, GOC:txnOH]"	80	104	4	17376	0.0384615384615384	0.05	query_1	['GO:0006352', 'GO:0006355']	['PAXIP1', 'ERCC1', 'CDK4', 'TP53']
822	GO:BP	GO:0048584	positive regulation of response to stimulus	0.0065881972905342	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2115	104	24	17376	0.2307692307692307	0.0113475177304964	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']	['RBBP8', 'MSH2', 'USP1', 'TP53BP1', 'RAD51AP1', 'XRCC6', 'WDR48', 'PAXIP1', 'MLH1', 'H2AX', 'PCNA', 'ATR', 'AR', 'PARP1', 'XRCC5', 'ATM', 'RAD9A', 'BRCA1', 'PRKDC', 'XRCC1', 'KAT5', 'TP53', 'PNKP', 'RNF8']
823	REAC	REAC:R-HSA-198323	AKT phosphorylates targets in the cytosol	0.0067562066312576	True	AKT phosphorylates targets in the cytosol	14	104	2	17376	0.0192307692307692	0.1428571428571428	query_1	['REAC:R-HSA-1257604']	['AKT1', 'CDKN1A']
824	REAC	REAC:R-HSA-6804759	Regulation of TP53 Activity through Association with Co-factors	0.0067562066312576	True	Regulation of TP53 Activity through Association with Co-factors	14	104	2	17376	0.0192307692307692	0.1428571428571428	query_1	['REAC:R-HSA-5633007']	['AKT1', 'TP53']
825	GO:BP	GO:0010038	response to metal ion	0.0068465612901119	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a metal ion stimulus."" [GOC:sm]"	359	104	8	17376	0.0769230769230769	0.022284122562674	query_1	['GO:0010035']	['AKT1', 'LIG4', 'OGG1', 'PCNA', 'PARP1', 'ERCC1', 'MNAT1', 'CCND1']
826	GO:CC	GO:0000782	telomere cap complex	0.0069689425644571	True	"""A complex of DNA and protein located at the end of a linear chromosome that protects and stabilizes a linear chromosome."" [GOC:elh]"	13	104	2	17376	0.0192307692307692	0.1538461538461538	query_1	['GO:0032993', 'GO:0044815', 'GO:0140445']	['XRCC6', 'XRCC5']
827	GO:CC	GO:0000783	nuclear telomere cap complex	0.0069689425644571	True	"""A complex of DNA and protein located at the end of a linear chromosome in the nucleus that protects and stabilizes a linear chromosome."" [GOC:elh]"	13	104	2	17376	0.0192307692307692	0.1538461538461538	query_1	['GO:0000782', 'GO:0140513']	['XRCC6', 'XRCC5']
828	GO:BP	GO:1901654	response to ketone	0.0072267975686411	True	"""A response that results in a state of tolerance to ketone."" [GOC:mengo_curators, PMID:23356676]"	206	104	6	17376	0.0576923076923076	0.029126213592233	query_1	['GO:0010033', 'GO:1901700']	['AKT1', 'PCNA', 'AR', 'PARP1', 'CDK4', 'CCND1']
829	GO:BP	GO:0006325	chromatin organization	0.0073930214758481	True	"""The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."" [PMID:20404130]"	639	104	11	17376	0.1057692307692307	0.0172143974960876	query_1	['GO:0016043']	['HLTF', 'APLF', 'H2AX', 'POLE3', 'BRCA1', 'CDK2', 'CHRAC1', 'KAT5', 'TP53', 'KDM1A', 'RNF8']
830	GO:BP	GO:0043523	regulation of neuron apoptotic process	0.0073930214758481	True	"""Any process that modulates the occurrence or rate of cell death by apoptotic process in neurons."" [GOC:go_curators, GOC:mtg_apoptosis]"	207	104	6	17376	0.0576923076923076	0.0289855072463768	query_1	['GO:0042981', 'GO:0051402', 'GO:1901214']	['MSH2', 'LIG4', 'PARP1', 'ATM', 'TP53', 'CCND1']
831	GO:BP	GO:0051247	positive regulation of protein metabolic process	0.0073978093438171	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	1399	104	18	17376	0.173076923076923	0.0128663330950679	query_1	['GO:0010604', 'GO:0019538', 'GO:0051173', 'GO:0051246']	['AKT1', 'NBN', 'RAD50', 'FANCI', 'XRCC6', 'PAXIP1', 'CDKN1A', 'XRCC5', 'MRE11', 'CCND2', 'MNAT1', 'BRCA1', 'PRKDC', 'KAT5', 'BARD1', 'TP53', 'KDM1A', 'CCND1']
832	GO:BP	GO:0033314	mitotic DNA replication checkpoint signaling	0.0073992684827266	True	"""A signal transduction process that contributes to a mitotic DNA replication checkpoint."" [GOC:mtg_cell_cycle]"	10	104	2	17376	0.0192307692307692	0.2	query_1	['GO:0000076', 'GO:0044774', 'GO:0044818']	['HUS1', 'HUS1B']
833	GO:BP	GO:0051246	regulation of protein metabolic process	0.0073992684827266	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]"	2393	104	26	17376	0.25	0.0108650229837024	query_1	['GO:0019538', 'GO:0051171', 'GO:0060255', 'GO:0080090']	['HUS1', 'AKT1', 'NBN', 'RAD50', 'FANCI', 'CDK7', 'XRCC6', 'WDR48', 'PAXIP1', 'MLH1', 'CDKN1A', 'CCNH', 'XRCC5', 'BLM', 'MRE11', 'RAD51', 'CCND2', 'MNAT1', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'BARD1', 'TP53', 'KDM1A', 'CCND1']
834	GO:BP	GO:0045141	meiotic telomere clustering	0.0073992684827266	True	"""The cell cycle process in which the dynamic reorganization of telomeres occurs in early meiotic prophase, during which meiotic chromosome ends are gathered in a bouquet arrangement at the inner surface of the nuclear envelope proximal to the spindle pole body. This plays an important role in progression through meiosis and precedes synapsis."" [GOC:vw, PMID:10690419]"	10	104	2	17376	0.0192307692307692	0.2	query_1	['GO:0034397', 'GO:0070192', 'GO:0090220']	['MLH1', 'ATM']
835	GO:BP	GO:0031396	regulation of protein ubiquitination	0.0074916328036258	True	"""Any process that modulates the frequency, rate or extent of the addition of ubiquitin groups to a protein."" [GOC:mah]"	208	104	6	17376	0.0576923076923076	0.0288461538461538	query_1	['GO:0016567', 'GO:1903320']	['AKT1', 'FANCI', 'WDR48', 'PAXIP1', 'BRCA1', 'KDM1A']
836	GO:BP	GO:1902680	positive regulation of RNA biosynthetic process	0.0077661992028643	True	"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]"	1645	104	20	17376	0.1923076923076923	0.0121580547112462	query_1	['GO:0010557', 'GO:0031328', 'GO:0032774', 'GO:0051254', 'GO:2001141']	['AKT1', 'TP53BP1', 'CDK7', 'XRCC6', 'HLTF', 'PAXIP1', 'BRCA2', 'AR', 'PARP1', 'ERCC1', 'BLM', 'ATM', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'TP53', 'KDM1A']
