Vogt-Koyanagi-Harada disease	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
811	CORUM	CORUM:2086	NFKB1-NFKB2-RELA-RELB complex	0.001522904890338	True	NFKB1-NFKB2-RELA-RELB complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['RELA', 'NFKB2', 'RELB']
812	CORUM	CORUM:1714	TICAM1-TICAM2-TLR4 complex	0.001522904890338	True	TICAM1-TICAM2-TLR4 complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['TLR4', 'TICAM2', 'TICAM1']
813	CORUM	CORUM:2100	CHUK-IKBKB-MAP3K14 complex	0.001522904890338	True	CHUK-IKBKB-MAP3K14 complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['MAP3K14', 'CHUK', 'IKBKB']
814	CORUM	CORUM:2758	TAK1 complex	0.001522904890338	True	TAK1 complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['TAB2', 'TAB1', 'MAP3K7']
815	CORUM	CORUM:5466	IKB(beta)-RELA-cREL complex	0.001522904890338	True	IKB(beta)-RELA-cREL complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['NFKBIB', 'RELA', 'REL']
816	CORUM	CORUM:2121	I-kappa-B kinase complex	0.001522904890338	True	I-kappa-B kinase complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['CHUK', 'IKBKB', 'IKBKG']
817	CORUM	CORUM:5531	Tumor necrosis factor receptor 1 signaling complex	0.001522904890338	True	Tumor necrosis factor receptor 1 signaling complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['TRADD', 'TRAF2', 'BIRC2']
818	CORUM	CORUM:5541	Ternary complex (TRAF2, FADD, TRADD)	0.001522904890338	True	Ternary complex (TRAF2, FADD, TRADD)	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['FADD', 'TRADD', 'TRAF2']
819	CORUM	CORUM:227	Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)	0.001522904890338	True	Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['BTRC', 'SKP1', 'CUL1']
820	CORUM	CORUM:223	CAND1-CUL4A-RBX1 complex	0.001522904890338	True	CAND1-CUL4A-RBX1 complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['RBX1', 'CAND1', 'CUL4A']
821	CORUM	CORUM:222	CAND1-CUL3-RBX1 complex	0.001522904890338	True	CAND1-CUL3-RBX1 complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['CUL3', 'RBX1', 'CAND1']
822	CORUM	CORUM:6414	RIPK1-FADD-caspase-8 complex	0.001522904890338	True	RIPK1-FADD-caspase-8 complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['FADD', 'RIPK1', 'CASP8']
823	CORUM	CORUM:6178	LUBAC complex	0.001522904890338	True	LUBAC complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['SHARPIN', 'RBCK1', 'RNF31']
824	CORUM	CORUM:5859	FAS-FADD-CASP8-CASP10 complex	0.001522904890338	True	FAS-FADD-CASP8-CASP10 complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['CASP10', 'FADD', 'CASP8']
825	CORUM	CORUM:5844	I-kappa-B kinase complex	0.001522904890338	True	I-kappa-B kinase complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['CHUK', 'IKBKB', 'IKBKG']
826	CORUM	CORUM:5799	DISC complex (FAS, FADD, CASP8, CFLAR), membrane-associated, CD95L induced	0.001522904890338	True	DISC complex (FAS, FADD, CASP8, CFLAR), membrane-associated, CD95L induced	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['FADD', 'CFLAR', 'CASP8']
827	CORUM	CORUM:5798	Death induced signaling complex II (FADD, CASP8, CFLAR), cytosolic, CD95L induced	0.001522904890338	True	Death induced signaling complex II (FADD, CASP8, CFLAR), cytosolic, CD95L induced	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['FADD', 'CFLAR', 'CASP8']
828	CORUM	CORUM:5465	IKB(epsilon)-RELA-cREL complex	0.001522904890338	True	IKB(epsilon)-RELA-cREL complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['NFKBIE', 'RELA', 'REL']
829	CORUM	CORUM:5210	TANK-TRAF2-TRAF3 complex	0.001522904890338	True	TANK-TRAF2-TRAF3 complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['TANK', 'TRAF3', 'TRAF2']
830	CORUM	CORUM:219	CAND1-CUL1-RBX1 complex	0.001522904890338	True	CAND1-CUL1-RBX1 complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['RBX1', 'CAND1', 'CUL1']
831	CORUM	CORUM:2241	HD-RAB8A-OPTN complex	0.001522904890338	True	HD-RAB8A-OPTN complex	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['OPTN', 'RAB8A', 'HTT']
832	CORUM	CORUM:2880	Ubiquitin E3 ligase (FBXW11, SKP1, CUL1)	0.001522904890338	True	Ubiquitin E3 ligase (FBXW11, SKP1, CUL1)	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['SKP1', 'FBXW11', 'CUL1']
833	CORUM	CORUM:4072	Ubiquitin E3 ligase (CUL1, RBX1, SKP1)	0.001522904890338	True	Ubiquitin E3 ligase (CUL1, RBX1, SKP1)	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['RBX1', 'SKP1', 'CUL1']
834	CORUM	CORUM:2725	Ubiquitin E3 ligase (NFKBIA, FBXW11, CUL1, SKP1A)	0.001522904890338	True	Ubiquitin E3 ligase (NFKBIA, FBXW11, CUL1, SKP1A)	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['SKP1', 'FBXW11', 'CUL1']
835	CORUM	CORUM:2724	Ubiquitin E3 ligase (NFKBIA, BTRC, CUL1, SKP1A)	0.001522904890338	True	Ubiquitin E3 ligase (NFKBIA, BTRC, CUL1, SKP1A)	3	76	3	3383	0.0394736842105263	1.0	query_1	['CORUM:0000000']	['BTRC', 'SKP1', 'CUL1']
836	GO:BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	0.0015680507077137	True	"""Any process that activates or increases the frequency, rate or extent of tumor necrosis factor superfamily cytokine production."" [GO_REF:0000058, GOC:TermGenie, PMID:24187568]"	105	101	7	21110	0.0693069306930693	0.0666666666666666	query_1	['GO:0001819', 'GO:0071706', 'GO:1903555']	['MYD88', 'TLR4', 'FADD', 'RIPK1', 'TICAM1', 'BCL10', 'CD14']
837	GO:MF	GO:0004704	NF-kappaB-inducing kinase activity	0.0016013195320921	True	"""Catalysis of the phosphorylation of the alpha or beta subunit of the inhibitor of kappaB kinase complex (IKK)."" [PMID:20685151]"	6	101	3	20195	0.0297029702970297	0.5	query_1	['GO:0030234']	['MAP3K14', 'IKBKE', 'IRAK1']
838	GO:MF	GO:0030911	TPR domain binding	0.0016013195320921	True	"""Binding to a tetratricopeptide repeat (TPR) domain of a protein, the consensus sequence of which is defined by a pattern of small and large hydrophobic amino acids and a structure composed of helices."" [GOC:mah]"	6	101	3	20195	0.0297029702970297	0.5	query_1	['GO:0019904']	['HSP90AB1', 'RAB8B', 'HSP90AA1']
839	HPA	HPA:0530711	spleen; cells in red pulp[≥Low]	0.0016360610779704	True	spleen; cells in red pulp[≥Low]	5322	73	54	11006	0.7397260273972602	0.0101465614430665	query_1	['HPA:0530000']	['CUL3', 'SHARPIN', 'CARD11', 'STIP1', 'MAP3K8', 'TANK', 'HSPA1A', 'NFKBIE', 'CREBBP', 'MYD88', 'OPTN', 'MAP3K14', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'DNAJA2', 'FKBP5', 'IKBKE', 'TLR4', 'FYB1', 'AZI2', 'SKAP2', 'TNF', 'FADD', 'IRF7', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'TRADD', 'IRAK1', 'LTB', 'XPNPEP3', 'SNX33', 'TAB1', 'RELB', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'PTGES3', 'FBXW7', 'CD14', 'LRSAM1', 'UBE2N', 'CDC37']
840	KEGG	KEGG:04141	Protein processing in endoplasmic reticulum	0.0016676184821852	True	Protein processing in endoplasmic reticulum	168	93	10	8161	0.1075268817204301	0.0595238095238095	query_1	['KEGG:00000']	['HSPA1A', 'HSP90AB1', 'HSPH1', 'DNAJA2', 'RBX1', 'SKP1', 'HSP90AA1', 'TRAF2', 'HSPA8', 'CUL1']
841	REAC	REAC:R-HSA-209543	p75NTR recruits signalling complexes	0.0017202813142725	True	p75NTR recruits signalling complexes	13	96	4	10790	0.0416666666666666	0.3076923076923077	query_1	['REAC:R-HSA-193639']	['MYD88', 'IKBKB', 'IRAK1', 'TRAF6']
842	HPA	HPA:0130201	colon; endothelial cells[≥Low]	0.0018355665476199	True	colon; endothelial cells[≥Low]	5667	73	56	11006	0.7671232876712328	0.0098817716604905	query_1	['HPA:0130000']	['CUL3', 'PTPN22', 'SHARPIN', 'STIP1', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'NFKBIE', 'CREBBP', 'MYD88', 'OPTN', 'MAP3K14', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'DNAJA2', 'FKBP5', 'TBKBP1', 'IKBKE', 'AZI2', 'BTRC', 'RNF31', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'TRADD', 'IRAK1', 'TNIP1', 'NFKB2', 'FBXW11', 'SNX33', 'MAP3K7', 'CAND1', 'RELB', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'CUL1', 'PTGES3', 'FBXW7', 'BCL10', 'CD14', 'LRSAM1', 'UBE2N', 'TNFAIP3', 'CDC37']
843	GO:BP	GO:0097398	cellular response to interleukin-17	0.0018684539743561	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-17 stimulus."" [GOC:pr]"	16	101	4	21110	0.0396039603960396	0.25	query_1	['GO:0071345', 'GO:0097396']	['IKBKE', 'NFKB1', 'TRAF2', 'TRAF6']
844	GO:BP	GO:0050862	positive regulation of T cell receptor signaling pathway	0.0018684539743561	True	"""Any process that activates or increases the frequency, rate or extent of signaling pathways initiated by the cross-linking of an antigen receptor on a T cell."" [GOC:ai]"	16	101	4	21110	0.0396039603960396	0.25	query_1	['GO:0050852', 'GO:0050856', 'GO:0050857']	['CARD11', 'RELA', 'IKBKG', 'BCL10']
845	GO:BP	GO:0023035	CD40 signaling pathway	0.0018684539743561	True	"""The series of molecular signals initiated by the binding of the cell surface receptor CD40 to one of its physiological ligands, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mtg_signal, GOC:signaling, PMID:11348017]"	16	101	4	21110	0.0396039603960396	0.25	query_1	['GO:0007166']	['SHARPIN', 'RNF31', 'TNIP2', 'TNFAIP3']
846	GO:BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.0018986302100492	True	"""Any process that activates or increases the frequency, rate, or extent of an adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains. An example of this process is found in the Gnathostomata."" [GOC:add, GOC:mtg_sensu]"	108	101	7	21110	0.0693069306930693	0.0648148148148148	query_1	['GO:0002460', 'GO:0002821', 'GO:0002822']	['TNF', 'FADD', 'LTA', 'MALT1', 'TRAF2', 'MAP3K7', 'TRAF6']
847	WP	WP:WP4341	Non-genomic actions of 1,25 dihydroxyvitamin D3	0.0019235102198184	True	Non-genomic actions of 1,25 dihydroxyvitamin D3	73	88	7	8133	0.0795454545454545	0.0958904109589041	query_1	['WP:000000']	['TNFRSF1A', 'IKBKB', 'TLR4', 'TNF', 'NFKB1', 'NFKB2', 'RELB']
848	GO:BP	GO:0045732	positive regulation of protein catabolic process	0.0019363298387226	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:go_curators]"	214	101	9	21110	0.0891089108910891	0.0420560747663551	query_1	['GO:0009896', 'GO:0030163', 'GO:0042176', 'GO:0051247']	['HSPA1A', 'GSK3B', 'TNFRSF1B', 'RBX1', 'TNF', 'HSP90AA1', 'SNX33', 'FBXW7', 'TNFAIP3']
849	HP	HP:0002037	Inflammation of the large intestine	0.0019751643931917	True	Inflammation, or an inflammatory state in the large intestine.	84	49	8	4851	0.1632653061224489	0.0952380952380952	query_1	['HP:0002250', 'HP:0004386']	['CASP10', 'FASLG', 'RBCK1', 'FAS', 'RIPK1', 'MAP3K7', 'BCL10', 'TNFAIP3']
850	HP	HP:0005263	Gastritis	0.0020787238344943	True	The presence of inflammation of the gastric mucous membrane.	21	49	5	4851	0.1020408163265306	0.238095238095238	query_1	['HP:0004295']	['CASP10', 'FASLG', 'FAS', 'NFKB1', 'RIPK1']
851	GO:BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	0.0021083617868151	True	"""The series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with withdrawal of a ligand from a cell surface receptor, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis, PMID:15044679, PMID:20816705]"	69	101	6	21110	0.0594059405940594	0.0869565217391304	query_1	['GO:0038034', 'GO:0097191']	['HSPA1A', 'GSK3B', 'TNF', 'FAS', 'FADD', 'RIPK1']
852	GO:BP	GO:0038034	signal transduction in absence of ligand	0.0021083617868151	True	"""The series of molecular signals initiated by the absence of a ligand or the withdrawal of a ligand from a receptor."" [GOC:al, GOC:ppm, GOC:pr, PMID:15044679]"	69	101	6	21110	0.0594059405940594	0.0869565217391304	query_1	['GO:0007165']	['HSPA1A', 'GSK3B', 'TNF', 'FAS', 'FADD', 'RIPK1']
853	HP	HP:0002315	Headache	0.0021114838854382	True	Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve.	316	49	14	4851	0.2857142857142857	0.0443037974683544	query_1	['HP:0012638']	['PTPN22', 'MYD88', 'TRAF3', 'CASP10', 'TNFRSF1A', 'RELA', 'FASLG', 'TLR4', 'SPOP', 'TBK1', 'TNF', 'FAS', 'IRAK1', 'TICAM1']
854	CORUM	CORUM:2715	Ubiquitin E3 ligase (CSN1, CSN8, HRT1, SKP1, SKP2, CUL1, CUL2, CUL3)	0.0021494660865907	True	Ubiquitin E3 ligase (CSN1, CSN8, HRT1, SKP1, SKP2, CUL1, CUL2, CUL3)	8	76	4	3383	0.0526315789473684	0.5	query_1	['CORUM:0000000']	['CUL3', 'RBX1', 'SKP1', 'CUL1']
855	GO:BP	GO:0002369	T cell cytokine production	0.0021839687427969	True	"""Any process that contributes to cytokine production by a T cell."" [GOC:add, ISBN:0781735149]"	38	101	5	21110	0.0495049504950495	0.131578947368421	query_1	['GO:0002367', 'GO:0002456']	['TNFRSF1B', 'MALT1', 'TRAF2', 'MAP3K7', 'TRAF6']
856	GO:BP	GO:0002724	regulation of T cell cytokine production	0.0021839687427969	True	"""Any process that modulates the frequency, rate, or extent of T cell cytokine production."" [GOC:add]"	38	101	5	21110	0.0495049504950495	0.131578947368421	query_1	['GO:0002369', 'GO:0002709', 'GO:0002718']	['TNFRSF1B', 'MALT1', 'TRAF2', 'MAP3K7', 'TRAF6']
857	REAC	REAC:R-HSA-5669034	TNFs bind their physiological receptors	0.0021886289666022	True	TNFs bind their physiological receptors	29	96	5	10790	0.0520833333333333	0.1724137931034483	query_1	['REAC:R-HSA-5668541']	['TNFRSF1B', 'TNFRSF1A', 'FASLG', 'LTA', 'TNFSF14']
858	HP	HP:0001871	Abnormality of blood and blood-forming tissues	0.0021975989852182	True	An abnormality of the hematopoietic system.	1382	49	30	4851	0.6122448979591837	0.0217076700434153	query_1	['HP:0000118']	['PTPN22', 'CARD11', 'TNFRSF1B', 'CREBBP', 'MYD88', 'TRAF3', 'CASP10', 'TNFRSF1A', 'IKBKB', 'FASLG', 'TLR4', 'FYB1', 'IRAK4', 'RBCK1', 'TBK1', 'FAS', 'FADD', 'NFKB1', 'RIPK1', 'IRAK1', 'MALT1', 'NFKB2', 'IKBKG', 'BIRC3', 'REL', 'CASP8', 'TICAM1', 'FBXW7', 'BCL10', 'TNFAIP3']
859	GO:BP	GO:0002449	lymphocyte mediated immunity	0.0022084750732574	True	"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	353	101	11	21110	0.1089108910891089	0.0311614730878186	query_1	['GO:0002443']	['TNFRSF1B', 'MYD88', 'TNF', 'FADD', 'IRF7', 'LTA', 'MALT1', 'TRAF2', 'MAP3K7', 'TRAF6', 'BCL10']
860	KEGG	KEGG:04215	Apoptosis - multiple species	0.002343544113795	True	Apoptosis - multiple species	32	93	5	8161	0.053763440860215	0.15625	query_1	['KEGG:00000']	['TNFRSF1A', 'FADD', 'BIRC3', 'BIRC2', 'CASP8']
861	REAC	REAC:R-HSA-1170546	Prolactin receptor signaling	0.0023919910213307	True	Prolactin receptor signaling	14	96	4	10790	0.0416666666666666	0.2857142857142857	query_1	['REAC:R-HSA-1280215']	['RBX1', 'BTRC', 'SKP1', 'CUL1']
862	HP	HP:0002850	Decreased circulating total IgM	0.0023961652954406	True	An abnormally decreased level of immunoglobulin M (IgM) in blood.	60	49	7	4851	0.1428571428571428	0.1166666666666666	query_1	['HP:0004313', 'HP:0410243']	['CARD11', 'CASP10', 'FASLG', 'FAS', 'NFKB2', 'IKBKG', 'CASP8']
863	GO:BP	GO:2000345	regulation of hepatocyte proliferation	0.0024343918388309	True	"""Any process that modulates the frequency, rate or extent of hepatocyte proliferation."" [GOC:BHF, GOC:mah]"	17	101	4	21110	0.0396039603960396	0.2352941176470588	query_1	['GO:0050678', 'GO:0072574']	['TNF', 'CFLAR', 'FBXW7', 'TNFAIP3']
864	GO:BP	GO:0097396	response to interleukin-17	0.0024343918388309	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-17 stimulus."" [GOC:pr]"	17	101	4	21110	0.0396039603960396	0.2352941176470588	query_1	['GO:0034097']	['IKBKE', 'NFKB1', 'TRAF2', 'TRAF6']
865	GO:BP	GO:1902916	positive regulation of protein polyubiquitination	0.0024343918388309	True	"""Any process that activates or increases the frequency, rate or extent of protein polyubiquitination."" [GO_REF:0000058, GOC:di, GOC:TermGenie, PMID:23645667]"	17	101	4	21110	0.0396039603960396	0.2352941176470588	query_1	['GO:0000209', 'GO:0031398', 'GO:1902914']	['PTPN22', 'UBE2V1', 'BIRC2', 'UBE2N']
866	WP	WP:WP2034	Leptin signaling pathway	0.002514115212925	True	Leptin signaling pathway	76	88	7	8133	0.0795454545454545	0.0921052631578947	query_1	['WP:000000']	['GSK3B', 'CHUK', 'RELA', 'IKBKB', 'NFKB1', 'IKBKG', 'REL']
867	GO:BP	GO:0002821	positive regulation of adaptive immune response	0.0027370470820193	True	"""Any process that activates or increases the frequency, rate, or extent of an adaptive immune response."" [GOC:add]"	114	101	7	21110	0.0693069306930693	0.0614035087719298	query_1	['GO:0002250', 'GO:0002819', 'GO:0050778']	['TNF', 'FADD', 'LTA', 'MALT1', 'TRAF2', 'MAP3K7', 'TRAF6']
868	GO:BP	GO:0070665	positive regulation of leukocyte proliferation	0.0027864053054727	True	"""Any process that activates or increases the frequency, rate or extent of leukocyte proliferation."" [GOC:add, GOC:mah]"	165	101	8	21110	0.0792079207920792	0.0484848484848484	query_1	['GO:0008284', 'GO:0070661', 'GO:0070663']	['PTPN22', 'CARD11', 'MYD88', 'TLR4', 'FADD', 'PELI1', 'TRAF6', 'TICAM1']
869	HP	HP:0002715	Abnormality of the immune system	0.0028613017034837	True	An abnormality of the immune system.	1949	49	36	4851	0.7346938775510204	0.0184710107747562	query_1	['HP:0000118']	['PTPN22', 'CARD11', 'TNFRSF1B', 'CREBBP', 'MYD88', 'TRAF3', 'CASP10', 'TNFRSF1A', 'IKBKB', 'FASLG', 'TLR4', 'IRAK4', 'RBCK1', 'TBK1', 'TNF', 'FAS', 'FADD', 'IRF7', 'NFKB1', 'RIPK1', 'IRAK1', 'MALT1', 'NFKB2', 'XPNPEP3', 'IKBKG', 'BIRC3', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'NFKBIA', 'CASP8', 'TICAM1', 'FBXW7', 'BCL10', 'TNFAIP3']
870	GO:BP	GO:0033674	positive regulation of kinase activity	0.0028768585265791	True	"""Any process that activates or increases the frequency, rate or extent of kinase activity, the catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [GOC:mah]"	441	101	12	21110	0.1188118811881188	0.0272108843537414	query_1	['GO:0042327', 'GO:0043549', 'GO:0051347']	['HSP90AB1', 'TAB2', 'TLR4', 'TNF', 'IRAK1', 'MALT1', 'HSP90AA1', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6', 'FBXW7']
871	GO:BP	GO:0002708	positive regulation of lymphocyte mediated immunity	0.0029031168686812	True	"""Any process that activates or increases the frequency, rate, or extent of lymphocyte mediated immunity."" [GOC:add]"	115	101	7	21110	0.0693069306930693	0.0608695652173913	query_1	['GO:0002449', 'GO:0002705', 'GO:0002706']	['TNF', 'FADD', 'LTA', 'MALT1', 'TRAF2', 'MAP3K7', 'TRAF6']
872	GO:BP	GO:0043406	positive regulation of MAP kinase activity	0.0029031168686812	True	"""Any process that activates or increases the frequency, rate or extent of MAP kinase activity."" [GOC:dph, GOC:go_curators]"	115	101	7	21110	0.0693069306930693	0.0608695652173913	query_1	['GO:0043405', 'GO:0043410', 'GO:0071902']	['TLR4', 'TNF', 'IRAK1', 'TAB1', 'TRAF2', 'MAP3K7', 'TRAF6']
873	KEGG	KEGG:04710	Circadian rhythm	0.003180533917676	True	Circadian rhythm	34	93	5	8161	0.053763440860215	0.1470588235294117	query_1	['KEGG:00000']	['RBX1', 'BTRC', 'SKP1', 'FBXW11', 'CUL1']
874	HPA	HPA:0030000	appendix	0.0032111423830999	True	appendix	7821	73	67	11006	0.9178082191780822	0.0085666794527554	query_1	['HPA:0000000']	['CUL3', 'PTPN22', 'SHARPIN', 'CARD11', 'STIP1', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'NFKBIE', 'CREBBP', 'MYD88', 'OPTN', 'MAP3K14', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'DNAJA2', 'FKBP5', 'FASLG', 'IKBKE', 'FYB1', 'AZI2', 'BTRC', 'SKAP2', 'RNF31', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'TRADD', 'IRAK1', 'MALT1', 'LTB', 'TNIP1', 'NFKB2', 'XPNPEP3', 'HSP90AA1', 'FBXW11', 'SNX33', 'TAB1', 'BIRC3', 'MAP3K7', 'RELB', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'PTGES3', 'FBXW7', 'BCL10', 'CD14', 'LRSAM1', 'UBE2N', 'TNFAIP3', 'CDC37']
875	GO:BP	GO:0045429	positive regulation of nitric oxide biosynthetic process	0.0032238076880877	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of nitric oxide."" [GOC:go_curators]"	41	101	5	21110	0.0495049504950495	0.1219512195121951	query_1	['GO:0006809', 'GO:0031328', 'GO:0045428', 'GO:1904407']	['HSP90AB1', 'TLR4', 'TNF', 'HSP90AA1', 'TICAM1']
876	GO:BP	GO:0060338	regulation of type I interferon-mediated signaling pathway	0.0032238076880877	True	"""Any process that modulates the rate, frequency or extent of a type I interferon-mediated signaling pathway."" [GOC:dph]"	41	101	5	21110	0.0495049504950495	0.1219512195121951	query_1	['GO:0001959', 'GO:0045088', 'GO:0060337']	['IKBKE', 'TBK1', 'FADD', 'IRF7', 'CDC37']
877	REAC	REAC:R-HSA-844456	The NLRP3 inflammasome	0.0032395955561803	True	The NLRP3 inflammasome	15	96	4	10790	0.0416666666666666	0.2666666666666666	query_1	['REAC:R-HSA-622312']	['HSP90AB1', 'RELA', 'NFKB1', 'NFKB2']
878	KEGG	KEGG:04340	Hedgehog signaling pathway	0.0032884682947185	True	Hedgehog signaling pathway	56	93	6	8161	0.064516129032258	0.1071428571428571	query_1	['KEGG:00000']	['CUL3', 'GSK3B', 'SPOP', 'BTRC', 'FBXW11', 'CUL1']
879	HP	HP:0011839	Abnormal T cell count	0.0033553584574965	True	A deviation from the normal count of T cells.	90	49	8	4851	0.1632653061224489	0.0888888888888888	query_1	['HP:0002843', 'HP:0040088']	['CARD11', 'CASP10', 'IKBKB', 'FASLG', 'FAS', 'RIPK1', 'CASP8', 'BCL10']
880	HP	HP:0002843	Abnormal T cell morphology	0.0033553584574965	True	An abnormality of T cells.	90	49	8	4851	0.1632653061224489	0.0888888888888888	query_1	['HP:0004332']	['CARD11', 'CASP10', 'IKBKB', 'FASLG', 'FAS', 'RIPK1', 'CASP8', 'BCL10']
881	HP	HP:0100827	Lymphocytosis	0.0033855850516325	True	Increase in the number or proportion of lymphocytes in the blood.	23	49	5	4851	0.1020408163265306	0.217391304347826	query_1	['HP:0001974', 'HP:0040088']	['CARD11', 'CASP10', 'FASLG', 'FAS', 'REL']
882	HPA	HPA:0060101	bronchus; respiratory epithelial cells[≥Low]	0.0035004044530436	True	bronchus; respiratory epithelial cells[≥Low]	5931	73	57	11006	0.7808219178082192	0.0096105209914011	query_1	['HPA:0060000']	['CUL3', 'PTPN22', 'SHARPIN', 'STIP1', 'MAP3K8', 'TANK', 'HSPA1A', 'GSK3B', 'NFKBIE', 'CREBBP', 'MYD88', 'OPTN', 'MAP3K14', 'HTT', 'CASP10', 'IRAK3', 'HSP90AB1', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'DNAJA2', 'FKBP5', 'IKBKE', 'AZI2', 'BTRC', 'RNF31', 'FADD', 'IRF7', 'NFKB1', 'TNIP2', 'PELI1', 'RIPK1', 'SKP1', 'TRADD', 'IRAK1', 'TNIP1', 'NFKB2', 'XPNPEP3', 'FBXW11', 'SNX33', 'TAB1', 'CAND1', 'RELB', 'TRAF6', 'NFKBIA', 'CASP8', 'TAB3', 'TICAM1', 'CUL1', 'FBXW7', 'BCL10', 'LRSAM1', 'UBE2N', 'TNFAIP3', 'CDC37']
883	GO:BP	GO:0050863	regulation of T cell activation	0.0036778308580554	True	"""Any process that modulates the frequency, rate or extent of T cell activation."" [GOC:ai]"	372	101	11	21110	0.1089108910891089	0.0295698924731182	query_1	['GO:0042110', 'GO:0051249']	['PTPN22', 'CARD11', 'MAP3K8', 'TNFRSF1B', 'HSPH1', 'FADD', 'PELI1', 'TNFSF14', 'MALT1', 'TRAF6', 'BCL10']
