Progeroid syndrome, Petty type	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
1637	GO:BP	GO:1903038	negative regulation of leukocyte cell-cell adhesion	0.0206761666500772	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	134	98	4	17376	0.0408163265306122	0.0298507462686567	query_1	['GO:0007159', 'GO:0022408', 'GO:1903037']	['SMAD7', 'SFTPD', 'TGFB1', 'ERBB2']
1638	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	0.0206761666500772	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3138	98	28	17376	0.2857142857142857	0.0089228808158062	query_1	['GO:0097659', 'GO:2001141']	['MET', 'NCK1', 'SMURF2', 'SRC', 'SPP1', 'SMAD7', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'ZNF398', 'WASL', 'SOS1', 'PAX3', 'WAS', 'DVL2', 'TGFB1', 'EGFR', 'SYK', 'ERBB2', 'CC2D1B', 'TGFBR1', 'PKD1', 'SMAD3', 'NCK2']
1639	GO:BP	GO:0032774	RNA biosynthetic process	0.0208735372179601	True	"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]"	3290	98	29	17376	0.2959183673469387	0.0088145896656534	query_1	['GO:0009059', 'GO:0016070', 'GO:0034654']	['MET', 'NCK1', 'SMURF2', 'SRC', 'SPP1', 'SMAD7', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'ZNF398', 'WASL', 'SOS1', 'PXN', 'PAX3', 'WAS', 'DVL2', 'TGFB1', 'EGFR', 'SYK', 'ERBB2', 'CC2D1B', 'TGFBR1', 'PKD1', 'SMAD3', 'NCK2']
1640	GO:BP	GO:0002218	activation of innate immune response	0.0210850057309084	True	"""Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species."" [GO_REF:0000022, GOC:add, GOC:mtg_sensu, ISBN:0781735149, PMID:15199967, PMID:16177805]"	213	98	5	17376	0.0510204081632653	0.0234741784037558	query_1	['GO:0002253', 'GO:0045089']	['SRC', 'PLCG2', 'FYN', 'LYN', 'SYK']
1641	GO:BP	GO:0043588	skin development	0.0211039879407561	True	"""The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue."" [GOC:jl, UBERON:0002097]"	301	98	6	17376	0.0612244897959183	0.0199335548172757	query_1	['GO:0048513']	['MET', 'LATS1', 'SOS1', 'EGFR', 'PKD1', 'ITGB6']
1642	GO:BP	GO:1903052	positive regulation of proteolysis involved in protein catabolic process	0.0211404525196275	True	"""Any process that activates or increases the frequency, rate or extent of proteolysis involved in protein catabolic process."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:18307834]"	135	98	4	17376	0.0408163265306122	0.0296296296296296	query_1	['GO:0045862', 'GO:0051603', 'GO:1903050']	['SMAD7', 'SMURF1', 'PTK2B', 'PTK2']
1643	GO:BP	GO:0003143	embryonic heart tube morphogenesis	0.0212637738342053	True	"""The process in which the anatomical structures of the embryonic heart tube are generated and organized. The embryonic heart tube is an epithelial tube that will give rise to the mature heart."" [GOC:mtg_heart]"	70	98	3	17376	0.0306122448979591	0.0428571428571428	query_1	['GO:0003007', 'GO:0035050', 'GO:0048562', 'GO:0048598', 'GO:0060562']	['TGFBR2', 'DVL2', 'SMAD3']
1644	GO:BP	GO:0001707	mesoderm formation	0.0212637738342053	True	"""The process that gives rise to the mesoderm. This process pertains to the initial formation of the structure from unspecified parts."" [GOC:go_curators]"	70	98	3	17376	0.0306122448979591	0.0428571428571428	query_1	['GO:0001704', 'GO:0048332']	['ITGB1', 'ITGB3', 'SMAD3']
1645	GO:BP	GO:0060415	muscle tissue morphogenesis	0.0212637738342053	True	"""The process in which the anatomical structures of muscle tissue are generated and organized. Muscle tissue consists of a set of cells that are part of an organ and carry out a contractive function."" [GOC:dph]"	70	98	3	17376	0.0306122448979591	0.0428571428571428	query_1	['GO:0048644', 'GO:0048729']	['SMAD7', 'TGFB1', 'TGFBR1']
1646	GO:BP	GO:0061180	mammary gland epithelium development	0.0212637738342053	True	"""The process whose specific outcome is the progression of the mammary gland epithelium over time, from its formation to the mature structure. The mammary gland is a large compound sebaceous gland that in female mammals is modified to secrete milk."" [GOC:dph, GOC:yaf]"	70	98	3	17376	0.0306122448979591	0.0428571428571428	query_1	['GO:0030879', 'GO:0060429']	['LATS1', 'SRC', 'TGFB1']
1647	GO:BP	GO:1903036	positive regulation of response to wounding	0.0212637738342053	True	"""Any process that activates or increases the frequency, rate or extent of response to wounding."" [GO_REF:0000058, GOC:kmv, GOC:TermGenie, PMID:19164535]"	70	98	3	17376	0.0306122448979591	0.0428571428571428	query_1	['GO:0009611', 'GO:0048584', 'GO:1903034']	['ITGB1', 'VTN', 'PTK2']
1648	GO:BP	GO:0060411	cardiac septum morphogenesis	0.0212637738342053	True	"""The process in which the anatomical structure of a cardiac septum is generated and organized. A cardiac septum is a partition that separates parts of the heart."" [GOC:dph, GOC:mtg_heart]"	70	98	3	17376	0.0306122448979591	0.0428571428571428	query_1	['GO:0003206', 'GO:0003279', 'GO:0009653']	['SMAD7', 'TGFBR2', 'TGFBR1']
1649	GO:BP	GO:0002833	positive regulation of response to biotic stimulus	0.0212948739148989	True	"""Any process that activates or increases the frequency, rate, or extent of a response to biotic stimulus."" [GOC:add]"	302	98	6	17376	0.0612244897959183	0.0198675496688741	query_1	['GO:0002831', 'GO:0009607', 'GO:0048584']	['SRC', 'PLCG2', 'FYN', 'LYN', 'VAV1', 'SYK']
1650	GO:BP	GO:0060444	branching involved in mammary gland duct morphogenesis	0.0215318746119311	True	"""The process in which the branching structure of the mammary gland duct is generated and organized. The mammary gland is a large compound sebaceous gland that in female mammals is modified to secrete milk."" [GOC:dph]"	23	98	2	17376	0.0204081632653061	0.0869565217391304	query_1	['GO:0048754', 'GO:0060603']	['SRC', 'TGFB1']
1651	GO:BP	GO:0042552	myelination	0.0215318746119311	True	"""The process in which myelin sheaths are formed and maintained around neurons. Oligodendrocytes in the brain and spinal cord and Schwann cells in the peripheral nervous system wrap axons with compact layers of their plasma membrane. Adjacent myelin segments are separated by a non-myelinated stretch of axon called a node of Ranvier."" [GOC:dgh, GOC:mah]"	136	98	4	17376	0.0408163265306122	0.0294117647058823	query_1	['GO:0008366']	['HGF', 'PARD3', 'TGFB1', 'ERBB2']
1652	GO:BP	GO:0035024	negative regulation of Rho protein signal transduction	0.0215318746119311	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of Rho protein signal transduction."" [GOC:bf]"	23	98	2	17376	0.0204081632653061	0.0869565217391304	query_1	['GO:0007266', 'GO:0035023', 'GO:0046580']	['MET', 'ITGB1']
1653	GO:BP	GO:2000178	negative regulation of neural precursor cell proliferation	0.0215318746119311	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of neural precursor cell proliferation."" [GOC:dph, GOC:yaf]"	23	98	2	17376	0.0204081632653061	0.0869565217391304	query_1	['GO:0008285', 'GO:0061351', 'GO:2000177']	['RAPGEF1', 'TGFB1']
1654	GO:BP	GO:0010640	regulation of platelet-derived growth factor receptor signaling pathway	0.0215318746119311	True	"""Any process that modulates the frequency, rate or extent of the platelet-derived growth factor receptor signaling pathway."" [GOC:dph, GOC:hjd, GOC:tb]"	23	98	2	17376	0.0204081632653061	0.0869565217391304	query_1	['GO:0009966', 'GO:0048008']	['SRC', 'CBL']
1655	GO:BP	GO:0060537	muscle tissue development	0.021832450115617	True	"""The progression of muscle tissue over time, from its initial formation to its mature state. Muscle tissue is a contractile tissue made up of actin and myosin fibers."" [GOC:dph]"	400	98	7	17376	0.0714285714285714	0.0175	query_1	['GO:0009888']	['ITGB1', 'SMAD7', 'TGFBR2', 'TGFB1', 'TGFBR1', 'SMAD3', 'PDGFRA']
1656	GO:BP	GO:0035270	endocrine system development	0.0219021480780722	True	"""Progression of the endocrine system over time, from its formation to a mature structure. The endocrine system is a system of hormones and ductless glands, where the glands release hormones directly into the blood, lymph or other intercellular fluid, and the hormones circulate within the body to affect distant organs. The major glands that make up the human endocrine system are the hypothalamus, pituitary, thyroid, parathryoids, adrenals, pineal body, and the reproductive glands which include the ovaries and testes."" [GOC:bf, Wikipedia:Development_of_the_endocrine_system]"	137	98	4	17376	0.0408163265306122	0.0291970802919708	query_1	['GO:0048731']	['CRKL', 'TGFBR1', 'SMAD3', 'PDGFRA']
1657	GO:BP	GO:0045727	positive regulation of translation	0.0219021480780722	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."" [GOC:dph, GOC:go_curators, GOC:tb]"	137	98	4	17376	0.0408163265306122	0.0291970802919708	query_1	['GO:0006412', 'GO:0006417', 'GO:0010557', 'GO:0010628', 'GO:0031328', 'GO:0034250', 'GO:0051247']	['NCK1', 'ERBB2', 'PTK2B', 'NCK2']
1658	GO:BP	GO:0071230	cellular response to amino acid stimulus	0.0219021480780722	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amino acid stimulus. An amino acid is a carboxylic acids containing one or more amino groups."" [GOC:mah]"	71	98	3	17376	0.0306122448979591	0.0422535211267605	query_1	['GO:0043200', 'GO:0071229', 'GO:0071417', 'GO:1901701']	['FYN', 'EGFR', 'PDGFRA']
1659	GO:BP	GO:0030177	positive regulation of Wnt signaling pathway	0.0219021480780722	True	"""Any process that activates or increases the frequency, rate or extent of Wnt signal transduction."" [GOC:dph, GOC:go_curators, GOC:tb]"	137	98	4	17376	0.0408163265306122	0.0291970802919708	query_1	['GO:0009967', 'GO:0016055', 'GO:0030111']	['SMURF2', 'SRC', 'EGFR', 'SMAD3']
1660	GO:BP	GO:0070373	negative regulation of ERK1 and ERK2 cascade	0.0219021480780722	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade."" [GOC:add, ISBN:0121245462, ISBN:0896039986]"	71	98	3	17376	0.0306122448979591	0.0422535211267605	query_1	['GO:0043409', 'GO:0070371', 'GO:0070372']	['RAPGEF1', 'LYN', 'SIRPA']
1661	GO:BP	GO:0042058	regulation of epidermal growth factor receptor signaling pathway	0.0219021480780722	True	"""Any process that modulates the frequency, rate or extent of epidermal growth factor receptor signaling pathway activity."" [GOC:go_curators]"	71	98	3	17376	0.0306122448979591	0.0422535211267605	query_1	['GO:0007173', 'GO:1901184']	['SOS1', 'EGFR', 'CBL']
1662	GO:BP	GO:2001141	regulation of RNA biosynthetic process	0.0222235194425778	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3159	98	28	17376	0.2857142857142857	0.0088635644191199	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['MET', 'NCK1', 'SMURF2', 'SRC', 'SPP1', 'SMAD7', 'TGFB3', 'PIK3R1', 'SKAP1', 'CRK', 'HGF', 'SHC1', 'PLCG2', 'ZNF398', 'WASL', 'SOS1', 'PAX3', 'WAS', 'DVL2', 'TGFB1', 'EGFR', 'SYK', 'ERBB2', 'CC2D1B', 'TGFBR1', 'PKD1', 'SMAD3', 'NCK2']
1663	GO:BP	GO:0008366	axon ensheathment	0.0223873549355325	True	"""Any process in which the axon of a neuron is insulated, and that insulation maintained, thereby preventing dispersion of the electrical signal."" [GOC:jl, ISBN:0878932437]"	138	98	4	17376	0.0408163265306122	0.0289855072463768	query_1	['GO:0007272']	['HGF', 'PARD3', 'TGFB1', 'ERBB2']
1664	GO:BP	GO:0031644	regulation of nervous system process	0.0223873549355325	True	"""Any process that modulates the frequency, rate or extent of a neurophysiological process, an organ system process carried out by any of the organs or tissues of the nervous system."" [GOC:dph, GOC:mah, GOC:tb]"	138	98	4	17376	0.0408163265306122	0.0289855072463768	query_1	['GO:0044057', 'GO:0050877']	['SRC', 'HGF', 'PARD3', 'PTK2B']
1665	GO:BP	GO:0007272	ensheathment of neurons	0.0223873549355325	True	"""The process in which glial cells envelop neuronal cell bodies and/or axons to form an insulating layer. This can take the form of myelinating or non-myelinating ensheathment."" [GOC:dgh, GOC:dph, GOC:tb]"	138	98	4	17376	0.0408163265306122	0.0289855072463768	query_1	['GO:0007399', 'GO:0009987']	['HGF', 'PARD3', 'TGFB1', 'ERBB2']
1666	GO:BP	GO:0048332	mesoderm morphogenesis	0.0226087421746715	True	"""The process in which the anatomical structures of the mesoderm are generated and organized."" [GOC:go_curators]"	72	98	3	17376	0.0306122448979591	0.0416666666666666	query_1	['GO:0007498', 'GO:0048729']	['ITGB1', 'ITGB3', 'SMAD3']
1667	GO:BP	GO:0007585	respiratory gaseous exchange by respiratory system	0.0226087421746715	True	"""The process of gaseous exchange between an organism and its environment. In plants, microorganisms, and many small animals, air or water makes direct contact with the organism's cells or tissue fluids, and the processes of diffusion supply the organism with dioxygen (O2) and remove carbon dioxide (CO2). In larger animals the efficiency of gaseous exchange is improved by specialized respiratory organs, such as lungs and gills, which are ventilated by breathing mechanisms."" [ISBN:0198506732]"	72	98	3	17376	0.0306122448979591	0.0416666666666666	query_1	['GO:0032501']	['SFTPA1', 'SFTPD', 'SFTPA2']
1668	GO:BP	GO:0042698	ovulation cycle	0.0226087421746715	True	"""The type of sexual cycle seen in females, often with physiologic changes in the endometrium that recur at regular intervals during the reproductive years."" [ISBN:0721662544]"	72	98	3	17376	0.0306122448979591	0.0416666666666666	query_1	['GO:0048511', 'GO:0048609']	['SRC', 'TGFB3', 'PDGFRA']
1669	REAC	REAC:R-HSA-3000157	Laminin interactions	0.0226653327543545	True	Laminin interactions	30	98	2	17376	0.0204081632653061	0.0666666666666666	query_1	['REAC:R-HSA-1474244']	['ITGB1', 'ITGAV']
1670	REAC	REAC:R-HSA-420029	Tight junction interactions	0.0226653327543545	True	Tight junction interactions	30	98	2	17376	0.0204081632653061	0.0666666666666666	query_1	['REAC:R-HSA-421270']	['PARD6A', 'PARD3']
1671	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	0.0228116931642341	True	Generic Transcription Pathway	1151	98	13	17376	0.1326530612244898	0.0112945264986967	query_1	['REAC:R-HSA-73857']	['MET', 'SMURF2', 'SRC', 'SPP1', 'SMAD7', 'ZNF398', 'ITGA2B', 'ITGA5', 'EGFR', 'SMURF1', 'ERBB2', 'SMAD3', 'PTPN11']
1672	GO:BP	GO:0072073	kidney epithelium development	0.0228601741571589	True	"""The process whose specific outcome is the progression of an epithelium in the kidney over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:mtg_kidney_jan10]"	139	98	4	17376	0.0408163265306122	0.0287769784172661	query_1	['GO:0001822', 'GO:0060429']	['SMAD7', 'TGFB1', 'PKD1', 'SMAD3']
1673	GO:BP	GO:0048660	regulation of smooth muscle cell proliferation	0.0228601741571589	True	"""Any process that modulates the frequency, rate or extent of smooth muscle cell proliferation."" [CL:0000192, GOC:ebc]"	139	98	4	17376	0.0408163265306122	0.0287769784172661	query_1	['GO:0042127', 'GO:0048659']	['SRC', 'ITGB3', 'TGFB3', 'TGFBR2']
1674	GO:BP	GO:0032331	negative regulation of chondrocyte differentiation	0.0229527693708191	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of chondrocyte differentiation."" [GOC:mah]"	24	98	2	17376	0.0204081632653061	0.0833333333333333	query_1	['GO:0002062', 'GO:0032330', 'GO:0045596', 'GO:0061037']	['TGFBR1', 'PTPN11']
1675	GO:BP	GO:0070723	response to cholesterol	0.0229527693708191	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cholesterol stimulus."" [GOC:BHF, GOC:vk]"	24	98	2	17376	0.0204081632653061	0.0833333333333333	query_1	['GO:0036314', 'GO:0097305']	['TGFBR2', 'TGFBR1']
1676	GO:BP	GO:0051220	cytoplasmic sequestering of protein	0.0229527693708191	True	"""The selective interaction of a protein with specific molecules in the cytoplasm, thereby inhibiting its transport into other areas of the cell."" [GOC:ai]"	24	98	2	17376	0.0204081632653061	0.0833333333333333	query_1	['GO:0045185']	['LATS1', 'PKD1']
1677	GO:BP	GO:0043555	regulation of translation in response to stress	0.0229527693708191	True	"""Modulation of the frequency, rate or extent of translation as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:jl]"	24	98	2	17376	0.0204081632653061	0.0833333333333333	query_1	['GO:0006417', 'GO:0033554']	['NCK1', 'NCK2']
1678	GO:BP	GO:1903205	regulation of hydrogen peroxide-induced cell death	0.0229527693708191	True	"""Any process that modulates the frequency, rate or extent of hydrogen peroxide-induced cell death."" [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie]"	24	98	2	17376	0.0204081632653061	0.0833333333333333	query_1	['GO:0036474', 'GO:1901031', 'GO:1903201']	['MET', 'HGF']
1679	GO:BP	GO:0045932	negative regulation of muscle contraction	0.0229527693708191	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of muscle contraction."" [GOC:go_curators]"	24	98	2	17376	0.0204081632653061	0.0833333333333333	query_1	['GO:0006936', 'GO:0006937', 'GO:0051241']	['DOCK4', 'DOCK5']
1680	GO:BP	GO:0034114	regulation of heterotypic cell-cell adhesion	0.0229527693708191	True	"""Any process that modulates the frequency, rate, or extent of heterotypic cell-cell adhesion."" [GOC:add]"	24	98	2	17376	0.0204081632653061	0.0833333333333333	query_1	['GO:0022407', 'GO:0034113']	['SKAP1', 'LCK']
1681	GO:BP	GO:0050807	regulation of synapse organization	0.0229527693708191	True	"""Any process that modulates the physical form of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai, GOC:dph, GOC:tb]"	219	98	5	17376	0.0510204081632653	0.0228310502283105	query_1	['GO:0050803', 'GO:0050808', 'GO:0051128']	['ITGB1', 'WASL', 'ASAP1', 'FYN', 'PTK2B']
1682	REAC	REAC:R-HSA-877300	Interferon gamma signaling	0.0231416752079833	True	Interferon gamma signaling	86	98	3	17376	0.0306122448979591	0.0348837209302325	query_1	['REAC:R-HSA-913531']	['SMAD7', 'FCGR1A', 'PTPN11']
1683	GO:BP	GO:0003281	ventricular septum development	0.0232754434542992	True	"""The progression of the ventricular septum over time from its formation to the mature structure."" [GOC:mtg_heart]"	73	98	3	17376	0.0306122448979591	0.0410958904109589	query_1	['GO:0003231', 'GO:0003279']	['SMAD7', 'TGFBR2', 'TGFBR1']
1684	GO:BP	GO:0050921	positive regulation of chemotaxis	0.0238221393747841	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of a motile cell or organism in response to a specific chemical concentration gradient."" [GOC:ai]"	141	98	4	17376	0.0408163265306122	0.0283687943262411	query_1	['GO:0006935', 'GO:0032103', 'GO:0040017', 'GO:0050920']	['MET', 'PTK2B', 'PTK2', 'SMAD3']
1685	GO:BP	GO:0044092	negative regulation of molecular function	0.0239578945994058	True	"""Any process that stops or reduces the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	971	98	12	17376	0.1224489795918367	0.0123583934088568	query_1	['GO:0065009']	['MET', 'LATS1', 'ITGAV', 'SRC', 'SMAD7', 'ITGB3', 'HGF', 'LYN', 'SHB', 'VTN', 'PKD1', 'CBL']
1686	GO:BP	GO:0030968	endoplasmic reticulum unfolded protein response	0.024103102544113	True	"""The series of molecular signals generated as a consequence of the presence of unfolded proteins in the endoplasmic reticulum (ER) or other ER-related stress; results in changes in the regulation of transcription and translation."" [GOC:mah, PMID:12042763]"	74	98	3	17376	0.0306122448979591	0.0405405405405405	query_1	['GO:0007165', 'GO:0034620', 'GO:0034976']	['NCK1', 'PIK3R1', 'NCK2']
1687	GO:CC	GO:0034774	secretory granule lumen	0.0242275782444052	True	"""The volume enclosed by the membrane of a secretory granule."" [GOC:rph]"	313	98	6	17376	0.0612244897959183	0.0191693290734824	query_1	['GO:0030141', 'GO:0060205']	['FN1', 'TGFB3', 'HGF', 'VCL', 'OSCAR', 'DOCK2']
1688	GO:BP	GO:0072006	nephron development	0.0243306933215316	True	"""The process whose specific outcome is the progression of the nephron over time, from its formation to the mature structure. A nephron is the functional unit of the kidney."" [GOC:mtg_kidney_jan10]"	142	98	4	17376	0.0408163265306122	0.028169014084507	query_1	['GO:0001822', 'GO:0048856']	['ITGB3', 'TGFB1', 'PKD1', 'PDGFRA']
1689	GO:BP	GO:2001056	positive regulation of cysteine-type endopeptidase activity	0.0243306933215316	True	"""Any process that activates or increases the frequency, rate or extent of cysteine-type endopeptidase activity."" [GOC:obol]"	142	98	4	17376	0.0408163265306122	0.028169014084507	query_1	['GO:0010950', 'GO:2000116']	['FYN', 'SYK', 'LCK', 'SMAD3']
1690	GO:BP	GO:0032967	positive regulation of collagen biosynthetic process	0.0245619269278328	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals."" [GOC:mah]"	25	98	2	17376	0.0204081632653061	0.08	query_1	['GO:0009891', 'GO:0010714', 'GO:0032964', 'GO:0032965']	['TGFB3', 'TGFB1']
1691	GO:BP	GO:1904752	regulation of vascular associated smooth muscle cell migration	0.0245619269278328	True	"""Any process that modulates the frequency, rate or extent of vascular associated smooth muscle cell migration."" [GO_REF:0000058, GOC:BHF, GOC:BHF_miRNA, GOC:rph, GOC:TermGenie, PMID:20693317]"	25	98	2	17376	0.0204081632653061	0.08	query_1	['GO:0014910', 'GO:1904738']	['DOCK4', 'DOCK5']
1692	GO:BP	GO:0006929	substrate-dependent cell migration	0.0245619269278328	True	"""The orderly movement of a cell from one site to another along a substrate such as the extracellular matrix; the migrating cell forms a protrusion that attaches to the substrate."" [ISBN:0815316194, PMID:11944043, PMID:14657486]"	25	98	2	17376	0.0204081632653061	0.08	query_1	['GO:0016477']	['NCK1', 'FN1']
1693	GO:BP	GO:0097186	amelogenesis	0.0245619269278328	True	"""The process whose specific outcome is the formation of tooth enamel, occurring in two stages: secretory stage and maturation stage."" [GOC:cjm, GOC:sl, PMID:10206335, PMID:21196346]"	25	98	2	17376	0.0204081632653061	0.08	query_1	['GO:0042475', 'GO:0048646']	['TGFB1', 'ITGB6']
1694	GO:BP	GO:0015868	purine ribonucleotide transport	0.0245619269278328	True	"""The directed movement of a purine ribonucleotide, any compound consisting of a purine ribonucleoside (a purine organic base attached to a ribose sugar) esterified with (ortho)phosphate, into, out of or within a cell."" [GOC:ai]"	25	98	2	17376	0.0204081632653061	0.08	query_1	['GO:0015865', 'GO:1901264']	['CD47', 'SLC25A24']
1695	GO:BP	GO:0051016	barbed-end actin filament capping	0.0245619269278328	True	"""The binding of a protein or protein complex to the barbed (or plus) end of an actin filament, thus preventing the addition, exchange or removal of further actin subunits."" [ISBN:071673706X]"	25	98	2	17376	0.0204081632653061	0.08	query_1	['GO:0051693']	['NCK1', 'NCK2']
1696	GO:BP	GO:0046628	positive regulation of insulin receptor signaling pathway	0.0245619269278328	True	"""Any process that increases the frequency, rate or extent of insulin receptor signaling."" [GOC:bf]"	25	98	2	17376	0.0204081632653061	0.08	query_1	['GO:0008286', 'GO:0009967', 'GO:0046626', 'GO:1900078']	['SRC', 'PTPN11']
1697	GO:BP	GO:0032958	inositol phosphate biosynthetic process	0.0245619269278328	True	"""The chemical reactions and pathways resulting in the formation of an inositol phosphate, 1,2,3,4,5,6-cyclohexanehexol, with one or more phosphate groups attached."" [GOC:mah]"	25	98	2	17376	0.0204081632653061	0.08	query_1	['GO:0043647', 'GO:0046173', 'GO:0090407']	['PLCG2', 'PTK2B']
1698	GO:BP	GO:0051450	myoblast proliferation	0.0245619269278328	True	"""The multiplication or reproduction of myoblasts, resulting in the expansion of a myoblast cell population. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into skeletal muscle fibers."" [CL:0000056, GOC:ai, GOC:mtg_muscle]"	25	98	2	17376	0.0204081632653061	0.08	query_1	['GO:0008283']	['SRC', 'HGF']
1699	GO:BP	GO:0008406	gonad development	0.024699795420425	True	"""The process whose specific outcome is the progression of the gonad over time, from its formation to the mature structure. The gonad is an animal organ that produces gametes; in some species it also produces hormones."" [GOC:ems, ISBN:0198506732]"	224	98	5	17376	0.0510204081632653	0.0223214285714285	query_1	['GO:0045137', 'GO:0048513', 'GO:0048608']	['SRC', 'CRKL', 'TGFBR1', 'CBL', 'PDGFRA']
1700	GO:BP	GO:2000573	positive regulation of DNA biosynthetic process	0.024699795420425	True	"""Any process that activates or increases the frequency, rate or extent of DNA biosynthetic process."" [GOC:obol]"	75	98	3	17376	0.0306122448979591	0.04	query_1	['GO:0010557', 'GO:0031328', 'GO:0051054', 'GO:0071897', 'GO:2000278']	['SRC', 'HGF', 'PTK2B']
1701	GO:BP	GO:0048659	smooth muscle cell proliferation	0.024699795420425	True	"""The multiplication or reproduction of smooth muscle cells, resulting in the expansion of a cell population."" [CL:0000192, GOC:ebc, PMID:1840698]"	143	98	4	17376	0.0408163265306122	0.0279720279720279	query_1	['GO:0033002']	['SRC', 'ITGB3', 'TGFB3', 'TGFBR2']
1702	GO:BP	GO:0050803	regulation of synapse structure or activity	0.024699795420425	True	"""Any process that modulates the physical form or the activity of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai]"	224	98	5	17376	0.0510204081632653	0.0223214285714285	query_1	['GO:0065008']	['ITGB1', 'WASL', 'ASAP1', 'FYN', 'PTK2B']
1703	GO:BP	GO:0071479	cellular response to ionizing radiation	0.024699795420425	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [GOC:mah]"	75	98	3	17376	0.0306122448979591	0.04	query_1	['GO:0010212', 'GO:0071478']	['GRB2', 'TGFB1', 'ITGB6']
1704	GO:BP	GO:0010212	response to ionizing radiation	0.024699795420425	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."" [PMID:12509526]"	143	98	4	17376	0.0408163265306122	0.0279720279720279	query_1	['GO:0009314']	['GRB2', 'TGFB1', 'ITGB6', 'CBL']
