Ataxia-telangiectasia	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
765	REAC	REAC:R-HSA-6804760	Regulation of TP53 Activity through Methylation	0.0144219845982813	True	Regulation of TP53 Activity through Methylation	19	100	2	17376	0.02	0.1052631578947368	query_1	['REAC:R-HSA-5633007']	['ATM', 'TP53']
766	GO:BP	GO:0040029	epigenetic regulation of gene expression	0.0145788348737785	True	"""A process that modulates the frequency, rate or extent of gene expression through chromatin remodelling either by modifying higher order chromatin fiber structure, nucleosomal histones, or the DNA. Once established, this regulation may be maintained over many cell divisions. It can also be heritable in the absence of the instigating signal."" [PMID:10521337, PMID:11498582, PMID:22243696, PMID:34414474]"	171	100	5	17376	0.05	0.0292397660818713	query_1	['GO:0006338', 'GO:0010468']	['POLE3', 'BRCA1', 'CDK2', 'TP53', 'KDM1A']
767	GO:BP	GO:0033045	regulation of sister chromatid segregation	0.0148874314642348	True	"""Any process that modulates the frequency, rate or extent of sister chromatid segregation."" [GOC:mah]"	105	100	4	17376	0.04	0.0380952380952381	query_1	['GO:0000819', 'GO:0033044', 'GO:0051983']	['ATM', 'KAT5', 'XRCC3', 'RMI2']
768	GO:BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	0.0148874314642348	True	"""Any process that modulates the frequency, rate or extent of protein modification by small protein conjugation or removal."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	249	100	6	17376	0.06	0.0240963855421686	query_1	['GO:0031399', 'GO:0070647']	['AKT1', 'FANCI', 'WDR48', 'PAXIP1', 'BRCA1', 'KDM1A']
769	GO:BP	GO:0060548	negative regulation of cell death	0.0149082446506568	True	"""Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:BHF, GOC:dph, GOC:tb]"	953	100	13	17376	0.13	0.0136411332633788	query_1	['GO:0008219', 'GO:0010941', 'GO:0048523']	['AKT1', 'MSH2', 'LIG4', 'OGG1', 'AR', 'MRE11', 'BRCA1', 'PRKDC', 'XRCC2', 'BARD1', 'TP53', 'KDM1A', 'PALB2']
770	REAC	REAC:R-HSA-9723905	Loss of function of TP53 in cancer due to loss of tetramerization ability	0.0150603310133688	True	Loss of function of TP53 in cancer due to loss of tetramerization ability	1	100	1	17376	0.01	1.0	query_1	['REAC:R-HSA-9723907']	['TP53']
771	REAC	REAC:R-HSA-192814	vRNA Synthesis	0.0150603310133688	True	vRNA Synthesis	1	100	1	17376	0.01	1.0	query_1	['REAC:R-HSA-168273']	['PARP1']
772	REAC	REAC:R-HSA-9656256	Defective OGG1 Substrate Processing	0.0150603310133688	True	Defective OGG1 Substrate Processing	1	100	1	17376	0.01	1.0	query_1	['REAC:R-HSA-9656249']	['OGG1']
773	REAC	REAC:R-HSA-9723907	Loss of Function of TP53 in Cancer	0.0150603310133688	True	Loss of Function of TP53 in Cancer	1	100	1	17376	0.01	1.0	query_1	['REAC:R-HSA-9734009']	['TP53']
774	REAC	REAC:R-HSA-9656249	Defective Base Excision Repair Associated with OGG1	0.0150603310133688	True	Defective Base Excision Repair Associated with OGG1	1	100	1	17376	0.01	1.0	query_1	['REAC:R-HSA-9605308']	['OGG1']
775	REAC	REAC:R-HSA-9616334	Defective Base Excision Repair Associated with NEIL1	0.0150603310133688	True	Defective Base Excision Repair Associated with NEIL1	1	100	1	17376	0.01	1.0	query_1	['REAC:R-HSA-9605308']	['NEIL1']
776	REAC	REAC:R-HSA-9656255	Defective OGG1 Substrate Binding	0.0150603310133688	True	Defective OGG1 Substrate Binding	1	100	1	17376	0.01	1.0	query_1	['REAC:R-HSA-9656249']	['OGG1']
777	REAC	REAC:R-HSA-6803204	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	0.0151406318314031	True	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	20	100	2	17376	0.02	0.1	query_1	['REAC:R-HSA-5633008']	['ATM', 'TP53']
778	GO:BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.0152066062079435	True	"""Any process that modulates the frequency, rate, or extent of an adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains. An example of this process is found in the Gnathostomata."" [GOC:add, GOC:mtg_sensu]"	173	100	5	17376	0.05	0.0289017341040462	query_1	['GO:0002460', 'GO:0002819']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1']
779	GO:BP	GO:0030174	regulation of DNA-templated DNA replication initiation	0.0153309498108152	True	"""Any process that modulates the frequency, rate or extent of initiation of DNA-dependent DNA replication; the process in which DNA becomes competent to replicate. In eukaryotes, replication competence is established in early G1 and lost during the ensuing S phase."" [GOC:mah]"	15	100	2	17376	0.02	0.1333333333333333	query_1	['GO:0006270', 'GO:0090329']	['NBN', 'CDK2']
780	GO:BP	GO:0031399	regulation of protein modification process	0.0153741779010135	True	"""Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein."" [GOC:mah, GOC:tb]"	1437	100	17	17376	0.17	0.0118302018093249	query_1	['GO:0036211', 'GO:0051246']	['HUS1', 'AKT1', 'NBN', 'RAD50', 'FANCI', 'XRCC6', 'WDR48', 'PAXIP1', 'XRCC5', 'BLM', 'MRE11', 'RAD51', 'BRCA1', 'PRKDC', 'KAT5', 'TP53', 'KDM1A']
781	GO:BP	GO:0071417	cellular response to organonitrogen compound	0.0153741779010135	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."" [GOC:mah]"	628	100	10	17376	0.1	0.0159235668789808	query_1	['GO:0010243', 'GO:0071310', 'GO:0071495', 'GO:1901699']	['BRIP1', 'AKT1', 'PARP1', 'BLM', 'RAD51', 'APEX1', 'BRCA1', 'PRKDC', 'TP53', 'KDM1A']
782	REAC	REAC:R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	0.0154405881635267	True	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	64	100	3	17376	0.03	0.046875	query_1	['REAC:R-HSA-5625740']	['H2AX', 'AR', 'KDM1A']
783	GO:BP	GO:0030520	intracellular estrogen receptor signaling pathway	0.0154899198452857	True	"""The series of molecular signals initiated by estrogen binding to an intracellular receptor, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling]"	52	100	3	17376	0.03	0.0576923076923076	query_1	['GO:0030518']	['AR', 'PARP1', 'BRCA1']
784	GO:BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.0157211899040874	True	"""Any process that activates or increases the frequency, rate, or extent of an adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains. An example of this process is found in the Gnathostomata."" [GOC:add, GOC:mtg_sensu]"	107	100	4	17376	0.04	0.0373831775700934	query_1	['GO:0002460', 'GO:0002821', 'GO:0002822']	['MSH2', 'TP53BP1', 'PAXIP1', 'MLH1']
785	GO:BP	GO:0044270	cellular nitrogen compound catabolic process	0.0162953696637522	True	"""The chemical reactions and pathways resulting in the breakdown of organic and inorganic nitrogenous compounds."" [GOC:jl, ISBN:0198506732]"	433	100	8	17376	0.08	0.0184757505773672	query_1	['GO:0034641', 'GO:0044248']	['AKT1', 'MLH1', 'FEN1', 'OGG1', 'ATM', 'APEX1', 'POLB', 'NEIL1']
786	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	0.0164616886938549	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	100	15	17376	0.15	0.0124792013311148	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['AKT1', 'TP53BP1', 'XRCC6', 'HLTF', 'PAXIP1', 'AR', 'PARP1', 'ERCC1', 'ATM', 'APEX1', 'BRCA1', 'PRKDC', 'KAT5', 'TP53', 'KDM1A']
787	GO:BP	GO:0046700	heterocycle catabolic process	0.0164616886938549	True	"""The chemical reactions and pathways resulting in the breakdown of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [GOC:ai]"	434	100	8	17376	0.08	0.0184331797235023	query_1	['GO:0044248', 'GO:0046483']	['AKT1', 'MLH1', 'FEN1', 'OGG1', 'ATM', 'APEX1', 'POLB', 'NEIL1']
788	REAC	REAC:R-HSA-69563	p53-Dependent G1 DNA Damage Response	0.016606050973311	True	p53-Dependent G1 DNA Damage Response	66	100	3	17376	0.03	0.0454545454545454	query_1	['REAC:R-HSA-69580']	['ATM', 'CDK2', 'TP53']
789	REAC	REAC:R-HSA-69580	p53-Dependent G1/S DNA damage checkpoint	0.016606050973311	True	p53-Dependent G1/S DNA damage checkpoint	66	100	3	17376	0.03	0.0454545454545454	query_1	['REAC:R-HSA-69615']	['ATM', 'CDK2', 'TP53']
790	GO:BP	GO:1902036	regulation of hematopoietic stem cell differentiation	0.0171608216463593	True	"""Any process that modulates the frequency, rate or extent of hematopoietic stem cell differentiation."" [GOC:TermGenie, PMID:23403623]"	16	100	2	17376	0.02	0.125	query_1	['GO:0060218', 'GO:1901532', 'GO:2000736']	['PRKDC', 'KAT5']
791	GO:BP	GO:0010940	positive regulation of necrotic cell death	0.0171608216463593	True	"""Any process that increases the rate, frequency or extent of necrotic cell death. Necrotic cell death is a cell death process that is morphologically characterized by a gain in cell volume (oncosis), swelling of organelles, plasma membrane rupture and subsequent loss of intracellular contents."" [PMID:16507998]"	16	100	2	17376	0.02	0.125	query_1	['GO:0010939', 'GO:0010942', 'GO:0070265']	['PARP1', 'TP53']
792	GO:BP	GO:0033047	regulation of mitotic sister chromatid segregation	0.0179228211871787	True	"""Any process that modulates the frequency, rate or extent of sister chromatid segregation during mitosis."" [GOC:mah]"	55	100	3	17376	0.03	0.0545454545454545	query_1	['GO:0000070', 'GO:0033045']	['ATM', 'KAT5', 'XRCC3']
793	REAC	REAC:R-HSA-69615	G1/S DNA Damage Checkpoints	0.0179237358875303	True	G1/S DNA Damage Checkpoints	68	100	3	17376	0.03	0.0441176470588235	query_1	['REAC:R-HSA-69620']	['ATM', 'CDK2', 'TP53']
794	GO:BP	GO:1901989	positive regulation of cell cycle phase transition	0.0187089153315275	True	"""Any process that activates or increases the frequency, rate or extent of cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	113	100	4	17376	0.04	0.0353982300884955	query_1	['GO:0044770', 'GO:0090068', 'GO:1901987']	['AKT1', 'APEX1', 'RAD51C', 'RAD51B']
795	GO:BP	GO:0002821	positive regulation of adaptive immune response	0.0187089153315275	True	"""Any process that activates or increases the frequency, rate, or extent of an adaptive immune response."" [GOC:add]"	113	100	4	17376	0.04	0.0353982300884955	query_1	['GO:0002250', 'GO:0002819', 'GO:0050778']	['MSH2', 'TP53BP1', 'PAXIP1', 'MLH1']
796	GO:BP	GO:0031060	regulation of histone methylation	0.0187089153315275	True	"""Any process that modulates the frequency, rate or extent of the covalent addition of methyl groups to histones."" [GOC:mah]"	56	100	3	17376	0.03	0.0535714285714285	query_1	['GO:0016571', 'GO:0031056']	['PAXIP1', 'BRCA1', 'KDM1A']
797	GO:BP	GO:0036211	protein modification process	0.0187089153315275	True	"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]"	3393	100	31	17376	0.31	0.0091364574123194	query_1	['GO:0019538', 'GO:0043412']	['HUS1', 'AKT1', 'NBN', 'USP1', 'RAD50', 'FANCI', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'BRCA2', 'USP12', 'ATR', 'PARP1', 'XRCC5', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'USP46', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'BARD1', 'NDUFAF5', 'TP53', 'PHLPP2', 'KDM1A', 'RNF8']
798	GO:BP	GO:0030518	intracellular steroid hormone receptor signaling pathway	0.0187089153315275	True	"""The series of molecular signals initiated by a steroid binding to an intracellular steroid hormone receptor."" [GOC:mah, GOC:signaling]"	113	100	4	17376	0.04	0.0353982300884955	query_1	['GO:0030522', 'GO:0043401']	['AR', 'PARP1', 'BRCA1', 'KDM1A']
799	GO:BP	GO:0002700	regulation of production of molecular mediator of immune response	0.0187089153315275	True	"""Any process that modulates the frequency, rate, or extent of the production of molecular mediator of immune response."" [GOC:add]"	183	100	5	17376	0.05	0.0273224043715847	query_1	['GO:0002440', 'GO:0002697', 'GO:0010468']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1']
800	GO:BP	GO:0009223	pyrimidine deoxyribonucleotide catabolic process	0.0189844383208963	True	"""The chemical reactions and pathways resulting in the breakdown of a pyrimidine deoxyribonucleotide, a compound consisting of nucleoside (a pyrimidine base linked to a deoxyribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]"	17	100	2	17376	0.02	0.1176470588235294	query_1	['GO:0006244', 'GO:0009219', 'GO:0009264', 'GO:0046386']	['OGG1', 'NEIL1']
801	GO:BP	GO:2000042	negative regulation of double-strand break repair via homologous recombination	0.0189844383208963	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of double-strand break repair via homologous recombination."" [GOC:vw]"	17	100	2	17376	0.02	0.1176470588235294	query_1	['GO:0000724', 'GO:0010569', 'GO:0045910', 'GO:2000780']	['TP53BP1', 'RMI2']
802	GO:BP	GO:0000028	ribosomal small subunit assembly	0.0189844383208963	True	"""The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the small ribosomal subunit."" [GOC:jl, PMID:30467428]"	17	100	2	17376	0.02	0.1176470588235294	query_1	['GO:0022618', 'GO:0042255', 'GO:0042274']	['XRCC5', 'PRKDC']
803	GO:BP	GO:1900034	regulation of cellular response to heat	0.0189844383208963	True	"""Any process that modulates the frequency, rate or extent of cellular response to heat."" [GOC:TermGenie, GOC:yaf]"	17	100	2	17376	0.02	0.1176470588235294	query_1	['GO:0034605', 'GO:0080135']	['ATR', 'ATM']
804	GO:BP	GO:0002708	positive regulation of lymphocyte mediated immunity	0.019101970511313	True	"""Any process that activates or increases the frequency, rate, or extent of lymphocyte mediated immunity."" [GOC:add]"	114	100	4	17376	0.04	0.0350877192982456	query_1	['GO:0002449', 'GO:0002705', 'GO:0002706']	['MSH2', 'TP53BP1', 'PAXIP1', 'MLH1']
805	GO:BP	GO:0019439	aromatic compound catabolic process	0.0193533081457153	True	"""The chemical reactions and pathways resulting in the breakdown of aromatic compounds, any substance containing an aromatic carbon ring."" [GOC:ai]"	448	100	8	17376	0.08	0.0178571428571428	query_1	['GO:0006725', 'GO:0044248']	['AKT1', 'MLH1', 'FEN1', 'OGG1', 'ATM', 'APEX1', 'POLB', 'NEIL1']
806	GO:BP	GO:0007062	sister chromatid cohesion	0.0193533081457153	True	"""The cell cycle process in which the sister chromatids of a replicated chromosome become tethered to each other."" [GOC:jh, GOC:mah, ISBN:0815316194]"	57	100	3	17376	0.03	0.0526315789473684	query_1	['GO:0022402', 'GO:0051276']	['FEN1', 'MRE11', 'RAD51C']
807	GO:BP	GO:0060135	maternal process involved in female pregnancy	0.0202875124857954	True	"""A reproductive process occurring in the mother that allows an embryo or fetus to develop within it."" [GOC:dph]"	58	100	3	17376	0.03	0.0517241379310344	query_1	['GO:0007565', 'GO:0048609']	['AKT1', 'AR', 'PARP1']
808	GO:BP	GO:0051094	positive regulation of developmental process	0.0209257143821716	True	"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]"	1238	100	15	17376	0.15	0.0121163166397415	query_1	['GO:0032502', 'GO:0048518', 'GO:0050793']	['AKT1', 'MSH2', 'TP53BP1', 'XRCC6', 'PAXIP1', 'LIG4', 'MLH1', 'AR', 'PARP1', 'XRCC5', 'BRCA1', 'PRKDC', 'XRCC2', 'KAT5', 'KDM1A']
809	GO:BP	GO:2000269	regulation of fibroblast apoptotic process	0.0209334074599513	True	"""Any process that modulates the frequency, rate or extent of fibroblast apoptotic process."" [GOC:mtg_apoptosis, GOC:obol, GOC:yaf]"	18	100	2	17376	0.02	0.1111111111111111	query_1	['GO:0042981', 'GO:0044346']	['XRCC2', 'TP53']
810	GO:BP	GO:0043517	positive regulation of DNA damage response, signal transduction by p53 class mediator	0.0209334074599513	True	"""Any process that activates, maintains or increases the rate of the cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage."" [GOC:jl]"	18	100	2	17376	0.02	0.1111111111111111	query_1	['GO:0030330', 'GO:0043516', 'GO:1901798']	['ATR', 'ATM']
811	GO:BP	GO:0002819	regulation of adaptive immune response	0.0209334074599513	True	"""Any process that modulates the frequency, rate, or extent of an adaptive immune response."" [GOC:add]"	189	100	5	17376	0.05	0.0264550264550264	query_1	['GO:0002250', 'GO:0050776']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1']
812	GO:BP	GO:0035092	sperm DNA condensation	0.0209334074599513	True	"""The progressive compaction of the spermatid chromatin so that it reaches a level of condensation that is not compatible with nuclear activities such as transcription or DNA replication."" [GOC:bf, PMID:11735001]"	18	100	2	17376	0.02	0.1111111111111111	query_1	['GO:0006325', 'GO:0007289', 'GO:0022412']	['KAT5', 'RNF8']
813	GO:BP	GO:0031398	positive regulation of protein ubiquitination	0.0218803228403242	True	"""Any process that activates or increases the frequency, rate or extent of the addition of ubiquitin groups to a protein."" [GOC:mah]"	119	100	4	17376	0.04	0.0336134453781512	query_1	['GO:0016567', 'GO:0031396', 'GO:1903322']	['FANCI', 'PAXIP1', 'BRCA1', 'KDM1A']
814	GO:BP	GO:0043967	histone H4 acetylation	0.0220323675861551	True	"""The modification of histone H4 by the addition of an acetyl group."" [GOC:jl]"	60	100	3	17376	0.03	0.05	query_1	['GO:0016573']	['BRCA2', 'BRCA1', 'KAT5']
815	GO:BP	GO:2001233	regulation of apoptotic signaling pathway	0.022286984561479	True	"""Any process that modulates the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	364	100	7	17376	0.07	0.0192307692307692	query_1	['GO:0009966', 'GO:0042981', 'GO:0097190']	['AKT1', 'AR', 'PARP1', 'RAD9A', 'BRCA1', 'TP53', 'KDM1A']
816	GO:CC	GO:0016607	nuclear speck	0.0223526349968082	True	"""A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy."" [http://www.cellnucleus.com/]"	408	100	7	17376	0.07	0.017156862745098	query_1	['GO:0016604']	['H2AX', 'OGG1', 'AR', 'APEX1', 'BARD1', 'WRN', 'RMI2']
817	GO:BP	GO:0051102	DNA ligation involved in DNA recombination	0.0235784413360666	True	"""The re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase, that contributes to DNA recombination."" [GOC:ai]"	1	100	1	17376	0.01	1.0	query_1	['GO:0006266', 'GO:0006310']	['LIG4']
818	GO:BP	GO:0070512	positive regulation of histone H4-K20 methylation	0.0235784413360666	True	"""Any process that activates or increases the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 20 of histone H4."" [GOC:mah]"	1	100	1	17376	0.01	1.0	query_1	['GO:0031062']	['BRCA1']
819	GO:BP	GO:0098530	positive regulation of strand invasion	0.0235784413360666	True	"""Any process that increases the rate, frequency or extent of strand invasion. Strand invasion is the process in which the nucleoprotein complex (composed of the broken single-strand DNA and the recombinase) searches and identifies a region of homology in intact duplex DNA. The broken single-strand DNA displaces the like strand and forms Watson-Crick base pairs with its complement, forming a duplex in which each strand is from one of the two recombining DNA molecules."" [GOC:dos, GOC:dph, GOC:elh, GOC:tb]"	1	100	1	17376	0.01	1.0	query_1	['GO:0042148', 'GO:0051054', 'GO:0060542']	['WRN']
820	GO:BP	GO:0060261	positive regulation of transcription initiation by RNA polymerase II	0.0235784413360666	True	"""Any process that increases the rate, frequency or extent of a process involved in starting transcription from an RNA polymerase II promoter."" [GOC:dph, GOC:tb, GOC:txnOH]"	62	100	3	17376	0.03	0.0483870967741935	query_1	['GO:0006367', 'GO:0045944', 'GO:0060260', 'GO:2000144']	['PAXIP1', 'ERCC1', 'TP53']
821	GO:BP	GO:0090298	negative regulation of mitochondrial DNA replication	0.0235784413360666	True	"""Any process that decreases the rate, frequency or extent of the process in which new strands of DNA are synthesized in the mitochondrion."" [GOC:tb]"	1	100	1	17376	0.01	1.0	query_1	['GO:0006264', 'GO:0090296', 'GO:1901859', 'GO:2000104']	['LIG3']
822	GO:BP	GO:0097698	telomere maintenance via base-excision repair	0.0235784413360666	True	"""A telomere maintenance process that occurs by base-excision repair of telomeric DNA in response to DNA damage. Telomeric sequences are particularly susceptible to oxidative DNA damage, due to their G-rich nature."" [GOC:BHF, GOC:BHF_telomere, GOC:jbu, PMID:24703901]"	1	100	1	17376	0.01	1.0	query_1	['GO:0006284', 'GO:0043247']	['APEX1']
823	GO:BP	GO:0097551	mitochondrial double-strand break repair	0.0235784413360666	True	"""The repair of double-strand breaks in mitochondrial DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."" [GOC:di, PMID:22214610]"	1	100	1	17376	0.01	1.0	query_1	['GO:0006302']	['MRE11']
824	GO:BP	GO:0030961	peptidyl-arginine hydroxylation	0.0235784413360666	True	"""The hydroxylation of peptidyl-arginine to form peptidyl-hydroxyarginine."" [GOC:mah]"	1	100	1	17376	0.01	1.0	query_1	['GO:0018195']	['NDUFAF5']
825	GO:BP	GO:0019102	male somatic sex determination	0.0235784413360666	True	"""The determination of sex and sexual phenotypes in a male organism's soma."" [GOC:mah]"	1	100	1	17376	0.01	1.0	query_1	['GO:0018993', 'GO:0030238']	['AR']
826	GO:BP	GO:0097552	mitochondrial double-strand break repair via homologous recombination	0.0235784413360666	True	"""The repair of a double-strand break in mitochondrial DNA in which the broken DNA molecule is repaired using homologous sequences."" [GOC:di, PMID:22214610]"	1	100	1	17376	0.01	1.0	query_1	['GO:0000725', 'GO:0097551']	['MRE11']
827	GO:BP	GO:0075713	establishment of integrated proviral latency	0.0235784413360666	True	"""A process by which the virus integrates into the host genome and establishes as a stable provirus or prophage."" [GOC:jl]"	1	100	1	17376	0.01	1.0	query_1	['GO:0019043']	['LIG4']
828	GO:BP	GO:0051784	negative regulation of nuclear division	0.0235784413360666	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of nuclear division, the partitioning of the nucleus and its genetic information."" [GOC:ai]"	63	100	3	17376	0.03	0.0476190476190476	query_1	['GO:0000280', 'GO:0010639', 'GO:0051783']	['RAD1', 'ATM', 'XRCC3']
829	GO:BP	GO:0006401	RNA catabolic process	0.0235784413360666	True	"""The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]"	279	100	6	17376	0.06	0.021505376344086	query_1	['GO:0009057', 'GO:0016070', 'GO:0034655']	['AKT1', 'MLH1', 'FEN1', 'ATM', 'APEX1', 'POLB']
830	GO:BP	GO:0043966	histone H3 acetylation	0.0235784413360666	True	"""The modification of histone H3 by the addition of an acetyl group."" [GOC:jl]"	62	100	3	17376	0.03	0.0483870967741935	query_1	['GO:0016573']	['BRCA2', 'POLE3', 'BRCA1']
831	GO:BP	GO:0031667	response to nutrient levels	0.0235784413360666	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients."" [GOC:mah]"	469	100	8	17376	0.08	0.0170575692963752	query_1	['GO:0009991']	['BRIP1', 'AKT1', 'OGG1', 'ERCC1', 'KAT5', 'WRN', 'RMI1', 'TP53']
832	GO:BP	GO:0000707	meiotic DNA recombinase assembly	0.0235784413360666	True	"""During meiosis, the aggregation, arrangement and bonding together of strand exchange proteins (recombinases) to form higher order oligomers on single-stranded DNA."" [GOC:elh, PMID:11459983]"	1	100	1	17376	0.01	1.0	query_1	['GO:0000730', 'GO:0061982']	['RAD51C']
833	GO:BP	GO:1903451	negative regulation of G1 to G0 transition	0.0235784413360666	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of G1 to G0 transition."" [GO_REF:0000058, GOC:di, GOC:TermGenie, PMID:24088570]"	1	100	1	17376	0.01	1.0	query_1	['GO:0010948', 'GO:0070314', 'GO:1903450']	['TP53']
834	GO:BP	GO:1903461	Okazaki fragment processing involved in mitotic DNA replication	0.0235784413360666	True	"""Any DNA replication, Okazaki fragment processing that is involved in mitotic cell cycle DNA replication."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie, PMID:1234]"	1	100	1	17376	0.01	1.0	query_1	['GO:0033567', 'GO:1902969', 'GO:1903047']	['LIG1']
835	GO:BP	GO:1903508	positive regulation of nucleic acid-templated transcription	0.0235784413360666	True	"""Any process that activates or increases the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	1638	100	18	17376	0.18	0.0109890109890109	query_1	['GO:0097659', 'GO:1902680', 'GO:1903506']	['AKT1', 'TP53BP1', 'XRCC6', 'HLTF', 'PAXIP1', 'BRCA2', 'AR', 'PARP1', 'ERCC1', 'BLM', 'ATM', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'KAT5', 'TP53', 'KDM1A']
836	GO:BP	GO:1905856	negative regulation of pentose-phosphate shunt	0.0235784413360666	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of pentose-phosphate shunt."" [GO_REF:0000058, GOC:TermGenie, PMID:19015259]"	1	100	1	17376	0.01	1.0	query_1	['GO:0006098', 'GO:0043456', 'GO:1900543']	['TP53']
837	GO:BP	GO:1905843	regulation of cellular response to gamma radiation	0.0235784413360666	True	"""Any process that modulates the frequency, rate or extent of cellular response to gamma radiation."" [GO_REF:0000058, GOC:TermGenie, PMID:23505386]"	1	100	1	17376	0.01	1.0	query_1	['GO:0050794', 'GO:0071480', 'GO:2001228']	['ATM']
838	GO:BP	GO:1905768	negative regulation of double-stranded telomeric DNA binding	0.0235784413360666	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of double-stranded telomeric DNA binding."" [GO_REF:0000059, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:18812185]"	1	100	1	17376	0.01	1.0	query_1	['GO:1904743', 'GO:1905767']	['ERCC4']
839	GO:BP	GO:0000715	nucleotide-excision repair, DNA damage recognition	0.0235784413360666	True	"""The identification of lesions in DNA, such as pyrimidine-dimers, intrastrand cross-links, and bulky adducts. The wide range of substrate specificity suggests the repair complex recognizes distortions in the DNA helix."" [GOC:elh, PMID:10197977]"	1	100	1	17376	0.01	1.0	query_1	['GO:0006289', 'GO:0051276']	['XPA']
840	GO:BP	GO:1905767	regulation of double-stranded telomeric DNA binding	0.0235784413360666	True	"""Any process that modulates the frequency, rate or extent of double-stranded telomeric DNA binding."" [GO_REF:0000059, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:18812185]"	1	100	1	17376	0.01	1.0	query_1	['GO:1904742']	['ERCC4']
