FG syndrome type 1	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
2146	GO:BP	GO:0006691	leukotriene metabolic process	0.0335428318224769	True	"""The chemical reactions and pathways involving leukotriene, a pharmacologically active substance derived from a polyunsaturated fatty acid, such as arachidonic acid."" [GOC:ma]"	31	101	2	17376	0.0198019801980198	0.064516129032258	query_1	['GO:0006690']	['SYK', 'ABCC1']
2147	GO:BP	GO:0090279	regulation of calcium ion import	0.0335428318224769	True	"""Any process that modulates the rate, frequency, or extent of the directed movement of calcium ions into a cell or organelle."" [GOC:BHF]"	31	101	2	17376	0.0198019801980198	0.064516129032258	query_1	['GO:0051924', 'GO:0070509']	['CTNNB1', 'CXCL12']
2148	REAC	REAC:R-HSA-1660661	Sphingolipid de novo biosynthesis	0.0339933464110471	True	Sphingolipid de novo biosynthesis	37	101	2	17376	0.0198019801980198	0.054054054054054	query_1	['REAC:R-HSA-428157']	['CERS6', 'CERS2']
2149	REAC	REAC:R-HSA-111465	Apoptotic cleavage of cellular proteins	0.0339933464110471	True	Apoptotic cleavage of cellular proteins	37	101	2	17376	0.0198019801980198	0.054054054054054	query_1	['REAC:R-HSA-75153']	['CTNNB1', 'PTK2']
2150	GO:BP	GO:0032680	regulation of tumor necrosis factor production	0.0340754910975901	True	"""Any process that modulates the frequency, rate or extent of tumor necrosis factor production."" [GOC:mah, PMID:10891884, PMID:15560120]"	160	101	4	17376	0.0396039603960396	0.025	query_1	['GO:0032640', 'GO:1903555']	['PIK3R1', 'PLCG2', 'SYK', 'PTPN11']
2151	GO:BP	GO:0032640	tumor necrosis factor production	0.0340754910975901	True	"""The appearance of tumor necrosis factor due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels. Tumor necrosis factor is an inflammatory cytokine produced by macrophages/monocytes during acute inflammation and which is responsible for a diverse range of signaling events within cells, leading to necrosis or apoptosis."" [GOC:mah, PMID:10891884, PMID:15560120]"	160	101	4	17376	0.0396039603960396	0.025	query_1	['GO:0071706']	['PIK3R1', 'PLCG2', 'SYK', 'PTPN11']
2152	GO:BP	GO:0043535	regulation of blood vessel endothelial cell migration	0.0341136523531995	True	"""Any process that modulates the frequency, rate or extent of the migration of the endothelial cells of blood vessels."" [GOC:go_curators]"	87	101	3	17376	0.0297029702970297	0.0344827586206896	query_1	['GO:0010594', 'GO:0043534']	['PLCG1', 'VEGFA', 'NRP1']
2153	GO:BP	GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	0.0341441495294458	True	"""Any cell surface receptor signaling pathway that is involved in cell-cell signaling."" [GO_REF:0000060, GOC:TermGenie, ISBN:0-7167-3051-0]"	546	101	8	17376	0.0792079207920792	0.0146520146520146	query_1	['GO:0007166', 'GO:0007267']	['RAPGEF1', 'C3', 'SRC', 'PLCG2', 'CTNNB1', 'MED12', 'EGFR', 'PTK2B']
2154	GO:BP	GO:0009792	embryo development ending in birth or egg hatching	0.0347868483309123	True	"""The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."" [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"	659	101	9	17376	0.0891089108910891	0.0136570561456752	query_1	['GO:0009790']	['ITGB1', 'TGFB3', 'CTNNB1', 'MED12', 'GRB2', 'EGFR', 'PLCG1', 'VEGFA', 'PDGFRA']
2155	GO:BP	GO:1990778	protein localization to cell periphery	0.0349907699720434	True	"""A process in which a protein is transported to, or maintained in, the cell periphery."" [PMID:18216290]"	341	101	6	17376	0.0594059405940594	0.0175953079178885	query_1	['GO:0008104']	['ITGB1', 'PIK3R2', 'PIK3R1', 'EGFR', 'ERBB2', 'CD81']
2156	GO:BP	GO:0032273	positive regulation of protein polymerization	0.0350641654639669	True	"""Any process that activates or increases the frequency, rate or extent of the process of creating protein polymers."" [GOC:mah]"	88	101	3	17376	0.0297029702970297	0.034090909090909	query_1	['GO:0031334', 'GO:0032271', 'GO:0051258']	['MET', 'GRB2', 'PTK2B']
2157	GO:BP	GO:2000117	negative regulation of cysteine-type endopeptidase activity	0.0350641654639669	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cysteine-type endopeptidase activity."" [GOC:obol, GOC:yaf]"	88	101	3	17376	0.0297029702970297	0.034090909090909	query_1	['GO:0010951', 'GO:2000116']	['SRC', 'HGF', 'VEGFA']
2158	GO:BP	GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	0.0353202037058519	True	"""Any process that activates or increases the frequency, rate or extent of CDK activity."" [GOC:go_curators, GOC:pr]"	32	101	2	17376	0.0198019801980198	0.0625	query_1	['GO:0000079', 'GO:0045787', 'GO:0071902', 'GO:1904031']	['SRC', 'EGFR']
2159	GO:BP	GO:0010506	regulation of autophagy	0.0353202037058519	True	"""Any process that modulates the frequency, rate or extent of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm."" [GOC:dph, GOC:tb]"	342	101	6	17376	0.0594059405940594	0.0175438596491228	query_1	['GO:0006914', 'GO:0031329']	['MET', 'PIK3CB', 'ADRA1A', 'PIK3R2', 'HGF', 'PIK3CA']
2160	GO:BP	GO:1901031	regulation of response to reactive oxygen species	0.0353202037058519	True	"""Any process that modulates the frequency, rate or extent of response to reactive oxygen species."" [GOC:kmv, GOC:TermGenie]"	32	101	2	17376	0.0198019801980198	0.0625	query_1	['GO:0000302', 'GO:1902882']	['MET', 'HGF']
2161	GO:BP	GO:0048333	mesodermal cell differentiation	0.0353202037058519	True	"""The process in which a relatively unspecialized cell acquires the specialized features of a mesoderm cell."" [GOC:dgh]"	32	101	2	17376	0.0198019801980198	0.0625	query_1	['GO:0001707', 'GO:0030154']	['ITGB1', 'ITGB3']
2162	GO:BP	GO:0048799	animal organ maturation	0.0353202037058519	True	"""A developmental process, independent of morphogenetic (shape) change, that is required for an animal organ to attain its fully functional state. An organ is a tissue or set of tissues that work together to perform a specific function or functions."" [GOC:curators]"	32	101	2	17376	0.0198019801980198	0.0625	query_1	['GO:0048513', 'GO:0071695']	['PLXNB1', 'SEMA4D']
2163	GO:BP	GO:0031328	positive regulation of cellular biosynthetic process	0.0353202037058519	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]"	1931	101	19	17376	0.1881188118811881	0.0098394614189539	query_1	['GO:0009891', 'GO:0031325', 'GO:0031326', 'GO:0044249']	['MET', 'PIK3R2', 'SRC', 'SPP1', 'TGFB3', 'PIK3R1', 'HGF', 'SHC1', 'CTNNB1', 'MED12', 'EGFR', 'APOA1', 'TF', 'TFR2', 'ERBB2', 'PTK2B', 'VEGFA', 'CD81', 'NANOG']
2164	GO:BP	GO:0050954	sensory perception of mechanical stimulus	0.0353202037058519	True	"""The series of events required for an organism to receive a sensory mechanical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."" [GOC:ai]"	162	101	4	17376	0.0396039603960396	0.0246913580246913	query_1	['GO:0007600']	['FYN', 'CXCL12', 'GJB2', 'CXCR4']
2165	GO:CC	GO:0030659	cytoplasmic vesicle membrane	0.0353430650457726	True	"""The lipid bilayer surrounding a cytoplasmic vesicle."" [GOC:mah]"	1156	101	13	17376	0.1287128712871287	0.0112456747404844	query_1	['GO:0012506', 'GO:0031410']	['RAPGEF1', 'ITGB1', 'ITGAV', 'ITGB3', 'TFRC', 'ITGA2B', 'LYN', 'EGFR', 'TF', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'SH3GL2']
2166	GO:BP	GO:0001942	hair follicle development	0.0359616677864851	True	"""The process whose specific outcome is the progression of the hair follicle over time, from its formation to the mature structure. A hair follicle is a tube-like opening in the epidermis where the hair shaft develops and into which the sebaceous glands open."" [GOC:dph, UBERON:0002073]"	89	101	3	17376	0.0297029702970297	0.0337078651685393	query_1	['GO:0022405', 'GO:0048856', 'GO:0098773']	['CTNNB1', 'SOS1', 'EGFR']
2167	GO:CC	GO:0071754	IgM immunoglobulin complex, circulating	0.0360389857595582	True	"""A polymer of five or six IgM core units each composed of two identical immunoglobulin heavy chains of the IgM isotype and two identical immunoglobulin light chains, held together by disulfide bonds; the individual IgM core units are held together via disulfide bonds with a single J chain polypeptide acting as a bridge between two of the polymeric units. Circulating IgM is present in the extracellular space, in mucosal areas or other tissues, or in the blood or lymph."" [GOC:add, ISBN:0781765196, PMID:20176268]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0042571', 'GO:0071753']	['IGHM']
2168	GO:CC	GO:0005604	basement membrane	0.0360389857595582	True	"""A collagen-containing extracellular matrix consisting of a thin layer of dense material found in various animal tissues interposed between the cells and the adjacent connective tissue. It consists of the basal lamina plus an associated layer of reticulin fibers."" [ISBN:0198547684, PMID:22505934]"	93	101	3	17376	0.0297029702970297	0.032258064516129	query_1	['GO:0062023']	['FN1', 'TNC', 'VTN']
2169	GO:CC	GO:0071756	pentameric IgM immunoglobulin complex	0.0360389857595582	True	"""A circulating form of IgM consisting of a pentamer of IgM core units with a single J chain polypeptide."" [GOC:add, ISBN:0781765196, PMID:20176268]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0071754']	['IGHM']
2170	GO:CC	GO:0048237	rough endoplasmic reticulum lumen	0.0360389857595582	True	"""The volume enclosed by the membranes of the rough endoplasmic reticulum."" [GOC:jid]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0005788', 'GO:0005791']	['VTN']
2171	GO:CC	GO:0070369	beta-catenin-TCF7L2 complex	0.0360389857595582	True	"""A protein complex that contains beta-catenin and TCF7L2 (TCF4), binds to the TCF DNA motif within a promoter element, and is involved in the regulation of WNT target gene transcription."" [GOC:BHF, GOC:rl, PMID:9065401, PMID:9065402]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0071664', 'GO:1990907']	['CTNNB1']
2172	GO:CC	GO:1990578	perinuclear endoplasmic reticulum membrane	0.0360389857595582	True	"""The membrane of the perinuclear endoplasmic reticulum, which is the portion of endoplasmic reticulum, the intracellular network of tubules and cisternae, that occurs near the nucleus."" [PMID:25454947]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0031090', 'GO:0042175', 'GO:0097038']	['PIK3R1']
2173	GO:CC	GO:0071753	IgM immunoglobulin complex	0.0360389857595582	True	"""A protein complex composed of two identical immunoglobulin heavy chains of the IgM isotype and two identical immunoglobulin light chains, held together by disulfide bonds, and in its circulating form complexed with J chain in polymeric forms. An IgM immunoglobulin complex may be embedded in the plasma membrane or present in the extracellular space, in mucosal areas or other tissues, or circulating in the blood or lymph."" [GOC:add, ISBN:0781765196, PMID:20176268]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0019814']	['IGHM']
2174	GO:BP	GO:0010605	negative regulation of macromolecule metabolic process	0.0362576568610052	True	"""Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	2639	101	24	17376	0.2376237623762376	0.0090943539219401	query_1	['GO:0009892', 'GO:0043170', 'GO:0060255']	['PIK3CB', 'VEGFB', 'FN1', 'ITGAV', 'SRC', 'ITGB3', 'TGFB3', 'HGF', 'SHC1', 'CTNNB1', 'HFE', 'FYN', 'LYN', 'EGFR', 'APOA1', 'PIK3CA', 'VEGFA', 'SH3GL2', 'SERPINA1', 'CRKL', 'VTN', 'CBL', 'SEMA4D', 'NANOG']
2175	GO:BP	GO:0097305	response to alcohol	0.0365327670110588	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr, PMID:24014527]"	250	101	5	17376	0.0495049504950495	0.02	query_1	['GO:0010033', 'GO:1901700']	['CTNNB1', 'FYN', 'PTK2B', 'VCAM1', 'CBL']
2176	GO:BP	GO:0043409	negative regulation of MAPK cascade	0.0366151770567051	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction mediated by the MAPKKK cascade."" [GOC:go_curators]"	164	101	4	17376	0.0396039603960396	0.024390243902439	query_1	['GO:0000165', 'GO:0043408', 'GO:1902532']	['RAPGEF1', 'PIK3CB', 'PIK3R2', 'LYN']
2177	GO:BP	GO:0071354	cellular response to interleukin-6	0.0371646367690832	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-6 stimulus."" [GOC:mah]"	33	101	2	17376	0.0198019801980198	0.0606060606060606	query_1	['GO:0070741', 'GO:0071345']	['SRC', 'FGG']
2178	GO:BP	GO:0001953	negative regulation of cell-matrix adhesion	0.0371646367690832	True	"""Any process that stops, prevents, or reduces the rate or extent of cell adhesion to the extracellular matrix."" [GOC:hjd]"	33	101	2	17376	0.0198019801980198	0.0606060606060606	query_1	['GO:0001952', 'GO:0007160', 'GO:0010812']	['SRC', 'PIK3R1']
2179	GO:BP	GO:0098810	neurotransmitter reuptake	0.0371646367690832	True	"""The directed movement of neurotransmitter molecules from the extrasynaptic space into the presynaptic cytosol."" [GOC:dos]"	33	101	2	17376	0.0198019801980198	0.0606060606060606	query_1	['GO:0001504', 'GO:0051649']	['ITGB1', 'ITGB3']
2180	GO:BP	GO:0033006	regulation of mast cell activation involved in immune response	0.0371646367690832	True	"""Any process that modulates the frequency, rate, or extent of mast cell activation as part of an immune response."" [GOC:mah]"	33	101	2	17376	0.0198019801980198	0.0606060606060606	query_1	['GO:0002279', 'GO:0002699', 'GO:0033003', 'GO:0050776']	['LYN', 'SYK']
2181	GO:BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	0.0371646367690832	True	"""Any process that modulates the frequency, rate or extent of tumor necrosis factor superfamily cytokine production."" [GO_REF:0000058, GOC:TermGenie, PMID:24187568]"	165	101	4	17376	0.0396039603960396	0.0242424242424242	query_1	['GO:0001817', 'GO:0071706']	['PIK3R1', 'PLCG2', 'SYK', 'PTPN11']
2182	GO:BP	GO:0071706	tumor necrosis factor superfamily cytokine production	0.0371646367690832	True	"""The appearance of any member of the TNF superfamily due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add]"	165	101	4	17376	0.0396039603960396	0.0242424242424242	query_1	['GO:0001816']	['PIK3R1', 'PLCG2', 'SYK', 'PTPN11']
2183	GO:BP	GO:0097696	receptor signaling pathway via STAT	0.0371646367690832	True	"""An intracellular signal transduction process in which STAT proteins (Signal Transducers and Activators of Transcription) convey a signal to trigger a change in the activity or state of a cell. The STAT cascade begins with receptor activation followed by activation of STAT proteins by kinases. It proceeds through STA dimerization and subsequent nuclear translocation of STAT proteins, and ends with regulation of target gene expression by STAT proteins."" [GOC:rjd, PMID:21534947, PMID:24587195]"	165	101	4	17376	0.0396039603960396	0.0242424242424242	query_1	['GO:0007166']	['FYN', 'LYN', 'PTK2B', 'HPX']
2184	GO:BP	GO:0060795	cell fate commitment involved in formation of primary germ layer	0.0371646367690832	True	"""The commitment of cells to specific cell fates of the endoderm, ectoderm, or mesoderm as a part of gastrulation."" [GOC:dph, GOC:sdb_2009, GOC:tb]"	33	101	2	17376	0.0198019801980198	0.0606060606060606	query_1	['GO:0001704', 'GO:0045165']	['CTNNB1', 'NANOG']
2185	GO:BP	GO:0060251	regulation of glial cell proliferation	0.0371646367690832	True	"""Any process that modulates the frequency, rate or extent of glial cell proliferation."" [GOC:dph, GOC:tb]"	33	101	2	17376	0.0198019801980198	0.0606060606060606	query_1	['GO:0014009', 'GO:0042127']	['LYN', 'CERS2']
2186	GO:BP	GO:0010950	positive regulation of endopeptidase activity	0.0378878142303892	True	"""Any process that increases the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins."" [GOC:dph, GOC:tb]"	166	101	4	17376	0.0396039603960396	0.0240963855421686	query_1	['GO:0010952', 'GO:0052548']	['FYN', 'LYN', 'SYK', 'LCK']
2187	GO:CC	GO:0016324	apical plasma membrane	0.0383712543574782	True	"""The region of the plasma membrane located at the apical end of the cell."" [GOC:curators]"	360	101	6	17376	0.0594059405940594	0.0166666666666666	query_1	['GO:0045177', 'GO:0098590']	['FN1', 'ITGB3', 'KCNK1', 'TF', 'ERBB2', 'ABCC1']
2188	REAC	REAC:R-HSA-173107	Binding and entry of HIV virion	0.0383752803609952	True	Binding and entry of HIV virion	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-162594']	['CXCR4']
2189	REAC	REAC:R-HSA-9652282	Drug-mediated inhibition of ERBB2 signaling	0.0383752803609952	True	Drug-mediated inhibition of ERBB2 signaling	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-1227986']	['ERBB2']
2190	REAC	REAC:R-HSA-9665230	Drug resistance in ERBB2 KD mutants	0.0383752803609952	True	Drug resistance in ERBB2 KD mutants	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-1227990']	['ERBB2']
2191	REAC	REAC:R-HSA-8964011	HDL clearance	0.0383752803609952	True	HDL clearance	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-8964043']	['APOA1']
2192	REAC	REAC:R-HSA-9665249	Resistance of ERBB2 KD mutants to afatinib	0.0383752803609952	True	Resistance of ERBB2 KD mutants to afatinib	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-9665230']	['ERBB2']
2193	REAC	REAC:R-HSA-983169	Class I MHC mediated antigen processing & presentation	0.0383752803609952	True	Class I MHC mediated antigen processing & presentation	377	101	6	17376	0.0594059405940594	0.0159151193633952	query_1	['REAC:R-HSA-1280218']	['ITGB5', 'ITGAV', 'FGA', 'FGB', 'FCGR1A', 'FGG']
2194	REAC	REAC:R-HSA-9665251	Resistance of ERBB2 KD mutants to lapatinib	0.0383752803609952	True	Resistance of ERBB2 KD mutants to lapatinib	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-9665230']	['ERBB2']
2195	REAC	REAC:R-HSA-9665737	Drug resistance in ERBB2 TMD/JMD mutants	0.0383752803609952	True	Drug resistance in ERBB2 TMD/JMD mutants	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-1227990']	['ERBB2']
2196	REAC	REAC:R-HSA-9665250	Resistance of ERBB2 KD mutants to AEE788	0.0383752803609952	True	Resistance of ERBB2 KD mutants to AEE788	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-9665230']	['ERBB2']
2197	REAC	REAC:R-HSA-9026527	Activated NTRK2 signals through PLCG1	0.0383752803609952	True	Activated NTRK2 signals through PLCG1	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-9006115']	['PLCG1']
2198	REAC	REAC:R-HSA-9665247	Resistance of ERBB2 KD mutants to osimertinib	0.0383752803609952	True	Resistance of ERBB2 KD mutants to osimertinib	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-9665230']	['ERBB2']
2199	REAC	REAC:R-HSA-9665244	Resistance of ERBB2 KD mutants to sapitinib	0.0383752803609952	True	Resistance of ERBB2 KD mutants to sapitinib	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-9665230']	['ERBB2']
2200	REAC	REAC:R-HSA-1306955	GRB7 events in ERBB2 signaling	0.0383752803609952	True	GRB7 events in ERBB2 signaling	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-1227986']	['ERBB2']
2201	REAC	REAC:R-HSA-9665245	Resistance of ERBB2 KD mutants to tesevatinib	0.0383752803609952	True	Resistance of ERBB2 KD mutants to tesevatinib	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-9665230']	['ERBB2']
2202	REAC	REAC:R-HSA-9665233	Resistance of ERBB2 KD mutants to trastuzumab	0.0383752803609952	True	Resistance of ERBB2 KD mutants to trastuzumab	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-9665230']	['ERBB2']
2203	REAC	REAC:R-HSA-9665246	Resistance of ERBB2 KD mutants to neratinib	0.0383752803609952	True	Resistance of ERBB2 KD mutants to neratinib	4	101	1	17376	0.0099009900990099	0.25	query_1	['REAC:R-HSA-9665230']	['ERBB2']
2204	GO:BP	GO:0010639	negative regulation of organelle organization	0.038732384179373	True	"""Any process that decreases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	350	101	6	17376	0.0594059405940594	0.0171428571428571	query_1	['GO:0006996', 'GO:0033043', 'GO:0051129']	['MET', 'SRC', 'PIK3R1', 'HGF', 'TFRC', 'PIK3CA']
2205	GO:BP	GO:0032504	multicellular organism reproduction	0.0387791643200702	True	"""The biological process in which new individuals are produced by one or two multicellular organisms. The new individuals inherit some proportion of their genetic material from the parent or parents."" [GOC:isa_complete, GOC:jid]"	909	101	11	17376	0.1089108910891089	0.0121012101210121	query_1	['GO:0000003', 'GO:0032501']	['ITGB1', 'SRC', 'SPP1', 'TGFB3', 'CTNNB1', 'SOS1', 'GJB2', 'PTK2B', 'CRKL', 'PTPN11', 'PDGFRA']
2206	GO:BP	GO:0022405	hair cycle process	0.0388274202492599	True	"""A multicellular organismal process involved in the cyclical phases of growth (anagen), regression (catagen), quiescence (telogen), and shedding (exogen) in the life of a hair; one of the collection or mass of filaments growing from the skin of an animal, and forming a covering for a part of the head or for any part or the whole of the body."" [GOC:isa_complete]"	92	101	3	17376	0.0297029702970297	0.0326086956521739	query_1	['GO:0022404', 'GO:0042633']	['CTNNB1', 'SOS1', 'EGFR']
2207	GO:BP	GO:0120162	positive regulation of cold-induced thermogenesis	0.0388274202492599	True	"""Any process that activates or increases the frequency, rate or extent of cold-induced thermogenesis."" [PMID:27876809]"	92	101	3	17376	0.0297029702970297	0.0326086956521739	query_1	['GO:0009893', 'GO:0051240', 'GO:0106106', 'GO:0120161']	['CXCR4', 'SYK', 'VEGFA']
2208	GO:BP	GO:0022404	molting cycle process	0.0388274202492599	True	"""A multicellular organismal process involved in the periodic casting off and regeneration of an outer covering of cuticle, feathers, hair, horns, skin."" [GOC:isa_complete]"	92	101	3	17376	0.0297029702970297	0.0326086956521739	query_1	['GO:0032501', 'GO:0042303']	['CTNNB1', 'SOS1', 'EGFR']
2209	GO:BP	GO:1901890	positive regulation of cell junction assembly	0.0388274202492599	True	"""Any process that activates or increases the frequency, rate or extent of cell junction assembly."" [GOC:TermGenie]"	92	101	3	17376	0.0297029702970297	0.0326086956521739	query_1	['GO:0034329', 'GO:0044089', 'GO:0051130', 'GO:1901888']	['VEGFA', 'NRP1', 'SEMA4D']
2210	REAC	REAC:R-HSA-418594	G alpha (i) signalling events	0.0388927908250825	True	G alpha (i) signalling events	279	101	5	17376	0.0495049504950495	0.017921146953405	query_1	['REAC:R-HSA-388396']	['C3', 'SRC', 'CXCL12', 'CXCR4', 'ACKR3']
2211	GO:BP	GO:0046661	male sex differentiation	0.0389725510602667	True	"""The establishment of the sex of a male organism by physical differentiation."" [GOC:bf]"	168	101	4	17376	0.0396039603960396	0.0238095238095238	query_1	['GO:0007275', 'GO:0007548']	['CTNNB1', 'CRKL', 'CBL', 'PDGFRA']
2212	GO:BP	GO:0044319	wound healing, spreading of cells	0.0389725510602667	True	"""The migration of a cell along or through a wound gap that contributes to the reestablishment of a continuous surface."" [GOC:jl]"	34	101	2	17376	0.0198019801980198	0.0588235294117647	query_1	['GO:0016477', 'GO:0090505']	['ITGB1', 'ITGA5']
2213	GO:BP	GO:0001893	maternal placenta development	0.0389725510602667	True	"""Maternally driven process whose specific outcome is the progression of the placenta over time, from its formation to the mature structure. The placenta is an organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin."" [GOC:add, ISBN:068340007X]"	34	101	2	17376	0.0198019801980198	0.0588235294117647	query_1	['GO:0001890', 'GO:0003006', 'GO:0048856', 'GO:0060135']	['SPP1', 'GJB2']
2214	GO:BP	GO:1902951	negative regulation of dendritic spine maintenance	0.0389725510602667	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of dendritic spine maintenance."" [GO_REF:0000058, GOC:sjp, GOC:TermGenie, PMID:24328732]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0031345', 'GO:0097062', 'GO:1902950']	['FYN']
2215	GO:BP	GO:0044338	canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation	0.0389725510602667	True	"""The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes involved in mesenchymal stem cell differentiation."" [GOC:BHF, GOC:jl]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0060070', 'GO:0072497']	['CTNNB1']
2216	GO:BP	GO:0002262	myeloid cell homeostasis	0.0389725510602667	True	"""The process of regulating the proliferation and elimination of myeloid cells such that the total number of myeloid cells within a whole or part of an organism is stable over time in the absence of an outside stimulus."" [CL:0000763, GOC:add]"	168	101	4	17376	0.0396039603960396	0.0238095238095238	query_1	['GO:0002376', 'GO:0048872']	['PIK3CB', 'PIK3CD', 'LYN', 'VEGFA']
2217	GO:BP	GO:0030997	regulation of centriole-centriole cohesion	0.0389725510602667	True	"""Any process that modulates the extent to which the two centrioles within a centrosome remain tightly paired; may be mediated by the assembly and disassembly of a proteinaceous linker."" [PMID:11076968]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0007098', 'GO:0010457', 'GO:0010564']	['CTNNB1']
2218	GO:BP	GO:1905075	positive regulation of tight junction disassembly	0.0389725510602667	True	"""Any process that activates or increases the frequency, rate or extent of tight junction disassembly."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:18718461]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0051130', 'GO:1905071', 'GO:1905073']	['TGFB3']
2219	GO:BP	GO:1905073	regulation of tight junction disassembly	0.0389725510602667	True	"""Any process that modulates the frequency, rate or extent of tight junction disassembly."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:18718461]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0051128', 'GO:1905071']	['TGFB3']
2220	GO:BP	GO:0035846	oviduct epithelium development	0.0389725510602667	True	"""The progression of the oviduct epithelium over time from its initial formation to the mature structure. An oviduct is a tube through which an ova passes from the ovary to the uterus, or from the ovary to the outside of the organism. The oviduct epithelium is the specialized epithelium that lines the oviduct."" [GOC:yaf, http://www.thefreedictionary.com/oviduct]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0003006', 'GO:0060066', 'GO:0060429']	['C3']
2221	GO:BP	GO:1905071	tight junction disassembly	0.0389725510602667	True	"""The disaggregation of an tight junction into its constituent components."" [GO_REF:0000079, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:18718461]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0120193', 'GO:0150147']	['TGFB3']
2222	GO:BP	GO:0001905	activation of membrane attack complex	0.0389725510602667	True	"""The activation of the membrane attack complex components of the complement cascade which can result in death of a target cell through cytolysis."" [GOC:add, ISBN:0781735149]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0006956']	['C3']
2223	GO:BP	GO:0035938	estradiol secretion	0.0389725510602667	True	"""The regulated release of estradiol into the circulatory system."" [GOC:sl, PMID:21632818]"	3	101	1	17376	0.0099009900990099	0.3333333333333333	query_1	['GO:0015850', 'GO:0035929']	['SPP1']
