Branchioskeletogenital syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
2258	GO:BP	GO:0060627	regulation of vesicle-mediated transport	0.0231086425720834	True	"""Any process that modulates the rate, frequency, or extent of vesicle-mediated transport, the directed movement of substances, either within a vesicle or in the vesicle membrane, into, out of or within a cell."" [GOC:dph, GOC:tb]"	518	100	8	17376	0.08	0.0154440154440154	query_1	['GO:0016192', 'GO:0050794', 'GO:0051049']	['REST', 'SRC', 'PSEN1', 'NR1H2', 'DLL1', 'NR1H3', 'CBLL1', 'NOTCH1']
2259	GO:BP	GO:0010634	positive regulation of epithelial cell migration	0.0231580449500029	True	"""Any process that activates or increases the frequency, rate or extent of epithelial cell migration."" [GOC:BHF, GOC:dph, GOC:tb]"	146	100	4	17376	0.04	0.0273972602739726	query_1	['GO:0010631', 'GO:0010632', 'GO:0030335']	['AKT1', 'SRC', 'SIRT1', 'SP1']
2260	GO:BP	GO:0031023	microtubule organizing center organization	0.0231580449500029	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a microtubule organizing center, a structure from which microtubules grow."" [GOC:dph, GOC:jl, GOC:mah]"	146	100	4	17376	0.04	0.0273972602739726	query_1	['GO:0000226', 'GO:0007017', 'GO:0016043']	['KAT2A', 'CTNNB1', 'SIRT1', 'KAT2B']
2261	REAC	REAC:R-HSA-5693606	DNA Double Strand Break Response	0.023284878843867	True	DNA Double Strand Break Response	78	100	3	17376	0.03	0.0384615384615384	query_1	['REAC:R-HSA-5693532']	['UBE2I', 'SUMO1', 'TP53']
2262	REAC	REAC:R-HSA-9759194	Nuclear events mediated by NFE2L2	0.023284878843867	True	Nuclear events mediated by NFE2L2	78	100	3	17376	0.03	0.0384615384615384	query_1	['REAC:R-HSA-9755511']	['CREBBP', 'NOTCH1', 'EP300']
2263	GO:BP	GO:0031329	regulation of cellular catabolic process	0.0234681268580894	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances, carried out by individual cells."" [GOC:mah]"	628	100	9	17376	0.09	0.0143312101910828	query_1	['GO:0009894', 'GO:0031323', 'GO:0044248']	['AKT1', 'PSEN1', 'STAT3', 'FOXO3', 'SIRT1', 'EP300', 'FOXO1', 'APP', 'TP53']
2264	GO:BP	GO:0050877	nervous system process	0.0235303287870661	True	"""A organ system process carried out by any of the organs or tissues of neurological system."" [GOC:ai, GOC:mtg_cardio]"	1099	100	13	17376	0.13	0.0118289353958143	query_1	['GO:0003008']	['AKT1', 'SRC', 'PSEN1', 'KAT2A', 'NCSTN', 'KMT2A', 'TBL1X', 'EGFR', 'EP300', 'MECP2', 'CTNNA2', 'APP', 'HIPK2']
2265	REAC	REAC:R-HSA-9683701	Translation of Structural Proteins	0.0236143434254611	True	Translation of Structural Proteins	27	100	2	17376	0.02	0.074074074074074	query_1	['REAC:R-HSA-9678108']	['UBE2I', 'SUMO1']
2266	GO:BP	GO:0050905	neuromuscular process	0.0236546607281144	True	"""Any process pertaining to the functions of the nervous and muscular systems of an organism."" [GOC:ai]"	147	100	4	17376	0.04	0.0272108843537414	query_1	['GO:0050877']	['MECP2', 'CTNNA2', 'APP', 'HIPK2']
2267	GO:BP	GO:0007281	germ cell development	0.0236546607281144	True	"""The process whose specific outcome is the progression of an immature germ cell over time, from its formation to the mature structure (gamete). A germ cell is any reproductive cell in a multicellular organism."" [GOC:go_curators]"	319	100	6	17376	0.06	0.018808777429467	query_1	['GO:0003006', 'GO:0007276', 'GO:0022412', 'GO:0048468']	['AKT1', 'WDR77', 'SRC', 'CTNNB1', 'SMARCA2', 'RARA']
2268	GO:CC	GO:0043073	germ cell nucleus	0.0236569425417774	True	"""The nucleus of a germ cell, a reproductive cell in multicellular organisms."" [CL:0000586, GOC:go_curators]"	69	100	3	17376	0.03	0.0434782608695652	query_1	['GO:0005634']	['SMARCB1', 'TP53', 'SMARCC1']
2269	GO:BP	GO:0051234	establishment of localization	0.0236695665217369	True	"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]"	4374	100	36	17376	0.36	0.0082304526748971	query_1	['GO:0051179']	['REST', 'RXRA', 'UBE2I', 'CTBP1', 'AKT1', 'ADAM10', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'NR1H2', 'CTNNB1', 'KMT2A', 'NCOR2', 'DLL1', 'NR1H3', 'CBLL1', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'KAT2B', 'FOXO1', 'RARA', 'APP', 'CLNS1A', 'TP53', 'SMAD3', 'JUP']
2270	GO:BP	GO:0006810	transport	0.0237399832225668	True	"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]"	4220	100	35	17376	0.35	0.0082938388625592	query_1	['GO:0051234']	['REST', 'RXRA', 'UBE2I', 'CTBP1', 'AKT1', 'ADAM10', 'SRC', 'PSEN1', 'STAT3', 'PIK3R1', 'NR1H2', 'CTNNB1', 'KMT2A', 'NCOR2', 'DLL1', 'NR1H3', 'CBLL1', 'SUMO1', 'SMAD2', 'EGFR', 'SIRT1', 'SMAD4', 'NOTCH1', 'CDH2', 'MECP2', 'GPS2', 'HDAC3', 'CDH1', 'FOXO1', 'RARA', 'APP', 'CLNS1A', 'TP53', 'SMAD3', 'JUP']
2271	GO:BP	GO:0002764	immune response-regulating signaling pathway	0.0239315171924104	True	"""The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to the activation, perpetuation, or inhibition of an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]"	418	100	7	17376	0.07	0.0167464114832535	query_1	['GO:0007165', 'GO:0050776']	['CREBBP', 'SRC', 'PSEN1', 'NR1H3', 'EP300', 'GPS2', 'ESR1']
2272	GO:BP	GO:0048641	regulation of skeletal muscle tissue development	0.0239315171924104	True	"""Any process that modulates the frequency, rate or extent of skeletal muscle tissue development."" [GOC:go_curators]"	27	100	2	17376	0.02	0.074074074074074	query_1	['GO:0007519', 'GO:1901861']	['CTNNB1', 'DLL1']
2273	GO:BP	GO:0021801	cerebral cortex radial glia-guided migration	0.0239315171924104	True	"""The radial migration of neuronal or glial precursor cells along radial glial cells during the development of the cerebral cortex."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, PMID:12626695]"	27	100	2	17376	0.02	0.074074074074074	query_1	['GO:0021799', 'GO:0022030']	['CTNNB1', 'FOXG1']
2274	GO:BP	GO:0046639	negative regulation of alpha-beta T cell differentiation	0.0239315171924104	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of alpha-beta T cell differentiation."" [GOC:ai]"	27	100	2	17376	0.02	0.074074074074074	query_1	['GO:0045581', 'GO:0046632', 'GO:0046636', 'GO:0046637']	['CBFB', 'RUNX1']
2275	GO:BP	GO:0036037	CD8-positive, alpha-beta T cell activation	0.0239315171924104	True	"""The change in morphology and behavior of a CD8-positive, alpha-beta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [CL:0000625, GOC:yaf]"	27	100	2	17376	0.02	0.074074074074074	query_1	['GO:0046631']	['CBFB', 'RUNX1']
2276	GO:BP	GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway	0.0239315171924104	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of epidermal growth factor receptor signaling pathway activity."" [GOC:go_curators]"	27	100	2	17376	0.02	0.074074074074074	query_1	['GO:0007173', 'GO:0042058', 'GO:1901185']	['PSEN1', 'EGFR']
2277	GO:BP	GO:1900078	positive regulation of cellular response to insulin stimulus	0.0239315171924104	True	"""Any process that activates or increases the frequency, rate or extent of cellular response to insulin stimulus."" [GOC:TermGenie, GOC:yaf]"	27	100	2	17376	0.02	0.074074074074074	query_1	['GO:0032869', 'GO:0048522', 'GO:0048584', 'GO:1900076']	['SRC', 'SIRT1']
2278	GO:BP	GO:0022030	telencephalon glial cell migration	0.0239315171924104	True	"""The orderly movement of glial cells through the telencephalon."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]"	27	100	2	17376	0.02	0.074074074074074	query_1	['GO:0008347', 'GO:0022029']	['CTNNB1', 'FOXG1']
2279	GO:BP	GO:0018209	peptidyl-serine modification	0.0241718487590793	True	"""The modification of peptidyl-serine."" [GOC:go_curators]"	321	100	6	17376	0.06	0.0186915887850467	query_1	['GO:0018193']	['AKT1', 'SRC', 'EGFR', 'APP', 'PKN3', 'HIPK2']
2280	GO:BP	GO:0032496	response to lipopolysaccharide	0.0241718487590793	True	"""Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria."" [GOC:add, ISBN:0721601464]"	321	100	6	17376	0.06	0.0186915887850467	query_1	['GO:0002237', 'GO:0033993', 'GO:1901700']	['AKT1', 'SRC', 'NR1H3', 'NOTCH1', 'RARA', 'HDAC2']
2281	GO:BP	GO:2000116	regulation of cysteine-type endopeptidase activity	0.0241718487590793	True	"""Any process that modulates the frequency, rate or extent of cysteine-type endopeptidase activity."" [GOC:obol, GOC:yaf]"	230	100	5	17376	0.05	0.0217391304347826	query_1	['GO:0052548']	['REST', 'AKT1', 'SRC', 'SIRT1', 'SMAD3']
2282	GO:BP	GO:0061097	regulation of protein tyrosine kinase activity	0.0242841875656483	True	"""Any process that modulates the rate, frequency, or extent of protein tyrosine kinase activity."" [GOC:dph, GOC:tb]"	79	100	3	17376	0.03	0.0379746835443038	query_1	['GO:0045859', 'GO:0050730']	['SRC', 'PSEN1', 'APP']
2283	GO:BP	GO:0002292	T cell differentiation involved in immune response	0.0242841875656483	True	"""The process in which an antigenically naive T cell acquires the specialized features of an effector, regulatory, or memory T cell as part of an immune response. Effector T cells include cells which provide T cell help or exhibit cytotoxicity towards other cells."" [GOC:add, ISBN:0781735149]"	79	100	3	17376	0.03	0.0379746835443038	query_1	['GO:0002286', 'GO:0030217']	['STAT3', 'KMT2A', 'RARA']
2284	GO:BP	GO:0006886	intracellular protein transport	0.024422753196158	True	"""The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."" [GOC:mah]"	863	100	11	17376	0.11	0.0127462340672074	query_1	['GO:0008104', 'GO:0015031', 'GO:0046907']	['AKT1', 'PSEN1', 'STAT3', 'PIK3R1', 'SUMO1', 'NOTCH1', 'HDAC3', 'CDH1', 'TP53', 'SMAD3', 'JUP']
2285	GO:CC	GO:0000124	SAGA complex	0.0244371387307155	True	"""A SAGA-type histone acetyltransferase complex that deubiquitinates H2A and/or H2B. This complex is organized into several functional submodules: a structural core including the activator binding module and consisting of ADA1 or a homolog, members of the SPT and TAF protein families as well as promotor recruitment factor TRRAP/TRA1, a histone acetyltransferase (HAT) module consisting of GCN5/KAT2A or PCAF/KAT2B, ADA2, ADA3/NGG1, and SGF29 or homologues thereof, a histone deubiquitinase (DUB) module consisting of ATXN7/SGF73, ATXN7L3/SGF11, ENY2/SUS1 and USP22/UBP8 or homologues thereof, and in some taxa a splicing module consisting of SF3B3 and SF3B5 or homologues thereof (not in fungi). In budding yeast also contains Spt8 which distinguishes it from SAGA-like (SLIK) complex (GO:0046695)."" [PMID:10637607, PMID:17337012, PMID:19056896, PMID:20838651, PMID:33004486]"	23	100	2	17376	0.02	0.0869565217391304	query_1	['GO:0070461', 'GO:1905368']	['KAT2A', 'KAT2B']
2286	GO:BP	GO:0045834	positive regulation of lipid metabolic process	0.0245359003103668	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving lipids."" [GOC:go_curators]"	149	100	4	17376	0.04	0.0268456375838926	query_1	['GO:0006629', 'GO:0009893', 'GO:0019216']	['AKT1', 'SRC', 'NR1H2', 'NR1H3']
2287	REAC	REAC:R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	0.0247814019580287	True	DDX58/IFIH1-mediated induction of interferon-alpha/beta	80	100	3	17376	0.03	0.0375	query_1	['REAC:R-HSA-168249']	['CREBBP', 'EP300', 'APP']
2288	GO:BP	GO:1902437	positive regulation of male mating behavior	0.0250409232256087	True	"""Any process that activates or increases the frequency, rate or extent of male mating behavior."" [GOC:TermGenie, PMID:24089208]"	2	100	1	17376	0.01	0.5	query_1	['GO:0048520', 'GO:0060179', 'GO:1902435', 'GO:2000243']	['HDAC2']
2289	GO:BP	GO:0055023	positive regulation of cardiac muscle tissue growth	0.0250409232256087	True	"""Any process that activates, maintains or increases the frequency, rate or extent of cardiac muscle growth."" [GOC:vk]"	28	100	2	17376	0.02	0.0714285714285714	query_1	['GO:0055017', 'GO:0055021', 'GO:0060421']	['NOTCH1', 'RBPJ']
2290	GO:BP	GO:2000386	positive regulation of ovarian follicle development	0.0250409232256087	True	"""Any process that activates or increases the frequency, rate or extent of ovarian follicle development."" [GOC:obol]"	2	100	1	17376	0.01	0.5	query_1	['GO:0001541', 'GO:0051094', 'GO:2000243', 'GO:2000354']	['SRC']
2291	GO:BP	GO:0072554	blood vessel lumenization	0.0250409232256087	True	"""The process in which a developing blood vessel forms an endothelial lumen through which blood will flow."" [GOC:dsf, PMID:16799567, PMID:20926893]"	2	100	1	17376	0.01	0.5	query_1	['GO:0048514', 'GO:0061154']	['RBPJ']
2292	GO:BP	GO:0035622	intrahepatic bile duct development	0.0250409232256087	True	"""The progression of the intrahepatic bile ducts over time, from their formation to the mature structure. Intrahepatic bile ducts (bile ducts within the liver) collect bile from bile canaliculi in the liver, and connect to the extrahepatic bile ducts (bile ducts outside the liver)."" [GOC:bf, PMID:20614624]"	2	100	1	17376	0.01	0.5	query_1	['GO:0001889', 'GO:0061009']	['NOTCH2']
2293	GO:BP	GO:0021693	cerebellar Purkinje cell layer structural organization	0.0250409232256087	True	"""The process that contributes to the act of creating the structural organization of the cerebellar Purkinje cell layer. This process pertains to the physical shaping of a rudimentary structure. The Purkinje cell layer lies just underneath the molecular layer of the cerebellar cortex. It contains the neuronal cell bodies of the Purkinje cells that are arranged side by side in a single layer. Candelabrum interneurons are vertically oriented between the Purkinje cells. Purkinje neurons are inhibitory and provide the output of the cerebellar cortex through axons that project into the white matter. Extensive dendritic trees from the Purkinje cells extend upward in a single plane into the molecular layer where they synapse with parallel fibers of granule cells."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343]"	2	100	1	17376	0.01	0.5	query_1	['GO:0021692', 'GO:0021698', 'GO:0048532']	['DLL1']
2294	GO:BP	GO:0003189	aortic valve formation	0.0250409232256087	True	"""The developmental process pertaining to the initial formation of the aortic valve from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable."" [GOC:mtg_heart]"	2	100	1	17376	0.01	0.5	query_1	['GO:0003180', 'GO:0003188']	['CDH11']
2295	GO:BP	GO:1901187	regulation of ephrin receptor signaling pathway	0.0250409232256087	True	"""Any process that modulates the frequency, rate or extent of ephrin receptor signaling pathway."" [GOC:BHF, GOC:TermGenie]"	2	100	1	17376	0.01	0.5	query_1	['GO:0009966', 'GO:0048013']	['RBPJ']
2296	GO:BP	GO:2000256	positive regulation of male germ cell proliferation	0.0250409232256087	True	"""Any process that activates or increases the frequency, rate or extent of male germ cell proliferation."" [GOC:obol]"	2	100	1	17376	0.01	0.5	query_1	['GO:0002176', 'GO:1905938', 'GO:2000254']	['SRC']
2297	GO:BP	GO:0072053	renal inner medulla development	0.0250409232256087	True	"""The process whose specific outcome is the progression of the renal inner medulla over time, from its formation to the mature structure. The renal inner medulla is unique to mammalian kidneys and is the innermost region of the mammalian kidney."" [GOC:mtg_kidney_jan10]"	2	100	1	17376	0.01	0.5	query_1	['GO:0001822', 'GO:0048856']	['CTNNB1']
2298	GO:BP	GO:0051595	response to methylglyoxal	0.0250409232256087	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a methylglyoxal stimulus. Methylglyoxal is a 2-oxoaldehyde derived from propanal."" [GOC:ai]"	2	100	1	17376	0.01	0.5	query_1	['GO:1901654']	['SIN3A']
2299	GO:BP	GO:0003169	coronary vein morphogenesis	0.0250409232256087	True	"""The process in which the anatomical structures of veins of the heart are generated and organized."" [GOC:mtg_heart]"	2	100	1	17376	0.01	0.5	query_1	['GO:0048845', 'GO:0060977']	['NOTCH1']
2300	GO:BP	GO:0021687	cerebellar molecular layer morphogenesis	0.0250409232256087	True	"""The process in which the anatomical structure of the cerebellar molecular layer is generated and organized. The molecular layer is the outermost layer of the cerebellar cortex. It contains the parallel fibers of the granule cells, interneurons such as stellate and basket cells, and the dendrites of the underlying Purkinje cells."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343]"	2	100	1	17376	0.01	0.5	query_1	['GO:0009653', 'GO:0021679', 'GO:0021696']	['DLL1']
2301	GO:BP	GO:0021679	cerebellar molecular layer development	0.0250409232256087	True	"""The process whose specific outcome is the progression of the cerebellar molecular layer nerve over time, from its formation to the mature structure. The molecular layer is the outermost layer of the cerebellar cortex. It contains the parallel fibers of the granule cells, interneurons such as stellate and basket cells, and the dendrites of the underlying Purkinje cells."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343]"	2	100	1	17376	0.01	0.5	query_1	['GO:0021695', 'GO:0048856']	['DLL1']
2302	GO:BP	GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	0.0250409232256087	True	"""Any process that modulates the frequency, rate or extent of an oxidative stress-induced intrinsic apoptotic signaling pathway."" [GOC:BHF, GOC:mtg_apoptosis, GOC:TermGenie, PMID:11672522]"	28	100	2	17376	0.02	0.0714285714285714	query_1	['GO:0008631', 'GO:1903201', 'GO:2001242']	['AKT1', 'SIRT1']
2303	GO:BP	GO:0035262	gonad morphogenesis	0.0250409232256087	True	"""The process in which the anatomical structures of the gonads are generated and organized. A gonad is an animal organ producing gametes, e.g. the testes or the ovary in mammals."" [ISBN:0198612001]"	2	100	1	17376	0.01	0.5	query_1	['GO:0003006', 'GO:0008406', 'GO:0009887']	['SMAD4']
2304	GO:BP	GO:0044334	canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition	0.0250409232256087	True	"""The series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes involved in the positive regulation of epithelial cell to mesenchymal cell transition."" [GOC:BHF, GOC:jl]"	2	100	1	17376	0.01	0.5	query_1	['GO:0010718', 'GO:0060070']	['CTNNB1']
2305	GO:BP	GO:0036296	response to increased oxygen levels	0.0250409232256087	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting an increase in the level of oxygen."" [GOC:al]"	28	100	2	17376	0.02	0.0714285714285714	query_1	['GO:0070482']	['FOXO1', 'HDAC2']
2306	GO:BP	GO:0072054	renal outer medulla development	0.0250409232256087	True	"""The process whose specific outcome is the progression of the renal outer medulla over time, from its formation to the mature structure. The renal outer medulla is the region of the kidney that lies between the renal cortex and the renal inner medulla."" [GOC:mtg_kidney_jan10]"	2	100	1	17376	0.01	0.5	query_1	['GO:0001822', 'GO:0048856']	['CTNNB1']
2307	GO:BP	GO:0021698	cerebellar cortex structural organization	0.0250409232256087	True	"""The process that contributes to the act of creating the structural organization of the cerebellar cortex. This process pertains to the physical shaping of a rudimentary structure. The cerebellar cortex is a thin mantle of gray matter that covers the surface of each cerebral hemisphere. It has a characteristic morphology with convolutions (gyri) and crevices (sulci) that have specific functions. Six layers of nerve cells and the nerve pathways that connect them comprise the cerebellar cortex. Together, these regions are responsible for the processes of conscious thought, perception, emotion and memory as well as advanced motor function."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, ISBN:0838580343]"	2	100	1	17376	0.01	0.5	query_1	['GO:0021696', 'GO:0048532']	['DLL1']
2308	GO:BP	GO:2001045	negative regulation of integrin-mediated signaling pathway	0.0250409232256087	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of integrin-mediated signaling pathway."" [GOC:obol]"	2	100	1	17376	0.01	0.5	query_1	['GO:0007229', 'GO:0009968', 'GO:2001044']	['CTNNA1']
2309	GO:BP	GO:0007352	zygotic specification of dorsal/ventral axis	0.0250409232256087	True	"""The specification of the dorsal/ventral axis of the embryo, through the products of genes expressed in the zygote."" [GOC:bf]"	2	100	1	17376	0.01	0.5	query_1	['GO:0000578', 'GO:0009950']	['SMAD2']
2310	GO:BP	GO:1902435	regulation of male mating behavior	0.0250409232256087	True	"""Any process that modulates the frequency, rate or extent of male mating behavior."" [GOC:TermGenie, PMID:24089208]"	2	100	1	17376	0.01	0.5	query_1	['GO:0050795', 'GO:0060179', 'GO:2000241']	['HDAC2']
2311	GO:BP	GO:2000974	negative regulation of pro-B cell differentiation	0.0250409232256087	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of pro-B cell differentiation."" [GOC:obol]"	2	100	1	17376	0.01	0.5	query_1	['GO:0002328', 'GO:1905457', 'GO:2000973']	['NOTCH1']
2312	GO:BP	GO:0072134	nephrogenic mesenchyme morphogenesis	0.0250409232256087	True	"""The process in which the anatomical structures of a nephrogenic mesenchymal tissue are generated and organized. Nephrogenic mesenchyme is the tissue made up of loosely connected mesenchymal cells in the nephron."" [GOC:mtg_kidney_jan10]"	2	100	1	17376	0.01	0.5	query_1	['GO:0072076', 'GO:0072131']	['SMAD4']
2313	GO:BP	GO:0090108	positive regulation of high-density lipoprotein particle assembly	0.0250409232256087	True	"""Any process that increases the frequency, rate, or extent of high-density lipoprotein particle assembly. High-density lipoprotein particle assembly is the aggregation and arrangement of proteins and lipids to form a high-density lipoprotein particle."" [GOC:BHF, GOC:dph, GOC:tb]"	2	100	1	17376	0.01	0.5	query_1	['GO:0031334', 'GO:0034380', 'GO:0051240', 'GO:0090107']	['NR1H2']
2314	GO:BP	GO:0051051	negative regulation of transport	0.0250409232256087	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	425	100	7	17376	0.07	0.0164705882352941	query_1	['GO:0006810', 'GO:0048519', 'GO:0051049']	['REST', 'AKT1', 'NR1H2', 'NR1H3', 'SUMO1', 'NOTCH1', 'FOXO1']
2315	GO:BP	GO:1901295	regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment	0.0250409232256087	True	"""Any process that modulates the frequency, rate or extent of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment."" [GOC:BHF, GOC:TermGenie]"	2	100	1	17376	0.01	0.5	query_1	['GO:0061317', 'GO:1905066']	['RBPJ']
2316	GO:BP	GO:0072076	nephrogenic mesenchyme development	0.0250409232256087	True	"""The biological process whose specific outcome is the progression of a nephrogenic mesenchyme from an initial condition to its mature state. This process begins with the formation of nephrogenic mesenchyme and ends with the mature structure. Nephrogenic mesenchyme is the tissue made up of loosely connected mesenchymal cells in the nephron."" [GOC:mtg_kidney_jan10]"	2	100	1	17376	0.01	0.5	query_1	['GO:0072006', 'GO:0072074']	['SMAD4']
2317	GO:BP	GO:0021870	Cajal-Retzius cell differentiation	0.0250409232256087	True	"""The process in which a neuroblast acquires specialized structural and/or functional features of a Cajal-Retzius cell, one of a transient population of pioneering neurons in the cerebral cortex. These cells are slender bipolar cells of the developing marginal zone. One feature of these cells in mammals is that they express the Reelin gene."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]"	2	100	1	17376	0.01	0.5	query_1	['GO:0021895']	['PSEN1']
2318	GO:BP	GO:2000740	negative regulation of mesenchymal stem cell differentiation	0.0250409232256087	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of mesenchymal stem cell differentiation."" [GOC:obol]"	2	100	1	17376	0.01	0.5	query_1	['GO:0072497', 'GO:2000737', 'GO:2000739']	['REST']
2319	GO:BP	GO:0038004	epidermal growth factor receptor ligand maturation	0.0250409232256087	True	"""Any process leading to the attainment of the full functional capacity of a ligand for an epidermal growth factor receptor. The ligand is functional when it can bind to and activate an epidermal growth factor receptor."" [GOC:signaling, PMID:11672524, PMID:11672525]"	2	100	1	17376	0.01	0.5	query_1	['GO:0016486']	['ADAM10']
2320	GO:BP	GO:0036023	embryonic skeletal limb joint morphogenesis	0.0250409232256087	True	"""The process, occurring in the embryo, in which the anatomical structures of a skeletal limb joint are generated and organized. A skeletal limb joint is the connecting structure between the bones of a limb."" [GOC:bf, Wikipedia:Joint]"	2	100	1	17376	0.01	0.5	query_1	['GO:0030326', 'GO:0036022', 'GO:0060272']	['CTNNB1']
2321	GO:BP	GO:0031393	negative regulation of prostaglandin biosynthetic process	0.0250409232256087	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of prostaglandin."" [GOC:mah]"	2	100	1	17376	0.01	0.5	query_1	['GO:0001516', 'GO:0031392', 'GO:0045717']	['SIRT1']
2322	GO:BP	GO:1902897	regulation of postsynaptic density protein 95 clustering	0.0250409232256087	True	"""Any process that modulates the frequency, rate or extent of postsynaptic density protein 95 clustering."" [GO_REF:0000058, GOC:als, GOC:TermGenie, PMID:10570482]"	2	100	1	17376	0.01	0.5	query_1	['GO:0097119', 'GO:1905475', 'GO:1905874']	['CDH2']
2323	GO:BP	GO:0003171	atrioventricular valve development	0.0250409232256087	True	"""The progression of the atrioventricular valve over time, from its formation to the mature structure."" [GOC:mtg_heart]"	28	100	2	17376	0.02	0.0714285714285714	query_1	['GO:0003170']	['SMAD4', 'NOTCH1']
2324	GO:BP	GO:0055006	cardiac cell development	0.0250409232256087	True	"""The process whose specific outcome is the progression of a cardiac cell over time, from its formation to the mature state. A cardiac cell is a cell that will form part of the cardiac organ of an individual."" [GOC:devbiol]"	81	100	3	17376	0.03	0.037037037037037	query_1	['GO:0035051', 'GO:0048468']	['MAML1', 'SMAD4', 'NOTCH1']
2325	GO:BP	GO:0061047	positive regulation of branching involved in lung morphogenesis	0.0250409232256087	True	"""Any process that increases the rate, frequency, or extent of the process in which a highly ordered sequence of patterning events generates the branched structures of the lung, consisting of reiterated combinations of bud outgrowth, elongation, and dichotomous subdivision of terminal units."" [GOC:dph, GOC:yaf]"	2	100	1	17376	0.01	0.5	query_1	['GO:0051240', 'GO:0060441', 'GO:0061046', 'GO:1905332']	['CTNNB1']
2326	GO:BP	GO:0042595	behavioral response to starvation	0.0250409232256087	True	"""Any process that results in a change in the behavior of an organism as a result of deprivation of nourishment."" [GOC:go_curators]"	2	100	1	17376	0.01	0.5	query_1	['GO:0042594']	['SIRT1']
2327	GO:BP	GO:2000654	regulation of cellular response to testosterone stimulus	0.0250409232256087	True	"""Any process that modulates the frequency, rate or extent of cellular response to testosterone stimulus."" [GOC:BHF]"	2	100	1	17376	0.01	0.5	query_1	['GO:0048583', 'GO:0050794', 'GO:0071394']	['SIRT1']
2328	GO:BP	GO:0090241	negative regulation of histone H4 acetylation	0.0250409232256087	True	"""Any process that decreases the rate, frequency, or extent of histone H4 acetylation, the modification of histone H4 by the addition of an acetyl group."" [GOC:dph, GOC:tb]"	2	100	1	17376	0.01	0.5	query_1	['GO:0035067', 'GO:0043967', 'GO:0090239']	['CTBP1']
