Mandibuloacral dysplasia with type A lipodystrophy	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
305	GO:BP	GO:0002639	positive regulation of immunoglobulin production	0.0022741520023246	True	"""Any process that activates or increases the frequency, rate, or extent of immunoglobulin production."" [GOC:add]"	52	100	4	15719	0.04	0.0769230769230769	query_1	['GO:0002377', 'GO:0002637', 'GO:0002702']	['MSH2', 'TP53BP1', 'PAXIP1', 'MLH1']
306	GO:BP	GO:0007129	homologous chromosome pairing at meiosis	0.002439893560366	True	"""The meiotic cell cycle process where side by side pairing and physical juxtaposition of homologous chromosomes is created during meiotic prophase. Homologous chromosome pairing begins when the chromosome arms begin to pair from the clustered telomeres and ends when synaptonemal complex or linear element assembly is complete."" [GOC:mtg_cell_cycle, PMID:22582262, PMID:23117617, PMID:31811152]"	53	100	4	15719	0.04	0.0754716981132075	query_1	['GO:0045143', 'GO:0070192']	['BRIP1', 'MLH1', 'FANCD2', 'MRE11']
309	GO:BP	GO:0002681	somatic recombination of T cell receptor gene segments	0.0026723807114393	True	"""The process in which T cell receptor genes are formed through recombination of the germline genetic elements, also known as T cell receptor gene segments."" [GOC:add, ISBN:0781735149]"	5	100	2	15719	0.02	0.4	query_1	['GO:0002562', 'GO:0002568']	['LIG4', 'PRKDC']
308	GO:BP	GO:1901563	response to camptothecin	0.0026723807114393	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a camptothecin stimulus."" [GOC:TermGenie]"	5	100	2	15719	0.02	0.4	query_1	['GO:0014070', 'GO:0043279', 'GO:0097305']	['BLM', 'RAD51']
307	GO:BP	GO:0033153	T cell receptor V(D)J recombination	0.0026723807114393	True	"""The process in which T cell receptor V, D, and J, or V and J gene segments, depending on the specific locus, are recombined within a single locus utilizing the conserved heptamer and nonomer recombination signal sequences (RSS)."" [GOC:add, ISBN:0781700221]"	5	100	2	15719	0.02	0.4	query_1	['GO:0002681', 'GO:0033151']	['LIG4', 'PRKDC']
310	GO:BP	GO:0048296	regulation of isotype switching to IgA isotypes	0.0026723807114393	True	"""Any process that modulates the frequency, rate or extent of isotype switching to IgA isotypes."" [GOC:jid]"	5	100	2	15719	0.02	0.4	query_1	['GO:0045191', 'GO:0048290']	['MSH2', 'MLH1']
311	GO:BP	GO:0002568	somatic diversification of T cell receptor genes	0.0026723807114393	True	"""The somatic process that results in the generation of sequence diversity of T cell receptor genes."" [GOC:add, ISBN:0781735149]"	5	100	2	15719	0.02	0.4	query_1	['GO:0002200', 'GO:0030217']	['LIG4', 'PRKDC']
312	GO:BP	GO:0030183	B cell differentiation	0.0028142821349749	True	"""The process in which a precursor cell type acquires the specialized features of a B cell. A B cell is a lymphocyte of B lineage with the phenotype CD19-positive and capable of B cell mediated immunity."" [GO_REF:0000022, GOC:mah]"	152	100	6	15719	0.06	0.0394736842105263	query_1	['GO:0030098', 'GO:0042113']	['MSH2', 'DCLRE1C', 'NHEJ1', 'ATM', 'PRKDC', 'TP53']
313	GO:BP	GO:0002252	immune effector process	0.0029886498760059	True	"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	604	100	12	15719	0.12	0.0198675496688741	query_1	['GO:0002376']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'TP53', 'RNF8', 'MSH6']
314	GO:BP	GO:0080090	regulation of primary metabolic process	0.0030346213277752	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5409	100	51	15719	0.51	0.00942872989462	query_1	['GO:0019222', 'GO:0044238']	['RBBP8', 'HUS1', 'LMNA', 'BRIP1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'PCNA', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'TP53', 'CHCHD10', 'PNKP', 'NEIL1', 'RNF8', 'MSH6']
315	GO:BP	GO:0006998	nuclear envelope organization	0.0033520028605799	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the nuclear envelope."" [GOC:dph, GOC:ems, GOC:jl, GOC:mah]"	58	100	4	15719	0.04	0.0689655172413793	query_1	['GO:0006997', 'GO:0010256', 'GO:0061024']	['LMNA', 'VRK1', 'EMD', 'BANF1']
316	GO:BP	GO:0060255	regulation of macromolecule metabolic process	0.0037975641508014	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	5751	100	53	15719	0.53	0.0092157885585115	query_1	['GO:0019222', 'GO:0043170']	['RBBP8', 'HUS1', 'LMNA', 'BRIP1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'POLA1', 'PCNA', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'POLE3', 'MRE11', 'RAD51', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'TP53', 'CHCHD10', 'PNKP', 'NEIL1', 'BANF1', 'RNF8', 'MSH6']
88	GO:CC	GO:0070531	BRCA1-A complex	0.0038008649399037	True	"""A protein complex that contains the BRCA1-BARD1 heterodimer, RAP80/UIMC1, BRCC3/BRCC36, BRE/BRCC45, FAM175A/CCDC98/Abraxas and MERIT40/NBA1, and specifically recognizes and binds K63-linked polyubiquitin chains present on histone H2A and H2AX at DNA damage sites."" [GOC:mah, PMID:19261749]"	9	102	2	16420	0.0196078431372549	0.2222222222222222	query_1	['GO:0140513']	['BRCA1', 'BARD1']
321	GO:BP	GO:0042148	strand invasion	0.0038559835977182	True	"""The process in which the nucleoprotein complex (composed of the broken single-strand DNA and the recombinase) searches and identifies a region of homology in intact duplex DNA. The broken single-strand DNA displaces the like strand and forms Watson-Crick base pairs with its complement, forming a duplex in which each strand is from one of the two recombining DNA molecules."" [GOC:elh, PMID:10357855]"	6	100	2	15719	0.02	0.3333333333333333	query_1	['GO:0006259', 'GO:0006310']	['RAD51', 'WRN']
317	GO:BP	GO:0002326	B cell lineage commitment	0.0038559835977182	True	"""The process in which a lymphoid progenitor cell becomes committed to become any type of B cell."" [GOC:add, ISBN:0781735149]"	6	100	2	15719	0.02	0.3333333333333333	query_1	['GO:0030183', 'GO:0045165']	['PRKDC', 'TP53']
318	GO:BP	GO:0048290	isotype switching to IgA isotypes	0.0038559835977182	True	"""The switching of activated B cells from IgM biosynthesis to biosynthesis of an IgA isotype, accomplished through a recombination process involving an intrachromosomal deletion between switch regions that reside 5' of the IgM and one of the IgA constant region gene segments in the immunoglobulin heavy chain locus."" [ISBN:0781735149, PMID:12370374, PMID:2113175, PMID:9186655]"	6	100	2	15719	0.02	0.3333333333333333	query_1	['GO:0045190']	['MSH2', 'MLH1']
319	GO:BP	GO:0010792	DNA double-strand break processing involved in repair via single-strand annealing	0.0038559835977182	True	"""The 5' to 3' exonucleolytic resection of the DNA at the site of the break to form a 3' single-strand DNA overhang that results in the repair of a double strand break via single-strand annealing."" [GOC:dph, GOC:tb]"	6	100	2	15719	0.02	0.3333333333333333	query_1	['GO:0000729', 'GO:0045002']	['RBBP8', 'RAD52']
320	GO:BP	GO:0097680	double-strand break repair via classical nonhomologous end joining	0.0038559835977182	True	"""An instance of double-strand break repair via nonhomologous end joining that requires a number of factors important for V(D)J recombination, including the KU70/80 heterodimer (KU), XRCC4, ligase IV, and DNA-PKcs in mammals. It does not produce translocations (as opposed to the alternative nonhomologous end joining)."" [GOC:rph, PMID:18584027]"	6	100	2	15719	0.02	0.3333333333333333	query_1	['GO:0006303']	['XRCC6', 'LIG4']
322	GO:BP	GO:1990918	double-strand break repair involved in meiotic recombination	0.0038559835977182	True	"""The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix that contributes to reciprocal meiotic recombination."" [GOC:mah, PMID:15238514]"	6	100	2	15719	0.02	0.3333333333333333	query_1	['GO:0006302', 'GO:0007131', 'GO:1903046']	['BRIP1', 'FANCD2']
89	GO:CC	GO:1902554	serine/threonine protein kinase complex	0.0039070888033181	True	"""A protein complex which is capable of protein serine/threonine kinase activity."" [GOC:bhm, GOC:TermGenie, PMID:18191223]"	132	102	5	16420	0.0490196078431372	0.0378787878787878	query_1	['GO:1902911']	['XRCC6', 'PCNA', 'XRCC5', 'CDK2', 'PRKDC']
323	GO:BP	GO:2000045	regulation of G1/S transition of mitotic cell cycle	0.0040648044000542	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]"	164	100	6	15719	0.06	0.0365853658536585	query_1	['GO:0000082', 'GO:1901990', 'GO:1902806']	['RPA2', 'ATM', 'APEX1', 'CDK2', 'PRKDC', 'TP53']
324	GO:BP	GO:0009893	positive regulation of metabolic process	0.0041739136356646	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	3655	100	38	15719	0.38	0.0103967168262653	query_1	['GO:0008152', 'GO:0019222', 'GO:0048518']	['RBBP8', 'LMNA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'FANCI', 'RAD51AP1', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'APLF', 'MLH1', 'H2AX', 'BRCA2', 'PCNA', 'PARP1', 'XRCC5', 'ERCC1', 'BLM', 'ATM', 'MRE11', 'VDAC1', 'RAD51', 'APEX1', 'PRIM2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'BARD1', 'WRN', 'TP53', 'CHCHD10', 'PNKP', 'RNF8']
325	GO:BP	GO:0031954	positive regulation of protein autophosphorylation	0.0047124123101007	True	"""Any process that activates or increases the frequency, rate or extent of the phosphorylation by a protein of one or more of its own residues."" [GOC:mah]"	28	100	3	15719	0.03	0.1071428571428571	query_1	['GO:0001934', 'GO:0031952', 'GO:0046777']	['NBN', 'RAD50', 'MRE11']
326	GO:BP	GO:0006304	DNA modification	0.004756396023472	True	"""The covalent alteration of one or more nucleotide sites in DNA, resulting in a change in its properties."" [GOC:jl, GOC:ma]"	112	100	5	15719	0.05	0.0446428571428571	query_1	['GO:0006259', 'GO:0043412']	['OGG1', 'PARP1', 'APEX1', 'BRCA1', 'NEIL1']
327	GO:BP	GO:0034504	protein localization to nucleus	0.0051925108540066	True	"""A process in which a protein transports or maintains the localization of another protein to the nucleus."" [GOC:ecd]"	310	100	8	15719	0.08	0.0258064516129032	query_1	['GO:0033365']	['LMNA', 'XPA', 'PARP1', 'POLA2', 'BARD1', 'WRN', 'TP53', 'CHCHD10']
331	GO:BP	GO:0062100	positive regulation of programmed necrotic cell death	0.0051989261723931	True	"""Any process that increases the frequency, rate or extent of programmed necrotic cell death."" [GOC:aruk, GOC:rph, PMID:27258785]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0010940', 'GO:0043068', 'GO:0062098', 'GO:0097300']	['PARP1', 'TP53']
333	GO:BP	GO:0051574	positive regulation of histone H3-K9 methylation	0.0051989261723931	True	"""Any process that activates or increases the frequency, rate or extent of the covalent addition of a methyl group to the lysine at position 9 of histone H3."" [GOC:ai]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0031062', 'GO:0051567', 'GO:0051570']	['LMNA', 'BRCA1']
329	GO:BP	GO:0044806	G-quadruplex DNA unwinding	0.0051989261723931	True	"""The process by which G-quadruplex (also known as G4) DNA, which is a four-stranded DNA structure held together by guanine base pairing, is unwound or 'melted'."" [GOC:jl, GOC:se, PMID:23657261]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0032392']	['BLM', 'WRN']
330	GO:BP	GO:1904429	regulation of t-circle formation	0.0051989261723931	True	"""Any process that modulates the frequency, rate or extent of t-circle formation."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:22579284]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0032204', 'GO:0044087', 'GO:0090656']	['XRCC5', 'ERCC1']
328	GO:BP	GO:0045003	double-strand break repair via synthesis-dependent strand annealing	0.0051989261723931	True	"""SDSA is a major mechanism of double-strand break repair in mitosis which allows for the error-free repair of a double-strand break without the exchange of adjacent sequences. The broken DNA searches for and base pairs with a homologous region in an intact chromosome. DNA synthesis initiates from the 3' end of the invading DNA strand, using the intact chromosome as the template. Newly synthesized DNA is then displaced from the template and anneal with its complement on the other side of the double-strand break."" [PMID:10357855]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0000724']	['RAD52', 'RAD51']
332	GO:BP	GO:1990414	replication-born double-strand break repair via sister chromatid exchange	0.0051989261723931	True	"""The repair of a replication-born double-strand DNA break in which the DNA molecule is repaired using the homologous sequence of the sister chromatid which serves as a template to repair the breaks."" [GOC:rb, PMID:12820977, PMID:16888651]"	7	100	2	15719	0.02	0.2857142857142857	query_1	['GO:0000724']	['RAD51', 'XRCC1']
123	REAC	REAC:R-HSA-110357	Displacement of DNA glycosylase by APEX1	0.0054402138307033	True	Displacement of DNA glycosylase by APEX1	7	96	2	10022	0.0208333333333333	0.2857142857142857	query_1	['REAC:R-HSA-73933']	['OGG1', 'APEX1']
334	GO:BP	GO:0098813	nuclear chromosome segregation	0.0055074753776405	True	"""The process in which genetic material, in the form of nuclear chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. Nuclear chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:dos]"	314	100	8	15719	0.08	0.0254777070063694	query_1	['GO:0007059']	['BRIP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RMI2', 'RMI1']
335	GO:BP	GO:0072331	signal transduction by p53 class mediator	0.0055074753776405	True	"""An intracellular signaling process that is induced by the cell cycle regulator phosphoprotein p53 or an equivalent protein."" [GOC:mah]"	175	100	6	15719	0.06	0.0342857142857142	query_1	['GO:0035556']	['NBN', 'MSH2', 'PAXIP1', 'BRCA2', 'ATM', 'TP53']
90	GO:CC	GO:1902911	protein kinase complex	0.0060195769168818	True	"""A protein complex which is capable of protein kinase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:24606918]"	146	102	5	16420	0.0490196078431372	0.0342465753424657	query_1	['GO:0061695']	['XRCC6', 'PCNA', 'XRCC5', 'CDK2', 'PRKDC']
336	GO:BP	GO:2000780	negative regulation of double-strand break repair	0.0061689790322364	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of double-strand break repair."" [GOC:BHF]"	31	100	3	15719	0.03	0.0967741935483871	query_1	['GO:0006302', 'GO:0045738', 'GO:2000779']	['TP53BP1', 'OGG1', 'RMI2']
337	GO:BP	GO:0043462	regulation of ATP-dependent activity	0.0063894517094845	True	"""Any process that modulates the rate of an ATP-dependent activity."" [GOC:jl]"	70	100	4	15719	0.04	0.0571428571428571	query_1	['GO:0065009']	['MSH2', 'MSH3', 'TP53', 'MSH6']
338	GO:BP	GO:0045008	depyrimidination	0.0067416777933361	True	"""The disruption of the bond between the sugar in the backbone and the C or T base, causing the base to be removed and leaving a depyrimidinated sugar."" [GOC:ai]"	8	100	2	15719	0.02	0.25	query_1	['GO:0006285', 'GO:0006304', 'GO:0009223']	['OGG1', 'NEIL1']
339	GO:BP	GO:0006290	pyrimidine dimer repair	0.0067416777933361	True	"""The repair of UV-induced T-T, C-T and C-C dimers."" [ISBN:0815316194]"	8	100	2	15719	0.02	0.25	query_1	['GO:0006281']	['ERCC1', 'POLB']
340	GO:BP	GO:1900543	negative regulation of purine nucleotide metabolic process	0.0067416777933361	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of purine nucleotide metabolic process."" [GOC:TermGenie]"	8	100	2	15719	0.02	0.25	query_1	['GO:0006163', 'GO:0045980', 'GO:1900542']	['PARP1', 'TP53']
341	GO:BP	GO:0070537	histone H2A K63-linked deubiquitination	0.0067416777933361	True	"""A protein deubiquitination process in which a K63-linked ubiquitin chain, i.e. a polymer of ubiquitin formed by linkages between lysine residues at position 63 of the ubiquitin monomers, is removed from a lysine residue in histone H2A or the variant H2AX."" [GOC:mah, PMID:19202061, PMID:19214193]"	8	100	2	15719	0.02	0.25	query_1	['GO:0016578', 'GO:0070536']	['BRCA1', 'BARD1']
342	GO:BP	GO:0045738	negative regulation of DNA repair	0.0072894395368755	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of DNA repair."" [GOC:go_curators]"	33	100	3	15719	0.03	0.0909090909090909	query_1	['GO:0006281', 'GO:0006282', 'GO:0048585', 'GO:0051053']	['TP53BP1', 'OGG1', 'RMI2']
343	GO:BP	GO:0062197	cellular response to chemical stress	0.007400887194053	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus indicating the organism is under stress."" [PMID:26653712]"	330	100	8	15719	0.08	0.0242424242424242	query_1	['GO:0033554', 'GO:0070887']	['RAD52', 'PCNA', 'PARP1', 'XRCC5', 'FANCD2', 'ATM', 'APEX1', 'TP53']
124	REAC	REAC:R-HSA-2559583	Cellular Senescence	0.0074458586020854	True	Cellular Senescence	194	96	7	10022	0.0729166666666666	0.0360824742268041	query_1	['REAC:R-HSA-2262752']	['NBN', 'RAD50', 'H2AX', 'ATM', 'MRE11', 'CDK2', 'TP53']
91	GO:CC	GO:0000783	nuclear telomere cap complex	0.0076717851552183	True	"""A complex of DNA and protein located at the end of a linear chromosome in the nucleus that protects and stabilizes a linear chromosome."" [GOC:elh]"	13	102	2	16420	0.0196078431372549	0.1538461538461538	query_1	['GO:0000782', 'GO:0140513']	['XRCC6', 'XRCC5']
92	GO:CC	GO:0000782	telomere cap complex	0.0076717851552183	True	"""A complex of DNA and protein located at the end of a linear chromosome that protects and stabilizes a linear chromosome."" [GOC:elh]"	13	102	2	16420	0.0196078431372549	0.1538461538461538	query_1	['GO:0032993', 'GO:0044815', 'GO:0140445']	['XRCC6', 'XRCC5']
93	GO:CC	GO:0005652	nuclear lamina	0.0076717851552183	True	"""The fibrous, electron-dense layer lying on the nucleoplasmic side of the inner membrane of a cell nucleus, composed of lamin filaments. The polypeptides of the lamina are thought to be concerned in the dissolution of the nuclear envelope and its re-formation during mitosis. The lamina is composed of lamin A and lamin C filaments cross-linked into an orthogonal lattice, which is attached via lamin B to the inner nuclear membrane through interactions with a lamin B receptor, an IFAP, in the membrane."" [ISBN:0198506732, ISBN:0716731363]"	13	102	2	16420	0.0196078431372549	0.1538461538461538	query_1	['GO:0034399', 'GO:0110165']	['LMNA', 'PCNA']
345	GO:BP	GO:0051204	protein insertion into mitochondrial membrane	0.0078891534013578	True	"""The process that results in the incorporation of a protein into a mitochondrial membrane."" [GOC:ai]"	34	100	3	15719	0.03	0.088235294117647	query_1	['GO:0006839', 'GO:0006886', 'GO:0051205', 'GO:0070585', 'GO:0090151']	['MTX2', 'MTX1', 'SAMM50']
344	GO:BP	GO:0032212	positive regulation of telomere maintenance via telomerase	0.0078891534013578	True	"""Any process that activates or increases the frequency, rate or extent of the addition of telomeric repeats by telomerase."" [GOC:mah]"	34	100	3	15719	0.03	0.088235294117647	query_1	['GO:0007004', 'GO:0032210', 'GO:1904358', 'GO:2000573']	['XRCC5', 'ATM', 'PNKP']
346	GO:BP	GO:1902806	regulation of cell cycle G1/S phase transition	0.0081441386495675	True	"""Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the cell cycle."" [GO_REF:0000058, GOC:mtg_cell_cycle, GOC:TermGenie]"	190	100	6	15719	0.06	0.031578947368421	query_1	['GO:0044843', 'GO:1901987']	['RPA2', 'ATM', 'APEX1', 'CDK2', 'PRKDC', 'TP53']
347	GO:BP	GO:0030098	lymphocyte differentiation	0.0081733827663253	True	"""The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [CL:0000542, GOC:go_curators]"	417	100	9	15719	0.09	0.0215827338129496	query_1	['GO:0046649', 'GO:1903131']	['MSH2', 'DCLRE1C', 'XRCC6', 'LIG4', 'NHEJ1', 'FANCD2', 'ATM', 'PRKDC', 'TP53']
350	GO:BP	GO:0045980	negative regulation of nucleotide metabolic process	0.0084106112660896	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleotides."" [GOC:go_curators]"	9	100	2	15719	0.02	0.2222222222222222	query_1	['GO:0006140', 'GO:0009117', 'GO:0045934', 'GO:0045936', 'GO:0062014']	['PARP1', 'TP53']
349	GO:BP	GO:0061820	telomeric D-loop disassembly	0.0084106112660896	True	"""A telomere loop disassembly process that results in the disassembly of telomeric D-loops. A telomeric D-loop is a three-stranded DNA displacement loop that forms at the site where the telomeric 3' single-stranded DNA overhang (formed of the repeat sequence TTAGGG in mammals) is tucked back inside the double-stranded component of telomeric DNA molecule, thus forming a t-loop or telomeric-loop and protecting the chromosome terminus."" [GOC:BHF, GOC:BHF_telomere, GOC:nc, PMID:10338204, PMID:24012755]"	9	100	2	15719	0.02	0.2222222222222222	query_1	['GO:0090657']	['BLM', 'WRN']
348	GO:BP	GO:0085020	protein K6-linked ubiquitination	0.0084106112660896	True	"""A protein ubiquitination process in which a polymer of ubiquitin, formed by linkages between lysine residues at position 6 of the ubiquitin monomers, is added to a protein. K6-linked ubiquitination is involved in DNA repair."" [GOC:sp]"	9	100	2	15719	0.02	0.2222222222222222	query_1	['GO:0000209']	['BRCA1', 'BARD1']
351	GO:BP	GO:0060218	hematopoietic stem cell differentiation	0.0084427410289962	True	"""The process in which a relatively unspecialized cell acquires specialized features of a hematopoietic stem cell. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [GOC:bf, GOC:BHF, GOC:dph, GOC:rl, PMID:15378083]"	35	100	3	15719	0.03	0.0857142857142857	query_1	['GO:0002244', 'GO:0048863']	['XRCC5', 'PRKDC', 'TP53']
94	GO:CC	GO:0140445	chromosome, telomeric repeat region	0.0087285449351793	True	"""A complex of DNA and protein that seals the end of a chromosome. The telomeric repeat DNA consists of simple tandemly repeated sequences specific for each species. Typically one strand is G-rich and the other C-rich. The G-rich strand forms a 3'-terminal overhang, the length of which varies with species. The single strand overhang is bound by a variety of proteins, including telomere capping proteins that bind to the single-stranded DNA and seal the telomeric loop."" [PMID:11352055, PMID:30208292]"	14	102	2	16420	0.0196078431372549	0.1428571428571428	query_1	['GO:0000781']	['XRCC6', 'XRCC5']
95	GO:CC	GO:0140672	ATAC complex	0.0087285449351793	True	"""A chromatin remodelling complex that regulates transcription via acetylation primarily of nucleosomal histones H3 and possibly H4. Shares the histone acetylation (HAT) module of GCN5/PCAF-ADA2-ADA3-SGF29 (or orthologs) with the related SAGA complex (GO:0000124). Contains HAT subunits GCN5 or PCAF in a mutually exclusive manner. In addition to the HAT module contains DR1/NC2B, KAT14, MBIP, WDR5, YEATS2 and ZZZ3 or orthologs. Also regulates the activity of non-histone targets and orchestrates mitotic progression by regulating Cyclin A degradation through acetylation."" [GOC:bhm, PMID:19936620, PMID:20562830, PMID:28966424]"	14	102	2	16420	0.0196078431372549	0.1428571428571428	query_1	['GO:0070461']	['POLE4', 'POLE3']
125	REAC	REAC:R-HSA-1834949	Cytosolic sensors of pathogen-associated DNA 	0.0088579295472343	True	Cytosolic sensors of pathogen-associated DNA 	63	96	4	10022	0.0416666666666666	0.0634920634920634	query_1	['REAC:R-HSA-168249']	['XRCC6', 'XRCC5', 'MRE11', 'PRKDC']
352	GO:BP	GO:0051129	negative regulation of cellular component organization	0.0090150677349132	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	695	100	12	15719	0.12	0.0172661870503597	query_1	['GO:0016043', 'GO:0048523', 'GO:0051128']	['LMNA', 'NBN', 'RAD50', 'RAD1', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATM', 'BRCA1', 'XRCC1', 'TP53']
353	GO:BP	GO:1904358	positive regulation of telomere maintenance via telomere lengthening	0.0098750434399031	True	"""Any process that activates or increases the frequency, rate or extent of telomere maintenance via telomere lengthening."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	37	100	3	15719	0.03	0.081081081081081	query_1	['GO:0010833', 'GO:0032206', 'GO:1904356']	['XRCC5', 'ATM', 'PNKP']
96	GO:CC	GO:0001741	XY body	0.0099273217777403	True	"""A structure found in a male mammalian spermatocyte containing an unpaired X chromosome that has become densely heterochromatic, silenced and localized at the nuclear periphery."" [GOC:hjd, GOC:mr, PMID:20622855, Wikipedia:XY_sex-determination_system]"	15	102	2	16420	0.0196078431372549	0.1333333333333333	query_1	['GO:0000803']	['H2AX', 'BRCA1']
97	GO:CC	GO:0016607	nuclear speck	0.0102103102596442	True	"""A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy."" [http://www.cellnucleus.com/]"	409	102	8	16420	0.0784313725490196	0.0195599022004889	query_1	['GO:0016604']	['LMNA', 'H2AX', 'OGG1', 'APEX1', 'BARD1', 'WRN', 'RMI2', 'DNAJC11']
354	GO:BP	GO:0033314	mitotic DNA replication checkpoint signaling	0.0103226610387339	True	"""A signal transduction process that contributes to a mitotic DNA replication checkpoint."" [GOC:mtg_cell_cycle]"	10	100	2	15719	0.02	0.2	query_1	['GO:0000076', 'GO:0044774', 'GO:0044818']	['HUS1', 'HUS1B']
355	GO:BP	GO:0045141	meiotic telomere clustering	0.0103226610387339	True	"""The cell cycle process in which the dynamic reorganization of telomeres occurs in early meiotic prophase, during which meiotic chromosome ends are gathered in a bouquet arrangement at the inner surface of the nuclear envelope proximal to the spindle pole body. This plays an important role in progression through meiosis and precedes synapsis."" [GOC:vw, PMID:10690419]"	10	100	2	15719	0.02	0.2	query_1	['GO:0034397', 'GO:0070192', 'GO:0090220']	['MLH1', 'ATM']
356	GO:BP	GO:0090151	establishment of protein localization to mitochondrial membrane	0.0105826108442987	True	"""The directed movement of a protein to a specific location in the mitochondrial membrane."" [GOC:ascb_2009, GOC:dph, GOC:tb]"	38	100	3	15719	0.03	0.0789473684210526	query_1	['GO:0007006', 'GO:0051649', 'GO:0072655', 'GO:0090150']	['MTX2', 'MTX1', 'SAMM50']
