Hoyeraal-Hreidarsson syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
845	GO:BP	GO:0045860	positive regulation of protein kinase activity	0.0334074888058972	True	"""Any process that activates or increases the frequency, rate or extent of protein kinase activity."" [GOC:go_curators]"	353	104	7	15719	0.0673076923076923	0.0198300283286118	query_1	['GO:0001934', 'GO:0033674', 'GO:0045859']	['AKT1', 'XRCC6', 'DVL2', 'DAXX', 'AXIN1', 'XRCC5', 'AXIN2']
846	GO:BP	GO:0051568	histone H3-K4 methylation	0.0338908126035737	True	"""The modification of histone H3 by addition of one or more methyl groups to lysine at position 4 of the histone."" [GOC:ai, GOC:pr]"	65	104	3	15719	0.0288461538461538	0.0461538461538461	query_1	['GO:0034968']	['PAXIP1', 'CTNNB1', 'BRCA1']
847	GO:BP	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.0338908126035737	True	"""A major pathway of degradation of nuclear-transcribed mRNAs that proceeds through a series of ordered steps that includes poly(A) tail shortening and that can regulate mRNA stability."" [GOC:jp, GOC:krc]"	65	104	3	15719	0.0288461538461538	0.0461538461538461	query_1	['GO:0000956', 'GO:0061157']	['MLH1', 'DCP2', 'PARN']
848	GO:BP	GO:0060571	morphogenesis of an epithelial fold	0.0339340099979707	True	"""The morphogenetic process in which an epithelial sheet bends along a linear axis."" [GOC:dph]"	22	104	2	15719	0.0192307692307692	0.0909090909090909	query_1	['GO:0002009']	['CTNNB1', 'AR']
849	GO:BP	GO:0003323	type B pancreatic cell development	0.0339340099979707	True	"""The process whose specific outcome is the progression of a type B pancreatic cell over time, from its formation to the mature structure. A type B pancreatic cell is a cell located towards center of the islets of Langerhans that secretes insulin."" [CL:0000169, GOC:dph]"	22	104	2	15719	0.0192307692307692	0.0909090909090909	query_1	['GO:0002068', 'GO:0003309']	['GSK3B', 'AKT1']
851	GO:BP	GO:0001832	blastocyst growth	0.0339340099979707	True	"""An increase in size of a blastocyst due to expansion of the blastocoelic cavity cell shape changes and cell proliferation."" [GOC:dph, ISBN:0124020607, ISBN:0198542771]"	22	104	2	15719	0.0192307692307692	0.0909090909090909	query_1	['GO:0001824', 'GO:0048589']	['NBN', 'BRCA2']
850	GO:BP	GO:0002320	lymphoid progenitor cell differentiation	0.0339340099979707	True	"""The process in which a precursor cell type acquires the specialized features of a lymphoid progenitor cell. Lymphoid progenitor cells include progenitor cells for any of the lymphoid lineages."" [GOC:add, PMID:16551251, PMID:16551264]"	22	104	2	15719	0.0192307692307692	0.0909090909090909	query_1	['GO:0002244']	['LIG4', 'PRKDC']
202	REAC	REAC:R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	0.0344805026812612	True	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	18	100	2	10022	0.02	0.1111111111111111	query_1	['REAC:R-HSA-6791312']	['PCNA', 'TP53']
111	GO:CC	GO:0097135	cyclin E2-CDK2 complex	0.0346174409186163	True	"""A protein complex consisting of cyclin E2 and cyclin-dependent kinase 2 (CDK2). Cyclins are characterized by periodicity in protein abundance throughout the cell cycle. Cyclin-dependent kinases represent a family of serine/threonine protein kinases that become active upon binding to a cyclin regulatory partner."" [GOC:so, PMID:15935619]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0000307']	['CDK2']
115	GO:CC	GO:0034750	Scrib-APC-beta-catenin complex	0.0346174409186163	True	"""A protein complex that contains the Scribble protein (a cell polarity determinant), the tumor suppressor protein adenomatous polyposis coli (APC), and beta-catenin; may be involved in the control of cell proliferation."" [PMID:16611247]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0005737', 'GO:0032991']	['CTNNB1']
114	GO:CC	GO:0005713	recombination nodule	0.0346174409186163	True	"""An electron dense structure that is associated with meiotic chromosomes."" [GOC:elh]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0000794', 'GO:0110165']	['MLH1']
113	GO:CC	GO:0070557	PCNA-p21 complex	0.0346174409186163	True	"""A protein complex that contains the cyclin-dependent protein kinase inhibitor p21WAF1/CIP1 bound to PCNA; formation of the complex inhibits DNA replication."" [GOC:mah, PMID:7911228, PMID:7915843]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0140513']	['PCNA']
112	GO:CC	GO:0097123	cyclin A1-CDK2 complex	0.0346174409186163	True	"""A protein complex consisting of cyclin A1 and cyclin-dependent kinase 2 (CDK2). Cyclins are characterized by periodicity in protein abundance throughout the cell cycle. Cyclin-dependent kinases represent a family of serine/threonine protein kinases that become active upon binding to a cyclin regulatory partner."" [GOC:so, PMID:15935619]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0000307']	['CDK2']
104	GO:CC	GO:0005712	chiasma	0.0346174409186163	True	"""A connection formed between chromatids, visible during meiosis, thought to be the point of the interchange involved in crossing-over."" [ISBN:0198506732]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0000794', 'GO:0110165']	['MLH1']
105	GO:CC	GO:1990711	beta-catenin-ICAT complex	0.0346174409186163	True	"""Transcription factor complex that inhibits binding of Tcf to beta-catenin while preserving interaction of catenin with cadherin thus inhibiting transcription mediated by beta-catenin-Tcf complex."" [GOC:bhm, PMID:12408824]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0090571']	['CTNNB1']
106	GO:CC	GO:0016234	inclusion body	0.0346174409186163	True	"""A discrete intracellular part formed of aggregated molecules such as proteins or other biopolymers."" [GOC:mah, PMID:11121744]"	74	104	3	16420	0.0288461538461538	0.0405405405405405	query_1	['GO:0005622']	['NBN', 'DVL2', 'POLD1']
107	GO:CC	GO:0000806	Y chromosome	0.0346174409186163	True	"""The sex chromosome present in males of species in which the male is the heterogametic sex; generally, the sex chromosome that pairs with the X chromosome in the heterogametic sex. The Y chromosome is absent from the cells of females and present in one copy in the somatic cells of males."" [GOC:mah, GOC:mr, ISBN:0582227089, PMID:20622855, Wikipedia:XY_sex-determination_system]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0000803']	['CDK2']
108	GO:CC	GO:0099115	chromosome, subtelomeric region	0.0346174409186163	True	"""A region of the chromosome, adjacent to the telomere (on the centromeric side) that contains repetitive DNA and sometimes genes. This region is usually heterochromatin."" [GOC:mah, PMID:18761674, PMID:22771823, PMID:26205977, PMID:7660126]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0000781']	['ATRX']
109	GO:CC	GO:0001650	fibrillar center	0.0346174409186163	True	"""A structure found most metazoan nucleoli, but not usually found in lower eukaryotes; surrounded by the dense fibrillar component; the zone of transcription from multiple copies of the pre-rRNA genes is in the border region between these two structures."" [PMID:10754561]"	139	104	4	16420	0.0384615384615384	0.0287769784172661	query_1	['GO:0005730', 'GO:0110165']	['TERF1', 'GAR1', 'DKC1', 'NHEJ1']
110	GO:CC	GO:0010370	perinucleolar chromocenter	0.0346174409186163	True	"""A chromocenter adjacent to the nucleolus."" [PMID:15805479]"	2	104	1	16420	0.0096153846153846	0.5	query_1	['GO:0010369']	['TINF2']
852	GO:BP	GO:0006305	DNA alkylation	0.0350882894448133	True	"""The addition of alkyl groups to many positions on all four bases of DNA. Alkylating agents can also modify the bases of incoming nucleotides in the course of DNA synthesis."" [ISBN:0716735970]"	66	104	3	15719	0.0288461538461538	0.0454545454545454	query_1	['GO:0006304']	['ATRX', 'PARP1', 'BRCA1']
853	GO:BP	GO:0006306	DNA methylation	0.0350882894448133	True	"""The covalent transfer of a methyl group to either N-6 of adenine or C-5 or N-4 of cytosine."" [GOC:ems, ISBN:0198506732]"	66	104	3	15719	0.0288461538461538	0.0454545454545454	query_1	['GO:0006305', 'GO:0043414']	['ATRX', 'PARP1', 'BRCA1']
854	GO:BP	GO:0006325	chromatin organization	0.0353570223508677	True	"""The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."" [PMID:20404130]"	638	104	10	15719	0.0961538461538461	0.0156739811912225	query_1	['GO:0016043']	['ATRX', 'APLF', 'H2AX', 'CHD1L', 'DAXX', 'AXIN1', 'BRCA1', 'CDK2', 'TP53', 'RNF8']
855	GO:BP	GO:0050678	regulation of epithelial cell proliferation	0.0355064095059288	True	"""Any process that modulates the frequency, rate or extent of epithelial cell proliferation."" [GOC:ai]"	358	104	7	15719	0.0673076923076923	0.0195530726256983	query_1	['GO:0042127', 'GO:0050673']	['AKT1', 'WDR48', 'CTNNB1', 'TINF2', 'BRCA2', 'AR', 'PRKDC']
856	GO:BP	GO:0018193	peptidyl-amino acid modification	0.0356700368905368	True	"""The alteration of an amino acid residue in a peptide."" [GOC:mah]"	1167	104	15	15719	0.1442307692307692	0.0128534704370179	query_1	['GO:0036211']	['GSK3B', 'AKT1', 'MDM2', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'BRCA2', 'DVL2', 'AXIN1', 'ATM', 'BRCA1', 'CDK2', 'PRKDC', 'TNKS', 'TP53']
857	GO:BP	GO:1901653	cellular response to peptide	0.0359363607409598	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]"	359	104	7	15719	0.0673076923076923	0.0194986072423398	query_1	['GO:0071417', 'GO:1901652', 'GO:1901701']	['GSK3B', 'AKT1', 'MDM2', 'PARP1', 'APEX1', 'PRKDC', 'TP53']
858	GO:BP	GO:1902893	regulation of miRNA transcription	0.0362198882173017	True	"""Any process that modulates the frequency, rate or extent of microRNA (miRNA) gene transcription."" [GO_REF:0000058, GOC:dph, GOC:kmv, GOC:TermGenie, PMID:24699545]"	67	104	3	15719	0.0288461538461538	0.044776119402985	query_1	['GO:0006355', 'GO:0061614', 'GO:2000628']	['AR', 'TERT', 'TP53']
860	GO:BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	0.0362198882173017	True	"""The series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with withdrawal of a ligand from a cell surface receptor, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis, PMID:15044679, PMID:20816705]"	67	104	3	15719	0.0288461538461538	0.044776119402985	query_1	['GO:0038034', 'GO:0097191']	['GSK3B', 'AKT1', 'TERT']
859	GO:BP	GO:0060548	negative regulation of cell death	0.0362198882173017	True	"""Any process that decreases the rate or frequency of cell death. Cell death is the specific activation or halting of processes within a cell so that its vital functions markedly cease, rather than simply deteriorating gradually over time, which culminates in cell death."" [GOC:BHF, GOC:dph, GOC:tb]"	951	104	13	15719	0.125	0.0136698212407991	query_1	['GO:0008219', 'GO:0010941', 'GO:0048523']	['GSK3B', 'AKT1', 'MDM2', 'MSH2', 'LIG4', 'CTNNB1', 'AR', 'TERT', 'MRE11', 'BRCA1', 'PRKDC', 'BARD1', 'TP53']
861	GO:BP	GO:0038034	signal transduction in absence of ligand	0.0362198882173017	True	"""The series of molecular signals initiated by the absence of a ligand or the withdrawal of a ligand from a receptor."" [GOC:al, GOC:ppm, GOC:pr, PMID:15044679]"	67	104	3	15719	0.0288461538461538	0.044776119402985	query_1	['GO:0007165']	['GSK3B', 'AKT1', 'TERT']
864	GO:BP	GO:0090103	cochlea morphogenesis	0.0365319848883714	True	"""The process in which the cochlea is generated and organized."" [GOC:dph, GOC:tb]"	23	104	2	15719	0.0192307692307692	0.0869565217391304	query_1	['GO:0042472', 'GO:0048598', 'GO:0090102']	['DVL2', 'DVL1']
863	GO:BP	GO:2000027	regulation of animal organ morphogenesis	0.0365319848883714	True	"""Any process that modulates the frequency, rate or extent of animal organ morphogenesis."" [GOC:obol]"	127	104	4	15719	0.0384615384615384	0.0314960629921259	query_1	['GO:0009887', 'GO:0022603']	['CTNNB1', 'AR', 'DVL2', 'DVL1']
862	GO:BP	GO:1903313	positive regulation of mRNA metabolic process	0.0365319848883714	True	"""Any process that activates or increases the frequency, rate or extent of mRNA metabolic process."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	127	104	4	15719	0.0384615384615384	0.0314960629921259	query_1	['GO:0016071', 'GO:0051254', 'GO:1903311']	['MLH1', 'DCP2', 'PARN', 'KHSRP']
867	GO:BP	GO:0061614	miRNA transcription	0.0374515939883048	True	"""The cellular synthesis of microRNA (miRNA) transcripts. MicroRNA genes are synthesized as primary (pri) miRNA transcripts and subsequently processed to produce the ~22nt miRNAs that function in gene regulation."" [GOC:dph, GOC:kmv, PMID:18778799]"	68	104	3	15719	0.0288461538461538	0.0441176470588235	query_1	['GO:0006351', 'GO:0010586']	['AR', 'TERT', 'TP53']
866	GO:BP	GO:0048645	animal organ formation	0.0374515939883048	True	"""The process pertaining to the initial formation of an animal organ from unspecified parts. The process begins with the specific processes that contribute to the appearance of the discrete structure, such as inductive events, and ends when the structural rudiment of the organ is recognizable, such as a condensation of mesenchymal cells into the organ rudiment. Organs are a natural part or structure in an animal or a plant, capable of performing some special action (termed its function), which is essential to the life or well-being of the whole. The heart and lungs are organs of animals, and the petal and leaf are organs of plants. In animals the organs are generally made up of several tissues, one of which usually predominates, and determines the principal function of the organ."" [GOC:dph, GOC:jid]"	68	104	3	15719	0.0288461538461538	0.0441176470588235	query_1	['GO:0009887', 'GO:0048646']	['CTNNB1', 'AR', 'AXIN2']
865	GO:BP	GO:1903201	regulation of oxidative stress-induced cell death	0.0374515939883048	True	"""Any process that modulates the frequency, rate or extent of oxidative stress-induced cell death."" [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie]"	68	104	3	15719	0.0288461538461538	0.0441176470588235	query_1	['GO:0010941', 'GO:0036473', 'GO:1900407']	['AKT1', 'CTNNB1', 'PARP1']
868	GO:BP	GO:0090090	negative regulation of canonical Wnt signaling pathway	0.0383532790707918	True	"""Any process that decreases the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes."" [GOC:dph, GOC:tb]"	129	104	4	15719	0.0384615384615384	0.0310077519379844	query_1	['GO:0030178', 'GO:0060070', 'GO:0060828']	['GSK3B', 'CTNNB1', 'AXIN1', 'AXIN2']
871	GO:BP	GO:0030539	male genitalia development	0.039231082747821	True	"""The process whose specific outcome is the progression of the male genitalia over time, from its formation to the mature structure."" [GOC:ems, ISBN:0140512888]"	24	104	2	15719	0.0192307692307692	0.0833333333333333	query_1	['GO:0046661', 'GO:0048806', 'GO:0061458']	['CTNNB1', 'AR']
872	GO:BP	GO:0002244	hematopoietic progenitor cell differentiation	0.039231082747821	True	"""The process in which precursor cell type acquires the specialized features of a hematopoietic progenitor cell, a class of cell types including myeloid progenitor cells and lymphoid progenitor cells."" [GOC:add, GOC:rl, ISBN:0781735149, PMID:16551251]"	130	104	4	15719	0.0384615384615384	0.0307692307692307	query_1	['GO:0030097', 'GO:0030154']	['LIG4', 'XRCC5', 'PRKDC', 'TP53']
870	GO:BP	GO:2000773	negative regulation of cellular senescence	0.039231082747821	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of cellular senescence."" [GOC:BHF]"	24	104	2	15719	0.0192307692307692	0.0833333333333333	query_1	['GO:0031324', 'GO:0090398', 'GO:2000772']	['TERF2', 'TERT']
869	GO:BP	GO:0006355	regulation of DNA-templated transcription	0.039231082747821	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3143	104	31	15719	0.2980769230769231	0.0098631880369074	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['RBBP8', 'AKT1', 'MDM2', 'TP53BP1', 'ATRX', 'XRCC6', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'BRCA2', 'PCNA', 'AR', 'TERT', 'DVL2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'FANCD2', 'BLM', 'ATM', 'USP7', 'DVL1', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'KHSRP', 'TNKS', 'TP53', 'RNF8']
873	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	0.0394396289978969	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3145	104	31	15719	0.2980769230769231	0.0098569157392686	query_1	['GO:0097659', 'GO:2001141']	['RBBP8', 'AKT1', 'MDM2', 'TP53BP1', 'ATRX', 'XRCC6', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'BRCA2', 'PCNA', 'AR', 'TERT', 'DVL2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'FANCD2', 'BLM', 'ATM', 'USP7', 'DVL1', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'KHSRP', 'TNKS', 'TP53', 'RNF8']
875	GO:BP	GO:0007623	circadian rhythm	0.0395137869968243	True	"""Any biological process in an organism that recurs with a regularity of approximately 24 hours."" [GOC:bf, GOC:go_curators]"	202	104	5	15719	0.048076923076923	0.0247524752475247	query_1	['GO:0048511']	['GSK3B', 'PARP1', 'USP7', 'PRKDC', 'TP53']
874	GO:BP	GO:0022618	ribonucleoprotein complex assembly	0.0395137869968243	True	"""The aggregation, arrangement and bonding together of proteins and RNA molecules to form a ribonucleoprotein complex."" [GOC:jl]"	202	104	5	15719	0.048076923076923	0.0247524752475247	query_1	['GO:0022613', 'GO:0065003', 'GO:0071826']	['SHQ1', 'XRCC5', 'ATM', 'NAF1', 'PRKDC']
879	GO:BP	GO:0002702	positive regulation of production of molecular mediator of immune response	0.0399685001325769	True	"""Any process that activates or increases the frequency, rate, or extent of the production of molecular mediator of immune response."" [GOC:add]"	131	104	4	15719	0.0384615384615384	0.0305343511450381	query_1	['GO:0002440', 'GO:0002699', 'GO:0002700', 'GO:0010628']	['MSH2', 'TP53BP1', 'PAXIP1', 'MLH1']
878	GO:BP	GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	0.0399685001325769	True	"""Any process that modulates the frequency, rate or extent of the activity of any intracellular steroid hormone receptor signaling pathway."" [GOC:mah]"	70	104	3	15719	0.0288461538461538	0.0428571428571428	query_1	['GO:0009966', 'GO:0030518']	['AR', 'PARP1', 'BRCA1']
877	GO:BP	GO:0007154	cell communication	0.0399685001325769	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	5768	104	50	15719	0.4807692307692308	0.0086685159500693	query_1	['GO:0009987']	['USP34', 'RBBP8', 'HUS1', 'GSK3B', 'AKT1', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'RNF146', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'MLH1', 'H2AX', 'RPA2', 'MDC1', 'PIP5K1B', 'BRCA2', 'RAD1', 'AR', 'TERT', 'TNKS2', 'DVL2', 'PARP1', 'DAXX', 'AXIN1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'USP7', 'DVL1', 'HUS1B', 'USP46', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'BARD1', 'POLB', 'WRN', 'TNKS', 'TP53', 'MSH6']
876	GO:BP	GO:0061180	mammary gland epithelium development	0.0399685001325769	True	"""The process whose specific outcome is the progression of the mammary gland epithelium over time, from its formation to the mature structure. The mammary gland is a large compound sebaceous gland that in female mammals is modified to secrete milk."" [GOC:dph, GOC:yaf]"	70	104	3	15719	0.0288461538461538	0.0428571428571428	query_1	['GO:0030879', 'GO:0060429']	['AKT1', 'BRCA2', 'AR']
880	GO:BP	GO:0048585	negative regulation of response to stimulus	0.0404685683335519	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	1532	104	18	15719	0.173076923076923	0.0117493472584856	query_1	['GO:0048519', 'GO:0048583', 'GO:0050896']	['GSK3B', 'AKT1', 'MDM2', 'TP53BP1', 'TERF2', 'CTNNB1', 'AR', 'TERT', 'PARP1', 'AXIN1', 'ATM', 'DVL1', 'AXIN2', 'BRCA1', 'XRCC1', 'RTEL1', 'RMI2', 'TP53']
881	GO:BP	GO:0002067	glandular epithelial cell differentiation	0.0413885597922169	True	"""The process in which a relatively unspecialized cell acquires specialized features of a glandular epithelial cell. A glandular epithelial cell is a columnar/cuboidal epithelial cell found in a two dimensional sheet with a free surface exposed to the lumen of a gland."" [GOC:dph]"	71	104	3	15719	0.0288461538461538	0.0422535211267605	query_1	['GO:0002065']	['GSK3B', 'AKT1', 'CTNNB1']
883	GO:BP	GO:0007405	neuroblast proliferation	0.0413885597922169	True	"""The expansion of a neuroblast population by cell division. A neuroblast is any cell that will divide and give rise to a neuron."" [GOC:ai, GOC:mtg_sensu, GOC:sart]"	71	104	3	15719	0.0288461538461538	0.0422535211267605	query_1	['GO:0048699', 'GO:0061351']	['NBN', 'CTNNB1', 'TP53']
882	GO:BP	GO:1902531	regulation of intracellular signal transduction	0.0413885597922169	True	"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]"	1654	104	19	15719	0.1826923076923076	0.0114873035066505	query_1	['GO:0009966', 'GO:0035556']	['GSK3B', 'AKT1', 'MDM2', 'TERF2IP', 'CTNNB1', 'RPA2', 'PIP5K1B', 'BRCA2', 'AR', 'DVL2', 'PARP1', 'AXIN1', 'ATM', 'RAD9A', 'RAD51', 'USP7', 'BRCA1', 'BARD1', 'TP53']
884	GO:BP	GO:1901654	response to ketone	0.0414899081695402	True	"""A response that results in a state of tolerance to ketone."" [GOC:mengo_curators, PMID:23356676]"	205	104	5	15719	0.048076923076923	0.024390243902439	query_1	['GO:0010033', 'GO:1901700']	['AKT1', 'PCNA', 'AR', 'PARP1', 'AXIN2']
887	GO:BP	GO:2000679	positive regulation of transcription regulatory region DNA binding	0.041695838853233	True	"""Any process that activates or increases the frequency, rate or extent of transcription regulatory region DNA binding."" [GOC:obol]"	25	104	2	15719	0.0192307692307692	0.08	query_1	['GO:0043388', 'GO:2000677']	['CTNNB1', 'PARP1']
886	GO:BP	GO:0043401	steroid hormone mediated signaling pathway	0.041695838853233	True	"""The series of molecular signals mediated by a steroid hormone binding to a receptor."" [PMID:12606724]"	133	104	4	15719	0.0384615384615384	0.0300751879699248	query_1	['GO:0009755', 'GO:0071383']	['AR', 'PARP1', 'DAXX', 'BRCA1']
885	GO:BP	GO:0001759	organ induction	0.041695838853233	True	"""The interaction of two or more cells or tissues that causes them to change their fates and specify the development of an organ."" [ISBN:0878932437]"	25	104	2	15719	0.0192307692307692	0.08	query_1	['GO:0003156', 'GO:0010092', 'GO:0031128', 'GO:0110110']	['CTNNB1', 'AR']
888	GO:BP	GO:0003181	atrioventricular valve morphogenesis	0.041695838853233	True	"""The process in which the structure of the atrioventricular valve is generated and organized."" [GOC:mtg_heart]"	25	104	2	15719	0.0192307692307692	0.08	query_1	['GO:0003171', 'GO:0003179']	['MDM2', 'AXIN2']
889	GO:BP	GO:0072359	circulatory system development	0.0419716007806098	True	"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]"	1083	104	14	15719	0.1346153846153846	0.012927054478301	query_1	['GO:0048731']	['GSK3B', 'AKT1', 'MDM2', 'PAXIP1', 'CTNNB1', 'PCNA', 'TERT', 'DVL2', 'ATM', 'DVL1', 'AXIN2', 'BRCA1', 'PRKDC', 'TP53']
203	REAC	REAC:R-HSA-6803204	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	0.0420620808454542	True	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	20	100	2	10022	0.02	0.1	query_1	['REAC:R-HSA-5633008']	['ATM', 'TP53']
890	GO:BP	GO:2001141	regulation of RNA biosynthetic process	0.0425062053805441	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3166	104	31	15719	0.2980769230769231	0.0097915350600126	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['RBBP8', 'AKT1', 'MDM2', 'TP53BP1', 'ATRX', 'XRCC6', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'BRCA2', 'PCNA', 'AR', 'TERT', 'DVL2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'FANCD2', 'BLM', 'ATM', 'USP7', 'DVL1', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'KHSRP', 'TNKS', 'TP53', 'RNF8']
891	GO:BP	GO:0032774	RNA biosynthetic process	0.0427182291377378	True	"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]"	3299	104	32	15719	0.3076923076923077	0.0096999090633525	query_1	['GO:0009059', 'GO:0016070', 'GO:0034654']	['RBBP8', 'AKT1', 'MDM2', 'TP53BP1', 'ATRX', 'XRCC6', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'BRCA2', 'PCNA', 'AR', 'TERT', 'DVL2', 'PARP1', 'DAXX', 'AXIN1', 'XRCC5', 'FANCD2', 'BLM', 'ATM', 'USP7', 'DVL1', 'APEX1', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'KHSRP', 'TNKS', 'TP53', 'RNF8']
892	GO:BP	GO:0071383	cellular response to steroid hormone stimulus	0.04274252226266	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a steroid hormone stimulus."" [GOC:mah]"	207	104	5	15719	0.048076923076923	0.0241545893719806	query_1	['GO:0032870', 'GO:0048545', 'GO:0071396', 'GO:0071407']	['AR', 'PARP1', 'DAXX', 'AXIN2', 'BRCA1']
905	GO:BP	GO:1905219	regulation of platelet formation	0.0433708491045641	True	"""Any process that modulates the frequency, rate or extent of platelet formation."" [GO_REF:0000058, GOC:TermGenie, PMID:10606160]"	2	104	1	15719	0.0096153846153846	0.5	query_1	['GO:0010769', 'GO:0030220', 'GO:0045637']	['PRKDC']
947	GO:BP	GO:0045976	negative regulation of mitotic cell cycle, embryonic	0.0433708491045641	True	"""Any process that stops, prevents or reduces the rate or extent of progression through the embryonic mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	2	104	1	15719	0.0096153846153846	0.5	query_1	['GO:0009794', 'GO:0045448', 'GO:0045930']	['CTNNB1']
931	GO:BP	GO:0006045	N-acetylglucosamine biosynthetic process	0.0433708491045641	True	"""The chemical reactions and pathways resulting in the formation of N-acetylglucosamine. The D isomer is a common structural unit of glycoproteins in plants, bacteria and animals; it is often the terminal sugar of an oligosaccharide group of a glycoprotein."" [ISBN:0198506732]"	2	104	1	15719	0.0096153846153846	0.5	query_1	['GO:0006044', 'GO:1901073']	['GNE']
932	GO:BP	GO:0051311	meiotic metaphase plate congression	0.0433708491045641	True	"""The cell cycle process in which chromosomes are aligned at the metaphase plate, a plane halfway between the poles of the meiotic spindle, during meiosis."" [GOC:ai]"	2	104	1	15719	0.0096153846153846	0.5	query_1	['GO:0045132', 'GO:0051310', 'GO:1903046']	['MLH1']
