Neuroectodermal melanolysosomal disease	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
793	GO:BP	GO:0022411	cellular component disassembly	0.0138548069146879	True	"""A cellular process that results in the breakdown of a cellular component."" [GOC:isa_complete]"	474	100	9	15719	0.09	0.0189873417721519	query_1	['GO:0016043']	['MYC', 'CDK5', 'SMARCA4', 'KIF5B', 'CDK1', 'CDKN2A', 'KAT5', 'TP53', 'KLC1']
794	GO:BP	GO:0015031	protein transport	0.0139501728344305	True	"""The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	1527	100	19	15719	0.19	0.0124426981008513	query_1	['GO:0045184', 'GO:0071702', 'GO:0071705']	['MYRIP', 'OAZ1', 'AKT1', 'OAZ3', 'CDK5', 'OAZ2', 'STAT3', 'KIF5A', 'SYTL3', 'KIF5B', 'CDK5R1', 'CDKN1A', 'SMAD2', 'MYO5A', 'CDK1', 'CDKN2A', 'FOXO1', 'TP53', 'SMAD3']
795	GO:BP	GO:0072001	renal system development	0.0140407894185284	True	"""The process whose specific outcome is the progression of the renal system over time, from its formation to the mature structure. The renal system maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products. In humans, the renal system comprises a pair of kidneys, a pair of ureters, urinary bladder, urethra, sphincter muscle and associated blood vessels."" [GOC:mtg_kidney_jan10, GOC:yaf, http://en.wikibooks.org/wiki/Human_Physiology/The_Urinary_System]"	304	100	7	15719	0.07	0.0230263157894736	query_1	['GO:0048731']	['SMAD1', 'MYC', 'ODC1', 'CTNNB1', 'SMAD2', 'SMAD4', 'SMAD3']
797	GO:BP	GO:0016241	regulation of macroautophagy	0.0140494924027602	True	"""Any process that modulates the frequency, rate or extent of macroautophagy."" [GOC:krc]"	157	100	5	15719	0.05	0.0318471337579617	query_1	['GO:0010506', 'GO:0016236']	['AKT1', 'CDK5', 'EHMT2', 'CDK5R1', 'TP53']
796	GO:BP	GO:1903321	negative regulation of protein modification by small protein conjugation or removal	0.0140494924027602	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of protein modification by small protein conjugation or removal."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	96	100	4	15719	0.04	0.0416666666666666	query_1	['GO:0031400', 'GO:0070647', 'GO:1903320']	['AKT1', 'CDK5', 'CTNNB1', 'CDKN2A']
798	GO:BP	GO:0001837	epithelial to mesenchymal transition	0.0140494924027602	True	"""A transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell."" [GOC:dph, PMID:14701881]"	157	100	5	15719	0.05	0.0318471337579617	query_1	['GO:0048762']	['CTNNB1', 'SMAD2', 'SMAD4', 'SMAD3', 'HDAC2']
800	GO:BP	GO:0014075	response to amine	0.0141403039405253	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an amine stimulus. An amine is a compound formally derived from ammonia by replacing one, two or three hydrogen atoms by hydrocarbyl groups."" [GOC:ef]"	47	100	3	15719	0.03	0.0638297872340425	query_1	['GO:0010243']	['CDK1', 'NQO1', 'HDAC2']
799	GO:BP	GO:0030850	prostate gland development	0.0141403039405253	True	"""The process whose specific outcome is the progression of the prostate gland over time, from its formation to the mature structure. The prostate gland is a partly muscular, partly glandular body that is situated near the base of the mammalian male urethra and secretes an alkaline viscid fluid which is a major constituent of the ejaculatory fluid."" [PMID:11839751]"	47	100	3	15719	0.03	0.0638297872340425	query_1	['GO:0001655', 'GO:0048608', 'GO:0048732']	['CTNNB1', 'ESR1', 'CDKN1B']
801	GO:BP	GO:0007166	cell surface receptor signaling pathway	0.0142324990482842	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	100	28	15719	0.28	0.0106141015921152	query_1	['GO:0007165']	['SMAD1', 'CDKN2B', 'AKT1', 'CREBBP', 'CDK5', 'STAT3', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'CCNE1', 'RBX1', 'SIN3A', 'CDK5R1', 'SMAD2', 'SMAD4', 'EP300', 'RUVBL1', 'FOXO1', 'CCND3', 'CDK4', 'CDKN1B', 'TP53', 'SMAD3', 'HDAC2', 'CDK6', 'CCND1']
260	REAC	REAC:R-HSA-9031628	NGF-stimulated transcription	0.0142565308891001	True	NGF-stimulated transcription	37	98	3	10022	0.0306122448979591	0.081081081081081	query_1	['REAC:R-HSA-198725']	['CDK5', 'CDK5R1', 'EP300']
261	REAC	REAC:R-HSA-9009391	Extra-nuclear estrogen signaling	0.0142809900145164	True	Extra-nuclear estrogen signaling	73	98	4	10022	0.0408163265306122	0.0547945205479452	query_1	['REAC:R-HSA-8939211']	['AKT1', 'ESR1', 'CDKN1B', 'CCND1']
262	REAC	REAC:R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	0.0142809900145164	True	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	73	98	4	10022	0.0408163265306122	0.0547945205479452	query_1	['REAC:R-HSA-179419']	['CCNA1', 'PSMC5', 'CCNA2', 'CDK1']
802	GO:BP	GO:0048585	negative regulation of response to stimulus	0.0143221500421146	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	1532	100	19	15719	0.19	0.0124020887728459	query_1	['GO:0048519', 'GO:0048583', 'GO:0050896']	['BMI1', 'AKT1', 'MYC', 'CTNNB1', 'RB1', 'HDAC1', 'RBBP4', 'SMARCA4', 'RBX1', 'SIN3A', 'CDKN2D', 'SMAD4', 'PCGF2', 'ESR1', 'FOXO1', 'TP53', 'SMAD3', 'HDAC2', 'KDM1A']
803	GO:BP	GO:0062014	negative regulation of small molecule metabolic process	0.014480270034294	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of a small molecule metabolic process."" [GOC:vw]"	97	100	4	15719	0.04	0.0412371134020618	query_1	['GO:0009892', 'GO:0044281', 'GO:0062012']	['AKT1', 'STAT3', 'EP300', 'TP53']
812	GO:BP	GO:0099118	microtubule-based protein transport	0.0145782551972636	True	"""A microtubule-based process that results in the transport of proteins."" [GOC:vw]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0007017', 'GO:0015031', 'GO:0099111']	['KIF5A', 'KIF5B']
807	GO:BP	GO:0098840	protein transport along microtubule	0.0145782551972636	True	"""The directed movement of a protein along a microtubule, mediated by motor proteins."" [PMID:25987607]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0006886', 'GO:0010970', 'GO:0099118']	['KIF5A', 'KIF5B']
814	GO:BP	GO:1900369	negative regulation of post-transcriptional gene silencing by RNA	0.0145782551972636	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of post-transcriptional gene silencing by RNA."" [GOC:kmv, GOC:TermGenie, PMID:22412382]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0035194', 'GO:0060149', 'GO:0060967', 'GO:1900368']	['STAT3', 'TP53']
813	GO:BP	GO:0061029	eyelid development in camera-type eye	0.0145782551972636	True	"""The progression of the eyelid in a camera-type eye from its formation to the mature state. The eyelid is a membranous cover that helps protect and lubricate the eye."" [GOC:dph, GOC:yaf]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0043010', 'GO:0048856']	['HDAC1', 'HDAC2']
811	GO:BP	GO:0048148	behavioral response to cocaine	0.0145782551972636	True	"""Any process that results in a change in the behavior of an organism as a result of a cocaine stimulus."" [GOC:jid]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0030534', 'GO:0042220']	['CDK5', 'EHMT2']
804	GO:BP	GO:0060967	negative regulation of gene silencing by RNA	0.0145782551972636	True	"""Any process that decreases the rate, frequency, or extent of gene silencing by RNA. Gene silencing by RNA is the process in which RNA molecules inactivate expression of target genes."" [GOC:dph, GOC:tb]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0010628', 'GO:0031047', 'GO:0048519', 'GO:0060966']	['STAT3', 'TP53']
810	GO:BP	GO:0060149	negative regulation of post-transcriptional gene silencing	0.0145782551972636	True	"""Any process that decreases the frequency, rate or extent of the inactivation of gene expression by a posttranscriptional mechanism."" [GOC:dph]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0010628', 'GO:0016441', 'GO:0048519', 'GO:0060147']	['STAT3', 'TP53']
809	GO:BP	GO:0072075	metanephric mesenchyme development	0.0145782551972636	True	"""The biological process whose specific outcome is the progression of a metanephric mesenchyme from an initial condition to its mature state. This process begins with the formation of metanephric mesenchyme and ends with the mature structure. Metanephric mesenchyme is the tissue made up of loosely connected mesenchymal cells in the metanephros."" [GOC:mtg_kidney_jan10]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0001656', 'GO:0072074']	['MYC', 'SMAD4']
808	GO:BP	GO:1904668	positive regulation of ubiquitin protein ligase activity	0.0145782551972636	True	"""Any process that activates or increases the frequency, rate or extent of ubiquitin protein ligase activity."" [GO_REF:0000059, GOC:dph, GOC:TermGenie, GOC:vw, PMID:10921876, PMID:26216882]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0051443', 'GO:1904666']	['SKP1', 'CDKN1B']
805	GO:BP	GO:0033080	immature T cell proliferation in thymus	0.0145782551972636	True	"""The expansion of an immature T cell population by cell division in the thymus."" [GOC:add, ISBN:0781735149]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0033077', 'GO:0033079']	['BMI1', 'CDKN2A']
806	GO:BP	GO:0033079	immature T cell proliferation	0.0145782551972636	True	"""The expansion of an immature T cell population by cell division."" [GOC:add, ISBN:0781735149]"	14	100	2	15719	0.02	0.1428571428571428	query_1	['GO:0042098']	['BMI1', 'CDKN2A']
816	GO:BP	GO:0021795	cerebral cortex cell migration	0.0147199618382393	True	"""The orderly movement of cells from one site to another in the cerebral cortex."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]"	48	100	3	15719	0.03	0.0625	query_1	['GO:0021987', 'GO:0022029']	['CDK5', 'CTNNB1', 'CDK5R1']
815	GO:BP	GO:0048546	digestive tract morphogenesis	0.0147199618382393	True	"""The process in which the anatomical structures of the digestive tract are generated and organized. The digestive tract is the anatomical structure through which food passes and is processed."" [GOC:dph, GOC:go_curators, PMID:12618131]"	48	100	3	15719	0.03	0.0625	query_1	['GO:0035239', 'GO:0048565']	['CTNNB1', 'SMAD2', 'SMAD3']
817	GO:BP	GO:0045132	meiotic chromosome segregation	0.014766670163826	True	"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets during M phase of the meiotic cell cycle."" [GOC:ai, GOC:mah]"	98	100	4	15719	0.04	0.0408163265306122	query_1	['GO:0098813', 'GO:0140013', 'GO:1903046']	['EHMT2', 'CCNE2', 'CCNE1', 'CCNB2']
818	GO:BP	GO:0044089	positive regulation of cellular component biogenesis	0.0147947055063293	True	"""Any process that activates or increases the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component."" [GOC:jl]"	481	100	9	15719	0.09	0.0187110187110187	query_1	['GO:0044085', 'GO:0044087', 'GO:0048522']	['DNMT1', 'SIN3A', 'PSMC5', 'CDK5R1', 'CDK2', 'ESR1', 'CDKN1B', 'TP53', 'SMAD3']
819	GO:BP	GO:0030111	regulation of Wnt signaling pathway	0.0148725320891626	True	"""Any process that modulates the frequency, rate or extent of the activity of the Wnt signal transduction pathway."" [GOC:dph, GOC:mah, GOC:tb]"	309	100	7	15719	0.07	0.0226537216828478	query_1	['GO:0009966', 'GO:0016055']	['CTNNB1', 'HDAC1', 'SMARCA4', 'RBX1', 'RUVBL1', 'FOXO1', 'SMAD3']
820	GO:BP	GO:1901214	regulation of neuron death	0.0148725320891626	True	"""Any process that modulates the frequency, rate or extent of neuron death."" [GOC:rph, GOC:TermGenie]"	309	100	7	15719	0.07	0.0226537216828478	query_1	['GO:0010941', 'GO:0070997']	['AKT1', 'CDK5', 'CTNNB1', 'CDK5R1', 'NQO1', 'TP53', 'CCND1']
821	GO:BP	GO:1902105	regulation of leukocyte differentiation	0.0148725320891626	True	"""Any process that modulates the frequency, rate or extent of leukocyte differentiation."" [GOC:add, GOC:TermGenie]"	309	100	7	15719	0.07	0.0226537216828478	query_1	['GO:0002521', 'GO:1903706']	['MYC', 'CTNNB1', 'RB1', 'SMARCA4', 'CDKN2A', 'KAT5', 'CDK6']
263	REAC	REAC:R-HSA-1234174	Cellular response to hypoxia	0.0148726089633795	True	Cellular response to hypoxia	74	98	4	10022	0.0408163265306122	0.054054054054054	query_1	['REAC:R-HSA-2262752']	['CREBBP', 'RBX1', 'PSMC5', 'EP300']
264	REAC	REAC:R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	0.0148726089633795	True	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	74	98	4	10022	0.0408163265306122	0.054054054054054	query_1	['REAC:R-HSA-176409']	['CCNA1', 'PSMC5', 'CCNA2', 'CDK1']
265	REAC	REAC:R-HSA-5689896	Ovarian tumor domain proteases	0.0150810813709227	True	Ovarian tumor domain proteases	38	98	3	10022	0.0306122448979591	0.0789473684210526	query_1	['REAC:R-HSA-5688426']	['CDK1', 'ESR1', 'TP53']
102	GO:CC	GO:0035098	ESC/E(Z) complex	0.0152248918598762	True	"""A multimeric protein complex that can methylate lysine-27 and lysine-9 residues of histone H3. In Drosophila the core subunits of the complex include ESC, E(Z), CAF1 (NURF-55) and SU(Z)12. In mammals the core subunits of the complex include EED, EZH2, SUZ12 and RBBP4."" [GOC:bf, GOC:sp, PMID:12408863, PMID:12408864, PMID:20064375]"	16	101	2	16420	0.0198019801980198	0.125	query_1	['GO:0031519', 'GO:0035097']	['RBBP4', 'HDAC2']
103	GO:CC	GO:0000779	condensed chromosome, centromeric region	0.0154864045779939	True	"""The region of a condensed chromosome that includes the centromere and associated proteins, including the kinetochore. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."" [GOC:elh, GOC:kmv]"	174	101	5	16420	0.0495049504950495	0.028735632183908	query_1	['GO:0000775', 'GO:0000793']	['CBX3', 'CCNB1', 'SMARCA4', 'SIN3A', 'KAT5']
104	GO:CC	GO:0005819	spindle	0.0154864045779939	True	"""The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart."" [ISBN:0198547684]"	420	101	8	16420	0.0792079207920792	0.019047619047619	query_1	['GO:0015630', 'GO:0043232']	['AKT1', 'CBX3', 'CCNB1', 'CTNNB1', 'RB1', 'CDK1', 'KAT5', 'TFDP2']
824	GO:BP	GO:2001243	negative regulation of intrinsic apoptotic signaling pathway	0.0157410360590844	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of intrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]"	100	100	4	15719	0.04	0.04	query_1	['GO:0097193', 'GO:1902532', 'GO:2001234', 'GO:2001242']	['AKT1', 'HDAC1', 'CDKN2D', 'KDM1A']
823	GO:BP	GO:0043467	regulation of generation of precursor metabolites and energy	0.0157410360590844	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and the processes involved in the liberation of energy from these substances."" [GOC:jl]"	100	100	4	15719	0.04	0.04	query_1	['GO:0006091', 'GO:0031323']	['AKT1', 'CCNB1', 'CDK1', 'TP53']
822	GO:BP	GO:0019080	viral gene expression	0.0157410360590844	True	"""A process by which a viral gene is converted into a mature gene product or products (proteins or RNA). This includes viral transcription, processing to produce a mature RNA product, and viral translation."" [GOC:bf, GOC:jl, ISBN:0121585336]"	100	100	4	15719	0.04	0.04	query_1	['GO:0016032']	['HDAC1', 'SMARCA4', 'EP300', 'SP1']
826	GO:BP	GO:0031648	protein destabilization	0.0163287453299501	True	"""Any process that decreases the stability of a protein, making it more vulnerable to degradative processes or aggregation."" [GOC:mah]"	50	100	3	15719	0.03	0.06	query_1	['GO:0031647']	['CREBBP', 'EP300', 'CDKN2A']
825	GO:BP	GO:0051972	regulation of telomerase activity	0.0163287453299501	True	"""Any process that modulates the frequency, rate or extent of telomerase activity, the catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1). Telomerases catalyze extension of the 3'- end of a DNA strand by one deoxynucleotide at a time using an internal RNA template that encodes the telomeric repeat sequence."" [EC:2.-.-.-, GOC:ai]"	50	100	3	15719	0.03	0.06	query_1	['GO:0051338', 'GO:2000278']	['MYC', 'CTNNB1', 'TP53']
827	GO:BP	GO:0060537	muscle tissue development	0.0164562618014739	True	"""The progression of muscle tissue over time, from its initial formation to its mature state. Muscle tissue is a contractile tissue made up of actin and myosin fibers."" [GOC:dph]"	400	100	8	15719	0.08	0.02	query_1	['GO:0009888']	['SMAD1', 'CDK5', 'CTNNB1', 'RB1', 'SMAD4', 'EP300', 'CDK1', 'SMAD3']
828	GO:BP	GO:0060766	negative regulation of androgen receptor signaling pathway	0.0164686443332931	True	"""Any process that decreases the rate, frequency, or extent of the androgen receptor signaling pathway."" [GOC:dph]"	15	100	2	15719	0.02	0.1333333333333333	query_1	['GO:0030521', 'GO:0033144', 'GO:0060765']	['HDAC1', 'SMARCA4']
266	REAC	REAC:R-HSA-2132295	MHC class II antigen presentation	0.0165290467682551	True	MHC class II antigen presentation	121	98	5	10022	0.0510204081632653	0.0413223140495867	query_1	['REAC:R-HSA-1280218']	['KIF5A', 'KLC4', 'KIF5B', 'KLC2', 'KLC1']
105	GO:CC	GO:0000775	chromosome, centromeric region	0.0167628742808455	True	"""The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."" [GOC:cjm, GOC:elh, GOC:kmv, GOC:pr]"	254	101	6	16420	0.0594059405940594	0.0236220472440944	query_1	['GO:0098687']	['CBX3', 'CCNB1', 'SMARCA4', 'DNMT1', 'SIN3A', 'KAT5']
830	GO:BP	GO:0010906	regulation of glucose metabolic process	0.016773454698103	True	"""Any process that modulates the rate, frequency or extent of glucose metabolism. Glucose metabolic processes are the chemical reactions and pathways involving glucose, the aldohexose gluco-hexose."" [GOC:BHF, GOC:tb]"	102	100	4	15719	0.04	0.0392156862745098	query_1	['GO:0006006', 'GO:0006109', 'GO:0062012']	['AKT1', 'EP300', 'FOXO1', 'TP53']
829	GO:BP	GO:1902106	negative regulation of leukocyte differentiation	0.016773454698103	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of leukocyte differentiation."" [GOC:add, GOC:TermGenie]"	102	100	4	15719	0.04	0.0392156862745098	query_1	['GO:0002521', 'GO:1902105', 'GO:1903707']	['MYC', 'CTNNB1', 'CDKN2A', 'CDK6']
106	GO:CC	GO:0055029	nuclear DNA-directed RNA polymerase complex	0.0168455353225223	True	"""A protein complex, located in the nucleus, that possesses DNA-directed RNA polymerase activity."" [GOC:mtg_sensu]"	111	101	4	16420	0.0396039603960396	0.036036036036036	query_1	['GO:0000428', 'GO:0140513']	['CDK7', 'TRRAP', 'CCNH', 'MNAT1']
831	GO:BP	GO:0051050	positive regulation of transport	0.016917144509711	True	"""Any process that activates or increases the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	889	100	13	15719	0.13	0.014623172103487	query_1	['GO:0006810', 'GO:0048518', 'GO:0051049']	['MYRIP', 'OAZ1', 'AKT1', 'OAZ3', 'CDK5', 'OAZ2', 'KIF5B', 'CDK5R1', 'AZIN1', 'SMAD4', 'CDK1', 'SMAD3', 'RAB27A']
833	GO:BP	GO:0045599	negative regulation of fat cell differentiation	0.0171250421207866	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of adipocyte differentiation."" [GOC:go_curators]"	51	100	3	15719	0.03	0.0588235294117647	query_1	['GO:0045444', 'GO:0045596', 'GO:0045598']	['E2F1', 'FOXO1', 'SMAD3']
832	GO:BP	GO:0045912	negative regulation of carbohydrate metabolic process	0.0171250421207866	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving carbohydrate."" [GOC:go_curators]"	51	100	3	15719	0.03	0.0588235294117647	query_1	['GO:0005975', 'GO:0006109', 'GO:0009892']	['STAT3', 'EP300', 'TP53']
267	REAC	REAC:R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	0.0171927479047022	True	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	13	98	2	10022	0.0204081632653061	0.1538461538461538	query_1	['REAC:R-HSA-69473']	['CCNB1', 'CDK1']
268	REAC	REAC:R-HSA-4419969	Depolymerisation of the Nuclear Lamina	0.0171927479047022	True	Depolymerisation of the Nuclear Lamina	13	98	2	10022	0.0204081632653061	0.1538461538461538	query_1	['REAC:R-HSA-2980766']	['CCNB1', 'CDK1']
834	GO:BP	GO:0060828	regulation of canonical Wnt signaling pathway	0.0172828074834165	True	"""Any process that modulates the rate, frequency, or extent of the Wnt signaling pathway through beta-catenin, the series of molecular signals initiated by binding of a Wnt protein to a frizzled family receptor on the surface of the target cell, followed by propagation of the signal via beta-catenin, and ending with a change in transcription of target genes."" [GOC:dph, GOC:sdb_2009, GOC:tb]"	239	100	6	15719	0.06	0.0251046025104602	query_1	['GO:0030111', 'GO:0060070']	['CTNNB1', 'HDAC1', 'RBX1', 'RUVBL1', 'FOXO1', 'SMAD3']
835	GO:BP	GO:0000724	double-strand break repair via homologous recombination	0.0174662611134943	True	"""The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule."" [GOC:elh, PMID:10357855]"	167	100	5	15719	0.05	0.029940119760479	query_1	['GO:0000725', 'GO:0006302']	['TRRAP', 'RUVBL1', 'KAT5', 'KDM1A', 'EPC1']
836	GO:BP	GO:0052548	regulation of endopeptidase activity	0.0176773220111141	True	"""Any process that modulates the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins."" [GOC:ai, GOC:hjd]"	320	100	7	15719	0.07	0.021875	query_1	['GO:0052547']	['AKT1', 'MYC', 'STAT3', 'HDAC1', 'CDKN2D', 'CDKN2A', 'SMAD3']
838	GO:BP	GO:0009408	response to heat	0.0178037308918578	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:lr]"	104	100	4	15719	0.04	0.0384615384615384	query_1	['GO:0006950', 'GO:0009266']	['AKT1', 'CREBBP', 'EP300', 'HDAC2']
837	GO:BP	GO:1905477	positive regulation of protein localization to membrane	0.0178037308918578	True	"""Any process that activates or increases the frequency, rate or extent of protein localization to membrane."" [GO_REF:0000058, GOC:bc, GOC:PARL, GOC:TermGenie, PMID:26911690]"	104	100	4	15719	0.04	0.0384615384615384	query_1	['GO:0072657', 'GO:1903829', 'GO:1905475']	['AKT1', 'CDK5', 'KIF5B', 'CDK5R1']
839	GO:BP	GO:2000058	regulation of ubiquitin-dependent protein catabolic process	0.0178275959392442	True	"""Any process that modulates the frequency, rate or extent of ubiquitin-dependent protein catabolic process."" [GOC:BHF]"	168	100	5	15719	0.05	0.0297619047619047	query_1	['GO:0006511', 'GO:0009894', 'GO:1903050']	['AKT1', 'RBX1', 'RYBP', 'CDKN2A', 'CDK2']
840	GO:BP	GO:0048646	anatomical structure formation involved in morphogenesis	0.017982172996027	True	"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]"	1113	100	15	15719	0.15	0.013477088948787	query_1	['GO:0009653', 'GO:0032502']	['SMAD1', 'AKT1', 'CDK5', 'STAT3', 'CTNNB1', 'HDAC1', 'CDK5R1', 'E2F2', 'SMAD2', 'SMAD4', 'EP300', 'SP1', 'TP53', 'SMAD3', 'HDAC2']
841	GO:BP	GO:0007267	cell-cell signaling	0.0181307522645767	True	"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]"	1572	100	19	15719	0.19	0.0120865139949109	query_1	['GO:0007154', 'GO:0023052']	['MYRIP', 'AKT1', 'CDK5', 'KIF5A', 'CTNNB1', 'HDAC1', 'SMARCA4', 'CCNE1', 'KIF5B', 'RBX1', 'PSMC5', 'CDK5R1', 'SMAD2', 'SMAD4', 'RUVBL1', 'FOXO1', 'NQO1', 'SMAD3', 'CCND1']
842	GO:BP	GO:0033045	regulation of sister chromatid segregation	0.018310747236765	True	"""Any process that modulates the frequency, rate or extent of sister chromatid segregation."" [GOC:mah]"	105	100	4	15719	0.04	0.0380952380952381	query_1	['GO:0000819', 'GO:0033044', 'GO:0051983']	['CCNB1', 'RB1', 'SMARCA4', 'KAT5']
843	GO:BP	GO:1903707	negative regulation of hemopoiesis	0.018310747236765	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of hemopoiesis."" [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:20080761]"	105	100	4	15719	0.04	0.0380952380952381	query_1	['GO:0002683', 'GO:0010721', 'GO:0030097', 'GO:0051241', 'GO:1903706']	['MYC', 'CTNNB1', 'CDKN2A', 'CDK6']
844	GO:BP	GO:1902036	regulation of hematopoietic stem cell differentiation	0.0183669123407054	True	"""Any process that modulates the frequency, rate or extent of hematopoietic stem cell differentiation."" [GOC:TermGenie, PMID:23403623]"	16	100	2	15719	0.02	0.125	query_1	['GO:0060218', 'GO:1901532', 'GO:2000736']	['KAT5', 'CDK6']
845	GO:BP	GO:0038092	nodal signaling pathway	0.0183669123407054	True	"""The series of molecular signals initiated by nodal protein binding to an activin receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:BHF, GOC:vk, PMID:17287255]"	16	100	2	15719	0.02	0.125	query_1	['GO:0032924']	['SMAD2', 'SMAD3']
846	GO:BP	GO:0030099	myeloid cell differentiation	0.0186454536621432	True	"""The process in which a relatively unspecialized myeloid precursor cell acquires the specialized features of any cell of the myeloid leukocyte, megakaryocyte, thrombocyte, or erythrocyte lineages."" [GOC:add, ISBN:0781735149]"	410	100	8	15719	0.08	0.0195121951219512	query_1	['GO:0030097', 'GO:0030154']	['CDKN2B', 'MYC', 'STAT3', 'CTNNB1', 'RB1', 'EP300', 'RCOR1', 'CDK6']
