Lenz-Majewski hyperostotic dwarfism	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
74	REAC	REAC:R-HSA-5625970	RHO GTPases activate KTN1	0.0140091498849251	True	RHO GTPases activate KTN1	11	86	2	10022	0.0232558139534883	0.1818181818181818	query_1	['REAC:R-HSA-195258']	['RHOG', 'KTN1']
75	REAC	REAC:R-HSA-422356	Regulation of insulin secretion	0.014726093921591	True	Regulation of insulin secretion	76	86	4	10022	0.0465116279069767	0.0526315789473684	query_1	['REAC:R-HSA-163685']	['VAMP2', 'STX1A', 'SNAP25', 'STXBP1']
76	REAC	REAC:R-HSA-5683057	MAPK family signaling cascades	0.0147639262285138	True	MAPK family signaling cascades	300	86	8	10022	0.0930232558139534	0.0266666666666666	query_1	['REAC:R-HSA-162582']	['MOV10', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
207	GO:BP	GO:0006518	peptide metabolic process	0.0154419293531117	True	"""The chemical reactions and pathways involving peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another."" [GOC:go_curators]"	824	96	13	15719	0.1354166666666666	0.0157766990291262	query_1	['GO:0043603', 'GO:1901564']	['MOV10', 'AGO4', 'BACE1', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TARBP2', 'TNRC6C', 'GGA3', 'AGO3', 'TRMT10C', 'AGO1']
208	GO:BP	GO:0022618	ribonucleoprotein complex assembly	0.0155154599996731	True	"""The aggregation, arrangement and bonding together of proteins and RNA molecules to form a ribonucleoprotein complex."" [GOC:jl]"	202	96	6	15719	0.0625	0.0297029702970297	query_1	['GO:0022613', 'GO:0065003', 'GO:0071826']	['AGO4', 'AGO2', 'TARBP2', 'DICER1', 'AGO3', 'AGO1']
78	REAC	REAC:R-HSA-2046104	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	0.0158711018970298	True	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	12	86	2	10022	0.0232558139534883	0.1666666666666666	query_1	['REAC:R-HSA-8978868']	['ABCD1', 'ELOVL2']
77	REAC	REAC:R-HSA-2046106	alpha-linolenic acid (ALA) metabolism	0.0158711018970298	True	alpha-linolenic acid (ALA) metabolism	12	86	2	10022	0.0232558139534883	0.1666666666666666	query_1	['REAC:R-HSA-2046104']	['ABCD1', 'ELOVL2']
209	GO:BP	GO:0043604	amide biosynthetic process	0.0159723505836271	True	"""The chemical reactions and pathways resulting in the formation of an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group."" [GOC:curators]"	828	96	13	15719	0.1354166666666666	0.0157004830917874	query_1	['GO:0043603', 'GO:0044271']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TARBP2', 'TNRC6C', 'ELOVL2', 'SLC27A2', 'AGO3', 'TRMT10C', 'AGO1']
211	GO:BP	GO:0090646	mitochondrial tRNA processing	0.0165670243389859	True	"""The process in which a pre-tRNA molecule is converted to a mature tRNA, ready for addition of an aminoacyl group, in the mitochondrion."" [GOC:vw]"	10	96	2	15719	0.0208333333333333	0.2	query_1	['GO:0000963', 'GO:0008033']	['HSD17B10', 'TRMT10C']
210	GO:BP	GO:0036109	alpha-linolenic acid metabolic process	0.0165670243389859	True	"""The chemical reactions and pathways involving alpha-linolenic acid, an unsaturated omega-6 fatty acid that has the molecular formula C18H32O2."" [PMID:15538555]"	10	96	2	15719	0.0208333333333333	0.2	query_1	['GO:0001676', 'GO:0033559', 'GO:0120254']	['ABCD1', 'ELOVL2']
101	GO:CC	GO:0030662	coated vesicle membrane	0.0168002411691355	True	"""The lipid bilayer surrounding a coated vesicle."" [GOC:mah]"	193	95	5	16420	0.0526315789473684	0.0259067357512953	query_1	['GO:0030135', 'GO:0030659', 'GO:0098588']	['SYT1', 'VAMP2', 'RAB5A', 'RAB35', 'RAB3A']
102	GO:CC	GO:0034045	phagophore assembly site membrane	0.0168139958458917	True	"""A cellular membrane associated with the phagophore assembly site."" [GOC:mah, GOC:rph, PMID:16874040, PMID:17382324]"	19	95	2	16420	0.0210526315789473	0.1052631578947368	query_1	['GO:0000407', 'GO:0016020']	['RAB1B', 'RAB7A']
213	GO:BP	GO:1990849	vacuolar localization	0.0176196357262203	True	"""Any process in which the vacuole is transported to, and/or maintained in, a specific location within the cell."" [PMID:26283797]"	84	96	4	15719	0.0416666666666666	0.0476190476190476	query_1	['GO:0051640']	['RAB34', 'RABGEF1', 'STXBP1', 'RAB3A']
214	GO:BP	GO:0032418	lysosome localization	0.0176196357262203	True	"""Any process in which a lysosome is transported to, and/or maintained in, a specific location."" [GOC:mah]"	84	96	4	15719	0.0416666666666666	0.0476190476190476	query_1	['GO:1990849']	['RAB34', 'RABGEF1', 'STXBP1', 'RAB3A']
212	GO:BP	GO:1903532	positive regulation of secretion by cell	0.0176196357262203	True	"""Any process that activates or increases the frequency, rate or extent of secretion by cell."" [GO_REF:0000058, GOC:pm, GOC:TermGenie, PMID:12130530]"	283	96	7	15719	0.0729166666666666	0.0247349823321554	query_1	['GO:0032940', 'GO:0048522', 'GO:0051047', 'GO:1903530']	['RAB7A', 'SYT1', 'RAB8B', 'STX1A', 'RAB5A', 'STXBP1', 'RAB3A']
103	GO:CC	GO:0044306	neuron projection terminus	0.0177110795273581	True	"""The specialized, terminal region of a neuron projection such as an axon or a dendrite."" [GOC:jl]"	123	95	4	16420	0.0421052631578947	0.032520325203252	query_1	['GO:0043005', 'GO:0110165']	['SYT1', 'VAMP2', 'RAB5A', 'RAB3A']
104	GO:CC	GO:0098875	epididymosome	0.0177935329671583	True	"""A microvesicle of the epididymal fluid, from which spermatozoa aquire membrane proteins."" [GOC:dos, GOC:mg, PMID:23177142, PMID:26112475]"	1	95	1	16420	0.0105263157894736	1.0	query_1	['GO:1990742']	['PPFIA3']
105	GO:CC	GO:0070931	Golgi-associated vesicle lumen	0.0177935329671583	True	"""The volume enclosed by the membrane of a Golgi-associated vesicle."" [GOC:mah]"	1	95	1	16420	0.0105263157894736	1.0	query_1	['GO:0005794', 'GO:0005798', 'GO:0060205']	['BACE1']
80	REAC	REAC:R-HSA-162658	Golgi Cisternae Pericentriolar Stack Reorganization	0.0181920338048311	True	Golgi Cisternae Pericentriolar Stack Reorganization	13	86	2	10022	0.0232558139534883	0.1538461538461538	query_1	['REAC:R-HSA-68875']	['RAB1B', 'RAB1A']
79	REAC	REAC:R-HSA-9637687	Suppression of phagosomal maturation	0.0181920338048311	True	Suppression of phagosomal maturation	13	86	2	10022	0.0232558139534883	0.1538461538461538	query_1	['REAC:R-HSA-9637690']	['RAB7A', 'RAB5A']
215	GO:BP	GO:0071826	ribonucleoprotein complex subunit organization	0.018281880071647	True	"""Any process in which macromolecules aggregate, disaggregate, or are modified, resulting in the formation, disassembly, or alteration of a ribonucleoprotein complex."" [GOC:mah]"	210	96	6	15719	0.0625	0.0285714285714285	query_1	['GO:0043933']	['AGO4', 'AGO2', 'TARBP2', 'DICER1', 'AGO3', 'AGO1']
216	GO:BP	GO:0048666	neuron development	0.0183042342317203	True	"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]"	1058	96	15	15719	0.15625	0.0141776937618147	query_1	['GO:0030182', 'GO:0048468']	['MOV10', 'MICALL1', 'SYT1', 'RAB8A', 'DICER1', 'RAB13', 'RHOG', 'GDI1', 'SNAP25', 'RAB10', 'STXBP1', 'RAB35', 'RHOH', 'RAB3A', 'RAB6A']
217	GO:BP	GO:0035337	fatty-acyl-CoA metabolic process	0.018456342181288	True	"""The chemical reactions and pathways involving a fatty-acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with a fatty-acyl group."" [ISBN:0198506732]"	40	96	3	15719	0.03125	0.075	query_1	['GO:0006637', 'GO:1901568']	['ABCD1', 'ELOVL2', 'SLC27A2']
218	GO:BP	GO:0045022	early endosome to late endosome transport	0.018456342181288	True	"""The directed movement of substances, in membrane-bounded vesicles, from the early sorting endosomes to the late sorting endosomes; transport occurs along microtubules and can be experimentally blocked with microtubule-depolymerizing drugs."" [ISBN:0815316194]"	40	96	3	15719	0.03125	0.075	query_1	['GO:0016482', 'GO:0098927']	['RAB7A', 'RAB5A', 'RILP']
222	GO:BP	GO:1903441	protein localization to ciliary membrane	0.0191733027451226	True	"""A process in which a protein is transported to, or maintained in, a location within a ciliary membrane."" [GO_REF:0000087, GOC:cilia, GOC:krc, GOC:TermGenie, PMID:22139371]"	11	96	2	15719	0.0208333333333333	0.1818181818181818	query_1	['GO:0061512', 'GO:0072657', 'GO:1990778']	['RABEP1', 'GGA1']
221	GO:BP	GO:0032000	positive regulation of fatty acid beta-oxidation	0.0191733027451226	True	"""Any process that activates or increases the frequency, rate or extent of fatty acid beta-oxidation."" [GOC:mah]"	11	96	2	15719	0.0208333333333333	0.1818181818181818	query_1	['GO:0006635', 'GO:0031331', 'GO:0031998', 'GO:0046321', 'GO:0050996']	['ABCD2', 'ABCD1']
220	GO:BP	GO:1990535	neuron projection maintenance	0.0191733027451226	True	"""The organization process that preserves a neuron projection in a stable functional or structural state. A neuron projection is a prolongation or process extending from a nerve cell, e.g. an axon or dendrite."" [GOC:kmv, PMID:25359212]"	11	96	2	15719	0.0208333333333333	0.1818181818181818	query_1	['GO:0106027']	['ABCD2', 'ABCD1']
219	GO:BP	GO:0007030	Golgi organization	0.0191733027451226	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the Golgi apparatus."" [GOC:dph, GOC:jl, GOC:mah]"	145	96	5	15719	0.0520833333333333	0.0344827586206896	query_1	['GO:0006996', 'GO:0010256']	['RAB1B', 'OPTN', 'RAB8A', 'HTT', 'RAB1A']
106	GO:CC	GO:0005615	extracellular space	0.0193231127651491	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3044	95	28	16420	0.2947368421052631	0.0091984231274638	query_1	['GO:0005576', 'GO:0110165']	['MOV10', 'RAB34', 'RAB14', 'RAB1B', 'RAB7A', 'RAB8A', 'OSBPL1A', 'RAB8B', 'NT5E', 'RAB5B', 'AGO2', 'RAB5C', 'RAB5A', 'RAB4A', 'DICER1', 'RAB13', 'ARHGDIA', 'RHOG', 'RAB1A', 'YWHAE', 'GOLM1', 'SLC27A2', 'GDI2', 'RAB10', 'STXBP1', 'RAB35', 'ARHGDIB', 'RAB6A']
223	GO:BP	GO:0050806	positive regulation of synaptic transmission	0.0201150305701847	True	"""Any process that activates or increases the frequency, rate or extent of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse."" [GOC:ai]"	147	96	5	15719	0.0520833333333333	0.0340136054421768	query_1	['GO:0007268', 'GO:0010647', 'GO:0023056', 'GO:0050804']	['SYT1', 'VAMP2', 'STX1A', 'SNAP25', 'STXBP1']
224	GO:BP	GO:0051248	negative regulation of protein metabolic process	0.0206996512595254	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving a protein."" [GOC:ai]"	966	96	14	15719	0.1458333333333333	0.0144927536231884	query_1	['GO:0010605', 'GO:0019538', 'GO:0051172', 'GO:0051246']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'RABGEF1', 'TNRC6B', 'TARBP2', 'RILP', 'TNRC6C', 'GGA3', 'YWHAE', 'AGO3', 'AGO1']
81	REAC	REAC:R-HSA-5633008	TP53 Regulates Transcription of Cell Death Genes	0.0211043502873778	True	TP53 Regulates Transcription of Cell Death Genes	44	86	3	10022	0.0348837209302325	0.0681818181818181	query_1	['REAC:R-HSA-3700989']	['RABGGTB', 'RABGGTA', 'CHM']
225	GO:BP	GO:1903311	regulation of mRNA metabolic process	0.0215774442189777	True	"""Any process that modulates the frequency, rate or extent of mRNA metabolic process."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"	296	96	7	15719	0.0729166666666666	0.0236486486486486	query_1	['GO:0016071', 'GO:0051252']	['MOV10', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3']
228	GO:BP	GO:0098927	vesicle-mediated transport between endosomal compartments	0.0217574642203257	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles between endosomal compartments, e.g, between early endosome and sorting endosome."" [GOC:dos, PMID:10930469]"	43	96	3	15719	0.03125	0.0697674418604651	query_1	['GO:0016192']	['RAB7A', 'RAB5A', 'RILP']
227	GO:BP	GO:0051954	positive regulation of amine transport	0.0217574642203257	True	"""Any process that activates, maintains or increases the frequency, rate or extent of the directed movement of amines into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	43	96	3	15719	0.03125	0.0697674418604651	query_1	['GO:0015837', 'GO:0051050', 'GO:0051952']	['SYT1', 'STX1A', 'STXBP1']
226	GO:BP	GO:2000300	regulation of synaptic vesicle exocytosis	0.0217574642203257	True	"""Any process that modulates the frequency, rate or extent of synaptic vesicle exocytosis."" [GOC:obol]"	43	96	3	15719	0.03125	0.0697674418604651	query_1	['GO:0016079', 'GO:0046928', 'GO:1903305']	['SYT1', 'RAB5A', 'RAB3A']
82	REAC	REAC:R-HSA-195721	Signaling by WNT	0.0220243340996344	True	Signaling by WNT	325	86	8	10022	0.0930232558139534	0.0246153846153846	query_1	['REAC:R-HSA-162582']	['MOV10', 'AGO4', 'AGO2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'AGO3', 'AGO1']
229	GO:BP	GO:2001279	regulation of unsaturated fatty acid biosynthetic process	0.0221229531244162	True	"""Any process that modulates the frequency, rate or extent of unsaturated fatty acid biosynthetic process."" [GO:0006636]"	12	96	2	15719	0.0208333333333333	0.1666666666666666	query_1	['GO:0006636', 'GO:0042304']	['ABCD2', 'ABCD1']
230	GO:BP	GO:0090385	phagosome-lysosome fusion	0.0221229531244162	True	"""The creation of a phagolysosome from a phagosome and a lysosome."" [GOC:kmv, GOC:tb]"	12	96	2	15719	0.0208333333333333	0.1666666666666666	query_1	['GO:0001845', 'GO:0006906']	['RAB34', 'RAB7A']
83	REAC	REAC:R-HSA-1483257	Phospholipid metabolism	0.0224542134173271	True	Phospholipid metabolism	197	86	6	10022	0.0697674418604651	0.0304568527918781	query_1	['REAC:R-HSA-556833']	['RAB14', 'RUFY1', 'BMX', 'PTDSS1', 'RAB5A', 'RAB4A']
231	GO:BP	GO:0042147	retrograde transport, endosome to Golgi	0.0227851697540422	True	"""The directed movement of membrane-bounded vesicles from endosomes back to the trans-Golgi network where they are recycled for further rounds of transport."" [GOC:jl, PMID:10873832, PMID:16936697]"	92	96	4	15719	0.0416666666666666	0.0434782608695652	query_1	['GO:0016197', 'GO:0016482']	['RAB7A', 'GGA1', 'TBC1D17', 'RAB6A']
107	GO:CC	GO:0036477	somatodendritic compartment	0.0233708151545818	True	"""The region of a neuron that includes the cell body (cell soma) and dendrite(s), but excludes the axon."" [GOC:pad, GOC:PARL]"	821	95	11	16420	0.1157894736842105	0.0133982947624847	query_1	['GO:0110165']	['APBA3', 'TPX2', 'RAB8A', 'HTT', 'BACE1', 'AGO2', 'RABGEF1', 'RAB3IP', 'RAB5A', 'GDI1', 'SNAP25']
84	REAC	REAC:R-HSA-8856828	Clathrin-mediated endocytosis	0.0247334245128358	True	Clathrin-mediated endocytosis	143	86	5	10022	0.0581395348837209	0.0349650349650349	query_1	['REAC:R-HSA-199991']	['SYT1', 'VAMP2', 'RAB5B', 'RAB5C', 'RAB5A']
233	GO:BP	GO:0030497	fatty acid elongation	0.0253266716745469	True	"""The elongation of a fatty acid chain by the sequential addition of two-carbon units."" [ISBN:0716720094]"	13	96	2	15719	0.0208333333333333	0.1538461538461538	query_1	['GO:0006633']	['ABCD1', 'ELOVL2']
232	GO:BP	GO:0051036	regulation of endosome size	0.0253266716745469	True	"""Any process that modulates the volume of an endosome, a membrane-bounded organelle that carries materials newly ingested by endocytosis."" [GOC:ai]"	13	96	2	15719	0.0208333333333333	0.1538461538461538	query_1	['GO:0097494']	['RAB5A', 'RILP']
234	GO:BP	GO:0033605	positive regulation of catecholamine secretion	0.0253266716745469	True	"""Any process that activates or increases the frequency, rate or extent of the regulated release of a catecholamine."" [GOC:mah]"	13	96	2	15719	0.0208333333333333	0.1538461538461538	query_1	['GO:0050432', 'GO:0050433', 'GO:0051954', 'GO:1903532']	['SYT1', 'STX1A']
235	GO:BP	GO:0070920	regulation of regulatory ncRNA processing	0.0253266716745469	True	"""Any process that modulates the frequency, rate or extent of regulatory non-coding RNA processing."" [GOC:mah]"	13	96	2	15719	0.0208333333333333	0.1538461538461538	query_1	['GO:0051252', 'GO:0060966', 'GO:0070918']	['PRKRA', 'TARBP2']
236	GO:BP	GO:1901163	regulation of trophoblast cell migration	0.0253266716745469	True	"""Any process that modulates the frequency, rate or extent of trophoblast cell migration."" [GOC:BHF, GOC:TermGenie]"	13	96	2	15719	0.0208333333333333	0.1538461538461538	query_1	['GO:0030334', 'GO:0061450', 'GO:2000241']	['AGO2', 'ARHGDIB']
237	GO:BP	GO:0006412	translation	0.0253266716745469	True	"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]"	677	96	11	15719	0.1145833333333333	0.0162481536189069	query_1	['GO:0009059', 'GO:0010467', 'GO:0019538', 'GO:0043043']	['MOV10', 'AGO4', 'ZFP36', 'AGO2', 'TNRC6A', 'TNRC6B', 'TARBP2', 'TNRC6C', 'AGO3', 'TRMT10C', 'AGO1']
240	GO:BP	GO:0007268	chemical synaptic transmission	0.0255991115821623	True	"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]"	679	96	11	15719	0.1145833333333333	0.01620029455081	query_1	['GO:0098916']	['APBA3', 'SYT1', 'RAB8A', 'BACE1', 'VAMP2', 'STX1A', 'RAB5A', 'PPFIA3', 'SNAP25', 'STXBP1', 'RAB3A']
239	GO:BP	GO:0051952	regulation of amine transport	0.0255991115821623	True	"""Any process that modulates the frequency, rate or extent of the directed movement of amines into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"	96	96	4	15719	0.0416666666666666	0.0416666666666666	query_1	['GO:0015837', 'GO:0051049']	['SYT1', 'STX1A', 'STXBP1', 'RAB3A']
238	GO:BP	GO:0098916	anterograde trans-synaptic signaling	0.0255991115821623	True	"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]"	679	96	11	15719	0.1145833333333333	0.01620029455081	query_1	['GO:0099537']	['APBA3', 'SYT1', 'RAB8A', 'BACE1', 'VAMP2', 'STX1A', 'RAB5A', 'PPFIA3', 'SNAP25', 'STXBP1', 'RAB3A']
241	GO:BP	GO:0046394	carboxylic acid biosynthetic process	0.0260802974286586	True	"""The chemical reactions and pathways resulting in the formation of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."" [ISBN:0198506732]"	310	96	7	15719	0.0729166666666666	0.0225806451612903	query_1	['GO:0016053', 'GO:0019752']	['ABCD3', 'ABCD2', 'OSBPL1A', 'ABCD1', 'ELOVL2', 'SLC27A2', 'HSD17B10']
108	GO:CC	GO:0071944	cell periphery	0.026771830352193	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5277	95	42	16420	0.4421052631578947	0.007959067652075	query_1	['GO:0110165']	['APBA3', 'RAB14', 'RAB7A', 'PAWR', 'SYT1', 'RAB8A', 'TMEM102', 'BMX', 'RAB8B', 'BACE1', 'RABGGTB', 'VAMP2', 'NT5E', 'RAB5B', 'SLC6A8', 'STX1A', 'RAB5C', 'RABGGTA', 'RAB5A', 'RAB4A', 'RAB13', 'ARHGDIA', 'RHOG', 'SLC39A4', 'KTN1', 'YWHAE', 'PPFIA3', 'GOLM1', 'SNAP25', 'SLC27A2', 'PEX19', 'HSD17B10', 'ARHGDIG', 'RAB10', 'STXBP1', 'RAB35', 'S1PR5', 'RAB23', 'RHOH', 'RAB3A', 'PTP4A2', 'RAB6A']
242	GO:BP	GO:0016053	organic acid biosynthetic process	0.0268048015749036	True	"""The chemical reactions and pathways resulting in the formation of organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]"	312	96	7	15719	0.0729166666666666	0.0224358974358974	query_1	['GO:0006082', 'GO:0044249', 'GO:0044283', 'GO:1901576']	['ABCD3', 'ABCD2', 'OSBPL1A', 'ABCD1', 'ELOVL2', 'SLC27A2', 'HSD17B10']
243	GO:BP	GO:0051047	positive regulation of secretion	0.0268048015749036	True	"""Any process that activates or increases the frequency, rate or extent of the controlled release of a substance from a cell or a tissue."" [GOC:ai]"	312	96	7	15719	0.0729166666666666	0.0224358974358974	query_1	['GO:0046903', 'GO:0051046', 'GO:0051050']	['RAB7A', 'SYT1', 'RAB8B', 'STX1A', 'RAB5A', 'STXBP1', 'RAB3A']
87	REAC	REAC:R-HSA-5250982	Toxicity of tetanus toxin (tetX)	0.0269135175341539	True	Toxicity of tetanus toxin (tetX)	1	86	1	10022	0.0116279069767441	1.0	query_1	['REAC:R-HSA-168799']	['VAMP2']
86	REAC	REAC:R-HSA-5619088	Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)	0.0269135175341539	True	Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)	1	86	1	10022	0.0116279069767441	1.0	query_1	['REAC:R-HSA-5619102']	['SLC39A4']
85	REAC	REAC:R-HSA-5684045	Defective ABCD1 causes ALD	0.0269135175341539	True	Defective ABCD1 causes ALD	1	86	1	10022	0.0116279069767441	1.0	query_1	['REAC:R-HSA-5619084']	['ABCD1']
245	GO:BP	GO:0016236	macroautophagy	0.0271136624650703	True	"""The major inducible pathway for the general turnover of cytoplasmic constituents in eukaryotic cells, it is also responsible for the degradation of active cytoplasmic enzymes and organelles during nutrient starvation. Macroautophagy involves the formation of double-membrane-bounded autophagosomes which enclose the cytoplasmic constituent targeted for degradation in a membrane-bounded structure. Autophagosomes then fuse with a lysosome (or vacuole) releasing single-membrane-bounded autophagic bodies that are then degraded within the lysosome (or vacuole). Some types of macroautophagy, e.g. pexophagy, mitophagy, involve selective targeting of the targets to be degraded."" [PMID:11099404, PMID:12914914, PMID:15798367, PMID:16973210, PMID:20159618, PMID:9412464]"	313	96	7	15719	0.0729166666666666	0.0223642172523961	query_1	['GO:0006914']	['RAB1B', 'RAB7A', 'OPTN', 'HTT', 'RAB5A', 'RAB1A', 'RAB23']
244	GO:BP	GO:0099537	trans-synaptic signaling	0.0271136624650703	True	"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]"	686	96	11	15719	0.1145833333333333	0.0160349854227405	query_1	['GO:0099536']	['APBA3', 'SYT1', 'RAB8A', 'BACE1', 'VAMP2', 'STX1A', 'RAB5A', 'PPFIA3', 'SNAP25', 'STXBP1', 'RAB3A']
247	GO:BP	GO:0032365	intracellular lipid transport	0.02754430680841	True	"""The directed movement of lipids within cells."" [GOC:mah]"	48	96	3	15719	0.03125	0.0625	query_1	['GO:0006869', 'GO:0046907']	['ABCD3', 'ABCD2', 'ABCD1']
246	GO:BP	GO:0043277	apoptotic cell clearance	0.02754430680841	True	"""The recognition and removal of an apoptotic cell by a neighboring cell or by a phagocyte."" [GOC:rk, PMID:14685684]"	48	96	3	15719	0.03125	0.0625	query_1	['GO:0006909']	['RAB14', 'RHOG', 'RHOH']
248	GO:BP	GO:0051128	regulation of cellular component organization	0.0275924268496442	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]"	2347	96	25	15719	0.2604166666666667	0.0106518960374946	query_1	['GO:0016043', 'GO:0050794']	['MOV10', 'RAB1B', 'TPX2', 'RAB7A', 'RUFY1', 'SYT1', 'HTT', 'TMEM102', 'RAB8B', 'RAB5B', 'RABGEF1', 'RAB3IP', 'STX1A', 'RAB5C', 'RAB5A', 'RAB4A', 'ARHGDIA', 'RHOG', 'GDI1', 'SNAP25', 'GDI2', 'STXBP1', 'RHOH', 'RAB3A', 'ARHGDIB']
252	GO:BP	GO:0048172	regulation of short-term neuronal synaptic plasticity	0.0276298470590962	True	"""A process that modulates short-term neuronal synaptic plasticity, the ability of neuronal synapses to change in the short-term as circumstances require. Short-term neuronal synaptic plasticity generally involves increasing or decreasing synaptic sensitivity."" [GOC:jid, PMID:11891290]"	14	96	2	15719	0.0208333333333333	0.1428571428571428	query_1	['GO:0048168']	['PPFIA3', 'RAB3A']
251	GO:BP	GO:0061450	trophoblast cell migration	0.0276298470590962	True	"""Trophoblast cell migration that is accomplished by extension and retraction of a pseudopodium. Trophoblast cells line the outside of the blastocyst."" [GOC:dph]"	14	96	2	15719	0.0208333333333333	0.1428571428571428	query_1	['GO:0001667', 'GO:0007566', 'GO:0022414']	['AGO2', 'ARHGDIB']
250	GO:BP	GO:0042983	amyloid precursor protein biosynthetic process	0.0276298470590962	True	"""The chemical reactions and pathways resulting in the formation of amyloid precursor protein (APP), the precursor of amyloid-beta, a glycoprotein associated with Alzheimer's disease."" [GOC:go_curators]"	14	96	2	15719	0.0208333333333333	0.1428571428571428	query_1	['GO:0009059', 'GO:0042982', 'GO:1901566']	['PAWR', 'AGO2']
249	GO:BP	GO:0042984	regulation of amyloid precursor protein biosynthetic process	0.0276298470590962	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of amyloid precursor protein (APP), the precursor of amyloid-beta."" [GOC:go_curators]"	14	96	2	15719	0.0208333333333333	0.1428571428571428	query_1	['GO:0010559', 'GO:0042983']	['PAWR', 'AGO2']
253	GO:BP	GO:0006636	unsaturated fatty acid biosynthetic process	0.0285219011442309	True	"""The chemical reactions and pathways resulting in the formation of an unsaturated fatty acid, any fatty acid containing one or more double bonds between carbon atoms."" [GOC:mah, MetaCyc:PWY-762, MetaCyc:PWY-782]"	49	96	3	15719	0.03125	0.0612244897959183	query_1	['GO:0006633', 'GO:0033559']	['ABCD2', 'ABCD1', 'ELOVL2']
88	REAC	REAC:R-HSA-9013148	CDC42 GTPase cycle	0.0295199034344746	True	CDC42 GTPase cycle	151	86	5	10022	0.0581395348837209	0.0331125827814569	query_1	['REAC:R-HSA-9012999']	['RAB7A', 'ARHGDIA', 'KTN1', 'ARHGDIG', 'ARHGDIB']
254	GO:BP	GO:0015718	monocarboxylic acid transport	0.02987454403571	True	"""The directed movement of monocarboxylic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:krc]"	166	96	5	15719	0.0520833333333333	0.0301204819277108	query_1	['GO:0046942']	['ABCD3', 'ABCD2', 'SLC6A8', 'ABCD1', 'SLC27A2']
